Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"5,278,300.00","1,479,300.00","3,799,000.00","1,624,900.00","2,174,100.00","45,400.00","-1,500.00","2,218,000.00","527,600.00","1,690,400.00","1,690,400.00",4.69,4.67,"360,300.00","362,100.00","2,174,100.00","3,104,200.00","1,690,400.00","1,690,400.00","82,700.00","37,300.00","45,400.00","2,255,300.00","2,431,800.00","1,479,300.00","176,500.00","1,690,400.00","2,431,800.00",0.00,,,,,,,,,,,,,,,"1,897,700.00","-260,900.00","-1,874,700.00","1,897,000.00","539,500.00","36,200.00","-161,400.00","9,000.00","-169,200.00","1,736,300.00"
5/31/2024,"5,278,300.00","1,479,300.00","3,799,000.00","1,624,900.00","2,174,100.00","45,400.00","-1,500.00","2,218,000.00","527,600.00","1,690,400.00","1,690,400.00",--,--,--,--,"2,174,100.00","3,104,200.00","1,690,400.00","1,690,400.00","82,700.00","37,300.00","45,400.00","2,255,300.00","2,431,800.00","1,479,300.00","176,500.00","1,690,400.00","2,431,800.00",0.00,"10,383,100.00","6,582,100.00","3,801,000.00","4,599,600.00","3,801,000.00","49,000.00","1,723,800.00","1,942,400.00","4,618,300.00","1,723,800.00","866,300.00",--,"360,100.00","360,100.00","1,897,700.00","-260,900.00","-1,874,700.00","1,897,000.00","539,500.00","36,200.00","-161,400.00","9,000.00","-169,200.00","1,736,300.00"
5/31/2023,"5,007,100.00","1,453,000.00","3,554,100.00","1,521,000.00","2,033,100.00","12,400.00","2,700.00","2,048,200.00","490,900.00","1,557,300.00","1,557,300.00",4.32,4.30,"360,400.00","362,300.00","2,033,100.00","2,974,000.00","1,557,300.00","1,557,300.00","49,100.00","36,700.00","12,400.00","2,084,900.00","2,261,500.00","1,453,000.00","176,600.00","1,557,300.00","2,261,500.00",0.00,"10,546,400.00","7,053,200.00","3,493,200.00","4,291,400.00","3,493,200.00","57,300.00","1,471,800.00","1,722,700.00","4,301,600.00","1,471,800.00","865,700.00",--,"360,500.00","360,500.00","1,706,200.00","211,700.00","-711,400.00","2,134,900.00","525,800.00","35,700.00","-143,000.00","2,000.00",--,"1,563,200.00"
5/31/2022,"4,611,700.00","1,356,300.00","3,255,400.00","1,415,400.00","1,840,000.00","-33,700.00","18,300.00","1,824,600.00","431,800.00","1,392,800.00","1,392,800.00",3.86,3.84,"360,600.00","363,100.00","1,840,000.00","2,771,700.00","1,392,800.00","1,392,800.00","2,900.00","36,600.00","-33,700.00","1,861,200.00","2,053,000.00","1,356,300.00","191,800.00","1,392,800.00","2,053,000.00",0.00,"9,635,200.00","6,550,000.00","3,085,200.00","3,882,900.00","3,085,200.00","74,800.00","1,029,100.00","1,312,400.00","3,891,600.00","1,029,100.00","881,200.00","436,400.00","359,900.00","359,900.00","1,589,700.00","-1,505,100.00","-979,300.00","928,400.00","397,700.00","35,500.00","-133,800.00","1,300.00","-145,200.00","1,455,900.00"
5/31/2021,"4,056,800.00","1,271,200.00","2,785,600.00","1,324,900.00","1,460,700.00","-33,500.00","7,000.00","1,434,200.00","336,700.00","1,097,500.00","1,097,500.00",3.05,3.03,"359,900.00","362,100.00","1,460,700.00","2,596,100.00","1,097,500.00","1,097,500.00","2,300.00","35,800.00","-33,500.00","1,470,000.00","1,662,000.00","1,271,200.00","192,000.00","1,097,500.00","1,662,000.00",0.00,"9,227,200.00","6,279,200.00","2,948,000.00","3,745,300.00","2,948,000.00","92,400.00","851,500.00","1,231,300.00","3,752,700.00","851,500.00","897,100.00",--,"359,800.00","359,800.00","1,260,300.00","-460,600.00","-636,400.00","1,823,100.00",--,--,"-118,400.00","2,300.00","-155,700.00","1,141,900.00"
5/31/2020,--,--,--,--,--,--,--,--,--,--,--,3.06,3.04,"358,500.00","361,000.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
