Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow
TTM,22750000.0,13517000.0,9233000.0,5012000.0,4221000.0,-1839000.0,317000.0,2699000.0,277000.0,-66000.0,2422000.0,2422000.0,2.43,2.42,999000.0,999500.0,4240000.0,18529000.0,1839000.0,-1839000.0,2422000.0,2404949.98,4538000.0,8090000.0,14236000.0,2833000.0,2422000.0,19000.0,19000.0,8071000.0,0.0,1949.98,114806250.0,84765750.0,30040500.0,64960750.0,29369250.0,22727500.0,-1863000.0,68852000.0,22727500.0,39482750.0,38936000.0,989000.0,987000.0,2000.0,5396000.0,-7167000.0,2271000.0,1535000.0,-7189000.0,351500.0,5000000.0,-1339000.0,-1793000.0
12/31/2023,21727000.0,12800000.0,8927000.0,4914000.0,4013000.0,-1729000.0,418000.0,2702000.0,374000.0,-66000.0,2328000.0,2328000.0,2.34,2.34,996000.0,997000.0,4023000.0,17714000.0,1729000.0,-1729000.0,2328000.0,2319384.16,4431000.0,7937000.0,13520000.0,2786000.0,2328000.0,10000.0,10000.0,7927000.0,0.0,1384.16,101546000.0,75791000.0,25755000.0,65837000.0,25755000.0,19125000.0,-1814000.0,69763000.0,19125000.0,44008000.0,43563000.0,1001000.0,999000.0,2000.0,4703000.0,-7375000.0,2683000.0,1101000.0,-7408000.0,140000.0,6225000.0,-2176000.0,-2705000.0
12/31/2022,19078000.0,11046000.0,8032000.0,4715000.0,3317000.0,-1447000.0,533000.0,2403000.0,349000.0,-66000.0,2170000.0,2170000.0,2.18,2.08,994000.0,1043269.23,3315000.0,15761000.0,1447000.0,-1447000.0,2170000.0,2054709.53,3850000.0,7175000.0,11603000.0,2768000.0,2053000.0,-2000.0,-2000.0,7177000.0,0.0,-290.47,95349000.0,70605000.0,24744000.0,60406000.0,24744000.0,18114000.0,-3275000.0,64794000.0,18114000.0,40050000.0,39643000.0,996000.0,994000.0,2000.0,4870000.0,-6990000.0,1591000.0,1090000.0,-7147000.0,563000.0,8595000.0,-3573000.0,-2277000.0
12/31/2021,17938000.0,10932000.0,7006000.0,4324000.0,2682000.0,-1289000.0,261000.0,1654000.0,38000.0,-9000.0,1706000.0,1706000.0,1.74,1.74,979000.0,980000.0,2682000.0,15256000.0,1289000.0,-1289000.0,1706000.0,1493000.0,2943000.0,9377000.0,7531000.0,6434000.0,1493000.0,12750.0,12750.0,9377000.0,0.0,1720.1975,133013000.0,98218000.0,34795000.0,65532000.0,34393000.0,27763000.0,-2154000.0,68933000.0,27763000.0,34540000.0,33868000.0,981000.0,979000.0,2000.0,3012000.0,-3317000.0,758000.0,1619000.0,-7981000.0,351500.0,5130000.0,-1990000.0,-4969000.0
12/31/2020,33039000.0,23512000.0,9527000.0,6728000.0,2799000.0,-1635000.0,1169000.0,2333000.0,373000.0,-6000.0,1963000.0,1963000.0,2.01,2.01,976000.0,977000.0,2823000.0,30240000.0,1635000.0,-1635000.0,1963000.0,1942837.12,3968000.0,10495000.0,21999000.0,6527000.0,1963000.0,24000.0,24000.0,10471000.0,0.0,3837.12,129317000.0,94449000.0,34868000.0,68068000.0,32585000.0,25908000.0,-209000.0,71918000.0,25908000.0,39333000.0,38670000.0,978000.0,976000.0,2000.0,4235000.0,-4336000.0,145000.0,1166000.0,-8048000.0,351500.0,8168000.0,-6440000.0,-3813000.0
12/31/2019,22906400.0,14361400.0,8545000.0,5138600.0,3406400.0,-1587800.0,539600.0,2358200.0,282200.0,-183000.0,2117800.0,2117800.0,2.1399999999999997,2.118,988800.0,999353.8460000001,3416600.0,19500000.0,1587800.0,-1587800.0,2117800.0,2042976.1580000003,3946000.0,8614800.0,13777800.0,4269600.0,2051800.0,12750.0,12750.0,8604600.0,0.0,1720.1975,114806250.0,84765750.0,30040500.0,64960750.0,29369250.0,22727500.0,-1863000.0,68852000.0,22727500.0,39482750.0,38936000.0,989000.0,987000.0,2000.0,4443200.0,-5837000.0,1489600.0,1302200.0,-7554600.0,351500.0,6623600.0,-3103600.0,-3111400.0
