Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"16,260,500.00","12,365,600.00","3,894,900.00","1,487,800.00","2,407,100.00","-760,600.00","15,300.00","1,661,800.00","333,600.00","1,073,900.00","1,072,200.00",4.78,4.75,"222,550.00","223,800.00","2,407,100.00","13,853,400.00","757,700.00","-760,600.00","1,093,300.00","1,093,300.00","2,419,500.00","3,781,300.00","12,365,600.00","1,361,800.00","1,093,300.00",--,--,"3,781,300.00",0.00,--,,,,,,,,,,,,,,,,,"3,145,900.00","-2,753,900.00","-395,000.00","166,400.00","9,300.00","722,800.00","-2,721,800.00","68,724,700.00","-67,614,400.00","-710,100.00","424,100.00"
12/31/2023,"16,060,300.00","12,006,000.00","4,054,300.00","1,428,100.00","2,626,200.00","-689,900.00","6,200.00","1,942,500.00","363,200.00","835,800.00","835,800.00",3.69,3.66,"224,600.00","226,000.00","2,626,200.00","13,434,100.00","687,800.00","-689,900.00","1,345,900.00","1,345,900.00","2,630,300.00","3,959,900.00","12,006,000.00","1,329,600.00","1,345,900.00",--,--,"3,959,900.00",0.00,--,"20,671,800.00","16,061,800.00","4,610,000.00","14,828,800.00",--,"2,739,700.00","346,300.00","389,100.00","-566,300.00","15,403,800.00","389,100.00","13,010,400.00","12,522,400.00","240,095.70","222,611.26","17,484.44","3,211,600.00","-2,400,800.00","-888,100.00","141,700.00","8,500.00","618,600.00","-2,385,400.00","62,873,600.00","-61,537,500.00","-429,500.00","826,200.00"
12/31/2022,"20,929,800.00","17,978,100.00","2,951,700.00","1,222,700.00","1,729,000.00","-495,700.00","429,900.00","1,663,200.00","131,800.00","896,800.00","896,800.00",3.95,3.88,"227,300.00","231,100.00","1,729,000.00","19,200,800.00","446,100.00","-495,700.00","1,195,500.00","794,142.82","2,109,300.00","3,205,300.00","17,978,100.00","1,096,000.00","1,195,500.00","435,900.00","435,900.00","2,769,400.00",0.00,"34,542.82","19,560,000.00","14,577,800.00","4,982,200.00","13,174,800.00",--,"2,665,700.00","255,900.00","-68,900.00","-710,100.00","13,974,800.00","-68,900.00","11,565,000.00","11,090,100.00","237,939.06","226,042.23","11,896.83","2,380,800.00","-4,149,700.00","1,829,400.00","219,000.00","1,600.00","401,300.00","-1,334,300.00","41,820,700.00","-37,123,500.00","-1,225,800.00","1,046,500.00"
12/31/2021,"16,949,800.00","14,600,100.00","2,349,700.00","1,032,600.00","1,317,100.00","-404,500.00","-475,700.00","436,900.00","14,800.00","-16,100.00","-16,100.00",-0.07,-0.07,"228,600.00","228,600.00","864,800.00","15,632,700.00","387,900.00","-404,500.00","71,200.00","508,178.32","824,800.00","1,695,400.00","14,600,100.00","870,600.00","71,200.00","-452,300.00","-452,300.00","2,147,700.00",0.00,"-15,321.68","15,208,200.00","10,029,500.00","5,178,700.00","8,432,500.00","749,700.00","2,011,800.00","61,000.00","917,000.00","-528,700.00","8,582,500.00","917,000.00","6,631,700.00","6,412,200.00","236,105.29","228,221.12","7,884.17","2,302,900.00","-473,200.00","-1,914,000.00","158,500.00","1,300.00","356,000.00","-505,100.00","2,250,000.00","-3,429,500.00","-53,200.00","1,797,800.00"
12/31/2020,"8,260,300.00","6,051,600.00","2,208,700.00","955,600.00","1,253,100.00","-345,700.00","-2,480,500.00","-1,573,100.00","-248,100.00","-1,684,800.00","-1,684,800.00",-7.26,-7.26,"232,200.00","232,200.00","-1,303,700.00","7,007,200.00","391,300.00","-345,700.00","-1,553,900.00","599,403.99","-1,181,800.00","-316,700.00","6,051,600.00","865,100.00","-1,553,900.00","-2,556,500.00","-2,556,500.00","2,239,800.00",0.00,"-403,196.01","15,875,700.00","9,972,500.00","5,903,200.00","10,022,300.00","301,400.00","2,653,900.00","77,000.00","1,271,500.00","-319,100.00","10,378,800.00","1,271,500.00","7,801,900.00","7,482,100.00","234,792.89","228,061.85","6,731.04","1,744,500.00","-738,100.00","-1,094,700.00","242,800.00",--,--,"-951,600.00","3,771,400.00","-3,794,400.00","-268,200.00","792,900.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"278,800.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
