Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Interest Income,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"151,853,000.00","137,195,000.00","14,658,000.00","9,027,000.00","5,631,000.00","-663,000.00","1,881,000.00","6,849,000.00","1,640,000.00","5,110,000.00",--,"5,107,000.00",11.74,11.66,"433,292.00","436,753.50","146,222,000.00",--,"932,000.00","-663,000.00","5,120,000.00","5,205,942.04","7,781,000.00","9,788,000.00","137,195,000.00","2,007,000.00","5,120,000.00","-113,000.00","-113,000.00","9,901,000.00",0.00,"-27,057.96",,,,,,,,,,,,,,,,"6,736,000.00","-1,431,000.00","-5,871,000.00","2,463,000.00","-2,484,000.00","175,000.00","4,832,000.00","-4,813,000.00","-3,909,000.00","4,252,000.00"
12/31/2023,"147,399,000.00","130,063,000.00","17,336,000.00","9,386,000.00","7,950,000.00","-657,000.00","2,176,000.00","9,469,000.00","2,230,000.00","7,004,000.00",--,"7,004,000.00",15.56,15.48,"450,136.00","453,210.00","139,449,000.00","269,000.00","926,000.00","-657,000.00","7,015,000.00","6,991,316.00","10,395,000.00","12,372,000.00","130,063,000.00","1,977,000.00","7,015,000.00","31,000.00","31,000.00","12,341,000.00",0.00,"7,316.00","75,501,000.00","43,851,000.00","31,650,000.00","48,460,000.00","30,583,000.00",--,"28,113,000.00","4,085,000.00","49,942,000.00","28,113,000.00","19,359,000.00","16,036,000.00","654,842.10","430,464.66","224,377.44","7,029,000.00","-1,790,000.00","-8,092,000.00","3,323,000.00","-2,418,000.00","123,000.00","6,260,000.00","-4,252,000.00","-4,014,000.00","4,611,000.00"
12/31/2022,"169,990,000.00","151,561,000.00","18,429,000.00","8,809,000.00","9,620,000.00","-560,000.00","5,579,000.00","14,639,000.00","3,248,000.00","11,014,000.00","10,000.00","11,014,000.00",23.36,23.27,"471,497.00","473,731.00","160,370,000.00","82,000.00","642,000.00","-560,000.00","11,024,000.00","9,050,992.00","15,281,000.00","16,910,000.00","151,561,000.00","1,629,000.00","11,024,000.00","2,536,000.00","2,536,000.00","14,374,000.00",0.00,"562,992.00","76,442,000.00","42,336,000.00","34,106,000.00","46,155,000.00","29,494,000.00",--,"27,177,000.00","6,033,000.00","46,684,000.00","27,177,000.00","17,190,000.00","11,057,000.00","652,373.65","465,843.98","186,529.67","10,813,000.00","-1,488,000.00","-6,388,000.00","6,133,000.00","-2,194,000.00","103,000.00","453,000.00","-2,883,000.00","-1,513,000.00","8,619,000.00"
12/31/2021,"111,476,000.00","103,707,000.00","7,769,000.00","7,301,000.00","468,000.00","-594,000.00","1,866,000.00","1,740,000.00","146,000.00","1,306,000.00",--,"1,306,000.00",2.97,2.97,"440,028.00","440,364.00","111,008,000.00","11,000.00","605,000.00","-594,000.00","1,315,000.00","2,337,358.62","2,345,000.00","3,950,000.00","103,707,000.00","1,605,000.00","1,315,000.00","-1,116,000.00","-1,116,000.00","5,066,000.00",0.00,"-93,641.38","55,594,000.00","33,957,000.00","21,637,000.00","32,125,000.00","19,166,000.00","290,000.00","16,869,000.00","1,896,000.00","33,614,000.00","16,869,000.00","14,448,000.00","11,301,000.00","650,026.32","438,254.49","211,771.83","6,017,000.00","-1,872,000.00","-3,470,000.00","3,147,000.00","-1,860,000.00","26,000.00","1,443,000.00","-2,954,000.00",--,"4,157,000.00"
12/31/2020,"64,129,000.00","59,102,000.00","5,027,000.00","6,571,000.00","-1,544,000.00","-507,000.00","-2,913,000.00","-4,964,000.00","-1,250,000.00","-3,983,000.00",--,"-3,983,000.00",-9.06,-9.06,"439,530.00","439,530.00","65,673,000.00","14,000.00","521,000.00","-507,000.00","-3,975,000.00","-866,312.00","-4,443,000.00","-3,048,000.00","59,102,000.00","1,395,000.00","-3,975,000.00","-4,156,000.00","-4,156,000.00","1,108,000.00",0.00,"-1,047,312.00","54,721,000.00","33,198,000.00","21,523,000.00","33,890,000.00","18,984,000.00","264,000.00","16,716,000.00","3,758,000.00","34,877,000.00","16,716,000.00","15,893,000.00","13,379,000.00","648,643.22","436,871.40","211,771.83","2,111,000.00","-3,079,000.00","1,791,000.00","2,514,000.00","-2,920,000.00","10,000.00","5,178,000.00","-1,051,000.00","-443,000.00","-809,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,"4,000.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"277,000.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
