Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"19,985,000.00","16,324,000.00","3,661,000.00","1,733,000.00","1,928,000.00","-174,000.00","351,000.00","2,105,000.00","-1,865,000.00","-247,000.00","3,690,000.00",--,"3,690,000.00",13.36,13.25,"277,335.00","283,330.00","1,661,000.00","18,057,000.00","3,690,000.00","3,393,750.00","101,000.00","275,000.00","-174,000.00","2,380,000.00","3,330,000.00","15,595,000.00","950,000.00","3,690,000.00","375,000.00","375,000.00","2,955,000.00",0.00,"78,750.00",,,,,,,,,,,,,,,,"2,257,000.00","-1,241,000.00","-890,000.00","1,428,000.00","-906,000.00",--,"798,000.00","-333,000.00","-1,330,000.00","1,351,000.00"
12/31/2023,"20,051,000.00","16,612,000.00","3,439,000.00","1,669,000.00","1,770,000.00","-174,000.00","-259,000.00","1,337,000.00","-1,928,000.00","-299,000.00","2,909,000.00",--,"2,909,000.00",10.50,10.39,"276,920.00","282,880.00","1,559,000.00","18,281,000.00","2,938,000.00","3,127,600.00","111,000.00","285,000.00","-174,000.00","1,622,000.00","2,534,000.00","15,933,000.00","912,000.00","2,938,000.00","-240,000.00","-240,000.00","2,774,000.00",0.00,"-50,400.00","24,427,000.00","12,583,000.00","11,844,000.00","17,743,000.00","11,548,000.00","588,000.00","3,998,000.00","3,439,000.00","17,747,000.00","3,998,000.00","6,787,000.00","4,559,000.00","279,033.37","279,033.37","11,500.00","1,896,000.00","-1,002,000.00","-807,000.00","1,640,000.00","-906,000.00",--,--,"-332,000.00","-398,000.00","990,000.00"
12/31/2022,"17,489,000.00","14,854,000.00","2,635,000.00","1,287,000.00","1,348,000.00","-133,000.00","-225,000.00","990,000.00","121,000.00","-279,000.00","531,000.00",--,"531,000.00",1.96,1.96,"270,900.00","271,180.00","1,263,000.00","16,141,000.00","594,000.00","768,240.00","86,000.00","219,000.00","-133,000.00","1,209,000.00","1,971,000.00","14,241,000.00","762,000.00","594,000.00","-198,000.00","-198,000.00","2,169,000.00",0.00,"-23,760.00","21,884,000.00","12,790,000.00","9,094,000.00","15,257,000.00","8,809,000.00","488,000.00","1,118,000.00","2,919,000.00","15,282,000.00","1,118,000.00","6,961,000.00","4,942,000.00","270,949.58","270,949.58","11,500.00","1,263,000.00","-5,182,000.00","2,359,000.00","1,555,000.00","-844,000.00",--,"2,472,000.00","-5,000.00",--,"419,000.00"
12/31/2021,"15,618,000.00","13,182,000.00","2,436,000.00","1,223,000.00","1,213,000.00","-141,000.00","-162,000.00","910,000.00","101,000.00","-200,000.00","527,000.00",--,"527,000.00",1.95,1.94,"270,460.00","271,220.00","1,189,000.00","14,405,000.00","590,000.00","716,239.56","9,000.00","150,000.00","-141,000.00","1,060,000.00","1,833,000.00","12,557,000.00","773,000.00","590,000.00","-142,000.00","-142,000.00","1,975,000.00",0.00,"-15,760.44","18,007,000.00","9,446,000.00","8,561,000.00","12,406,000.00","8,347,000.00","396,000.00","4,872,000.00","4,229,000.00","12,414,000.00","4,872,000.00","4,463,000.00","928,000.00","270,514.14","270,514.14","11,500.00","1,222,000.00","-729,000.00","-191,000.00","3,139,000.00","-611,000.00",--,"1,450,000.00","-1,503,000.00",--,"611,000.00"
12/31/2020,"13,066,000.00","11,126,000.00","1,940,000.00","1,120,000.00","820,000.00","-156,000.00","1,290,000.00","1,954,000.00","49,000.00","-83,000.00","1,769,000.00","35,000.00","1,804,000.00",6.72,6.66,"263,430.00","270,700.00","2,118,000.00","12,246,000.00","1,804,000.00","1,939,800.00","8,000.00","164,000.00","-156,000.00","2,118,000.00","2,882,000.00","10,506,000.00","764,000.00","1,804,000.00","-140,000.00","-140,000.00","3,022,000.00",0.00,"-4,200.00","17,522,000.00","9,422,000.00","8,100,000.00","11,916,000.00","7,905,000.00","400,000.00","4,234,000.00","3,419,000.00","12,006,000.00","4,234,000.00","4,501,000.00","1,280,000.00","270,025.37","270,025.37","11,500.00","1,413,000.00","-626,000.00","1,613,000.00","2,853,000.00","-584,000.00","2,230,000.00",--,"-411,000.00","-57,000.00","829,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
