Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,14462000.0,7526000.0,6936000.0,3294000.0,3642000.0,-1843000.0,824000.0,2623000.0,530000.0,1587000.0,-28000.0,1587000.0,1.9,1.9,837600.0,837600.0,3379000.0,10820000.0,1405666.6666666667,-1843000.0,1676000.0,2302858.56,3754000.0,6708000.0,7165000.0,2954000.0,2093000.0,-263000.0,-263000.0,6971000.0,0.0,-53141.44,102330500.0,75091250.0,27239250.0,61851000.0,1934000.0,25219250.0,129333.33333333333,20558500.0,-2012500.0,65908750.0,18624500.0,40760250.0,40500000.0,822250.0,822250.0,6216000.0,-865000.0,-5459000.0,207000.0,106000.0,1643000.0,-11095000.0,75000.0,12231000.0,-14882000.0,-440000.0,-4879000.0
12/31/2023,14393000.0,7435000.0,6958000.0,3264000.0,3694000.0,-1674000.0,712000.0,2732000.0,575000.0,1913000.0,-19500.0,1913000.0,2.29,2.29,836400.0,836500.0,3414000.0,10699000.0,1405666.6666666667,-1674000.0,1994000.0,2378200.0,3694000.0,6822000.0,6887000.0,3128000.0,2157000.0,-280000.0,-280000.0,7102000.0,0.0,-58800.0,109032000.0,81503000.0,27529000.0,60585000.0,1783000.0,25746000.0,192000.0,22441000.0,911000.0,69797000.0,20658000.0,44243000.0,43867000.0,838000.0,838000.0,6572000.0,-7207000.0,595000.0,301000.0,286000.0,1991000.0,-10211000.0,94000.0,10468000.0,-7548000.0,-1710000.0,-3639000.0
12/31/2022,13938000.0,7561000.0,6377000.0,3117000.0,3260000.0,-1002000.0,-1718000.0,540000.0,113000.0,1228000.0,-19500.0,1228000.0,1.19,1.09,835000.0,835000.0,1433000.0,10678000.0,1405666.6666666667,-1002000.0,1321000.0,1872157.0,3260000.0,6373000.0,6890000.0,3113000.0,427000.0,-1827000.0,-1827000.0,8200000.0,0.0,-381843.0,104795000.0,77136000.0,27659000.0,62011000.0,1783000.0,25876000.0,91000.0,22703000.0,-3600000.0,66988000.0,20920000.0,41203000.0,40993000.0,835000.0,835000.0,3700000.0,-6746000.0,2979000.0,341000.0,139000.0,1408000.0,-7591000.0,1866000.0,6974000.0,-1838000.0,-1610000.0,-3891000.0
12/31/2021,11419000.0,6007000.0,5412000.0,2807000.0,2605000.0,-1255000.0,530000.0,1880000.0,-181000.0,3331000.0,-19500.0,3331000.0,4.06,3.98,810000.0,810000.0,1996000.0,8814000.0,1354000.0,-1255000.0,3399000.0,2485570.0,2605000.0,5386000.0,5343000.0,2781000.0,2041000.0,-609000.0,-609000.0,5995000.0,0.0,-164430.0,99590000.0,72282000.0,27308000.0,64734000.0,1783000.0,25525000.0,129333.33333333333,19119000.0,-1404000.0,66106000.0,17336000.0,40581000.0,40298000.0,810000.0,810000.0,4037000.0,-6247000.0,2371000.0,408000.0,160000.0,1340000.0,-5960000.0,934000.0,9984000.0,-6140000.0,-1710000.0,-1923000.0
12/31/2020,14172000.0,6870000.0,7302000.0,3203000.0,4099000.0,-1377000.0,-1311000.0,1411000.0,83000.0,-466000.0,-11000.0,-477000.0,-0.5,-0.57,806000.0,831000.0,2055000.0,10073000.0,1377000.0,-1377000.0,-401000.0,3400764.71,4099000.0,6935000.0,6366000.0,2836000.0,1477000.0,-2044000.0,-2044000.0,8979000.0,0.0,-120235.29,95905000.0,69444000.0,26461000.0,60074000.0,2387000.0,23730000.0,129333.33333333333,17971000.0,-3957000.0,60744000.0,15584000.0,37014000.0,36842000.0,806000.0,806000.0,5227000.0,-2916000.0,-2333000.0,247000.0,159400.0,1605000.0,-6020000.0,159000.0,7927000.0,-4020000.0,-3080000.0,-793000.0
12/31/2019,13676800.0,7079800.0,6597000.0,3137000.0,3460000.0,-1430200.0,-192600.0,1837200.0,224000.0,1518600.0,-19500.0,1516400.0,1.7879999999999996,1.738,825000.0,830020.0,2455400.0,10216800.0,1486000.0,-1430200.0,1597800.0,2487910.054,3482400.0,6444800.0,6530200.0,2962400.0,1639000.0,-1004600.0,-1004600.0,7449400.0,0.0,-155689.946,102330500.0,75091250.0,27239250.0,61851000.0,1934000.0,25219250.0,105000.0,20558500.0,-2012500.0,65908750.0,18624500.0,40760250.0,40500000.0,822250.0,822250.0,5150400.0,-4796200.0,-369400.0,300800.0,106000.0,1643000.0,-8175400.0,625600.0,9516800.0,-6885600.0,-1710000.0,-3025000.0
