Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,2028953.0,1129386.0,899567.0,642871.0,256696.0,-12995.0,5167.0,248868.0,41046.0,207822.0,207822.0,4.91,4.83,42538.0,43057.0,256696.0,1772257.0,207822.0,207822.0,12995.0,-12995.0,261863.0,429414.0,1031656.0,167551.0,207822.0,429414.0,0.0,4175878.75,1707747.0,2468131.75,3184349.5,2468131.75,44686.5,-451377.5,125154.25,3211799.75,-451377.5,788354.5,775383.6666666666,48147.97,41481.785,6666.185,461058.0,-101741.0,-227359.0,250722.0,88949.0,8798.0,-58229.0,1500000.0,-275000.0,-14230.5,402829.0
12/31/2023,1951751.0,1090652.0,861099.0,642562.0,218537.0,-23629.0,3328.0,198236.0,32317.0,165919.0,165919.0,3.95,3.88,42024.0,42769.0,218537.0,1733214.0,165919.0,165919.0,23629.0,-23629.0,221865.0,392632.0,994517.0,170767.0,165919.0,392632.0,0.0,4676663.0,1738668.0,2937995.0,3534201.0,2937995.0,50882.0,-590108.0,-140553.0,3584002.0,-590108.0,696889.0,480514.0,48147.97,42289.49,5858.48,380440.0,-76960.0,-311844.0,165493.0,142820.0,19154.0,-53009.0,1500000.0,-345000.0,-14230.5,327431.0
12/31/2022,1850204.0,1066341.0,783863.0,569614.0,214249.0,-28379.0,1723.0,187593.0,23353.0,164240.0,164240.0,3.95,3.87,41544.0,42399.0,214249.0,1635955.0,164240.0,164240.0,28379.0,-28379.0,215972.0,388013.0,955663.0,172041.0,164240.0,388013.0,0.0,4687417.0,2063028.0,2624389.0,3581778.0,2624389.0,58785.0,-915272.0,-42453.0,3611778.0,-915272.0,1046174.0,813532.0,48147.97,41782.98,6364.99,381455.0,-172530.0,-344239.0,173857.0,38490.0,21256.0,-50151.0,1500000.0,-360000.0,-14230.5,331304.0
12/31/2021,1592287.0,882643.0,709644.0,528909.0,180735.0,-23298.0,1544.0,158981.0,-2477.0,161458.0,161458.0,3.95,3.82,40848.0,42244.0,180735.0,1411552.0,161458.0,161458.0,23298.0,-23298.0,182279.0,328119.0,781652.0,145840.0,161458.0,328119.0,0.0,4732161.0,2408129.0,2324032.0,3635308.0,2324032.0,46896.0,-1116624.0,134830.0,3665308.0,-1116624.0,1388172.0,1032105.0,48147.97,41315.33,6832.64,371753.0,-2090935.0,1424730.0,309171.0,2212.0,17728.0,-55612.0,1500000.0,-145000.0,-12977.0,316141.0
12/31/2020,1116663.0,574151.0,542512.0,369586.0,172926.0,-1013.0,3129.0,175042.0,-19778.0,194820.0,194820.0,4.87,4.69,40035.0,41526.0,172926.0,943737.0,194820.0,194820.0,1013.0,-1013.0,176055.0,257712.0,514156.0,81657.0,194820.0,257712.0,0.0,2607274.0,621163.0,1986111.0,1986111.0,1986111.0,22183.0,816494.0,548793.0,1986111.0,816494.0,22183.0,775383.6666666666,48147.97,40539.34,7608.63,355089.0,-98320.0,114172.0,603623.0,68117.75,16734.0,-28466.0,1500000.0,-281250.0,-15484.0,326623.0
12/31/2019,1707971.6,948634.6,759337.0,550708.4,208628.6,-17862.8,2978.2,193744.0,14892.2,178851.8,178851.8,4.326,4.218000000000001,41397.8,42399.0,208628.6,1499343.0,178851.8,178851.8,17862.8,-17862.8,211606.8,359178.0,855528.8,147571.2,178851.8,359178.0,0.0,4175878.75,1707747.0,2468131.75,3184349.5,2468131.75,44686.5,-451377.5,125154.25,3211799.75,-451377.5,788354.5,775383.6666666666,48147.97,41481.785,6666.185,389959.0,-508097.2,131092.0,300573.2,68117.75,16734.0,-49093.4,1500000.0,-281250.0,-14230.5,340865.6
