Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,3942861.0,1189817.0,2753044.0,2069529.0,683515.0,18193.0,-64465.0,637243.0,190210.0,-7528.0,447033.0,447033.0,5.9,5.89,75655.0,75777.0,639072.0,3259346.0,447033.0,478210.26,18193.0,18193.0,683515.0,823389.0,1189817.0,139874.0,447033.0,-44443.0,-44443.0,867832.0,0.0,-13265.74,5700904.25,2178797.75,3522106.5,3522106.5,3522106.5,116270.5,2995090.5,493113.0,3522106.5,2995090.5,116270.5,77478.0,77478.0,522595.0,-209706.0,-501723.0,763464.0,201523.5,-117871.0,26678.0,-45773.0,-450012.0,404724.0
12/31/2023,3862260.0,1155397.0,2706863.0,2050209.0,656654.0,17258.0,-32708.0,641204.0,196151.0,-7528.0,445053.0,445053.0,5.82,5.81,76426.0,76568.0,643338.0,3205606.0,445053.0,454294.3,17258.0,17258.0,656654.0,799055.0,1155397.0,142401.0,445053.0,-13316.0,-13316.0,812371.0,0.0,-4074.7,6083877.0,2453388.0,3630489.0,3630489.0,3630489.0,126619.0,3128841.0,380007.0,3630489.0,3128841.0,126619.0,75075.0,75075.0,785776.0,-195943.0,-598340.0,938519.0,294569.0,-177716.0,26595.0,-45773.0,-592360.0,608060.0
12/31/2022,3734635.0,1100860.0,2633775.0,1979727.0,654048.0,5367.0,-60358.0,599057.0,237484.0,-7528.0,361573.0,361573.0,4.62,4.61,78190.0,78420.0,642595.0,3080587.0,361573.0,368490.61,5367.0,5367.0,654048.0,779841.0,1100860.0,125793.0,361573.0,-11453.0,-11453.0,791294.0,0.0,-4535.39,5947947.0,2346589.0,3601358.0,3601358.0,3601358.0,126908.0,3098087.0,498504.0,3601358.0,3098087.0,126908.0,77267.0,77267.0,568732.0,-213316.0,-501686.0,942355.0,231884.0,-291900.0,26149.0,-45773.0,-435036.0,276832.0
12/31/2021,3952584.0,1017229.0,2935355.0,1958955.0,976400.0,3103.0,32920.0,1012423.0,240403.0,-7528.0,772020.0,772020.0,9.78,9.69,78917.0,79670.0,976400.0,2976184.0,772020.0,772020.0,3103.0,3103.0,976400.0,1085129.0,1017229.0,108729.0,772020.0,-23070.666666666668,-23070.666666666668,1085129.0,0.0,-7291.943333333333,5942110.0,2319396.0,3622714.0,3622714.0,3622714.0,125375.0,3094458.0,570004.0,3622714.0,3094458.0,125375.0,78710.0,78710.0,1172544.0,-563430.0,-458332.0,1100139.0,203309.0,-401098.0,25623.0,-45773.0,-375038.0,771446.0
12/31/2020,2471941.0,708706.0,1763235.0,1376064.0,387171.0,3125.0,-11347.0,378949.0,-1396939.0,-7528.0,1775888.0,1775888.0,22.55,22.41,78760.0,79230.0,387171.0,2084770.0,1775888.0,1775888.0,3125.0,3125.0,387171.0,480709.0,708706.0,93538.0,1775888.0,-23070.666666666668,-23070.666666666668,480709.0,0.0,-7291.943333333333,4829683.0,1595818.0,3233865.0,3233865.0,3233865.0,86180.0,2658976.0,523937.0,3233865.0,2658976.0,86180.0,78860.0,78860.0,662174.0,-231506.0,-30808.0,961474.0,76332.0,-154916.0,20314.0,-45773.0,-463111.5,507258.0
12/31/2019,3592856.2,1034401.8,2558454.4,1886896.8,671557.6,9409.2,-27191.6,653775.2,-106538.2,-7528.0,760313.4,760313.4,9.734,9.681999999999999,77589.6,77933.0,657715.2,2921298.6,760313.4,769780.634,9409.2,9409.2,671557.6,793624.6,1034401.8,122067.0,760313.4,-23070.666666666668,-23070.666666666668,807467.0,0.0,-7291.943333333333,5700904.25,2178797.75,3522106.5,3522106.5,3522106.5,116270.5,2995090.5,493113.0,3522106.5,2995090.5,116270.5,77478.0,77478.0,742364.2,-282780.2,-418177.8,941190.2,201523.5,-228700.2,25071.8,-45773.0,-463111.5,513664.0
