Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"62,480,000.00","15,460,000.00","47,020,000.00","30,969,000.00","16,051,000.00","-955,000.00","153,000.00","15,249,000.00","1,497,000.00","13,736,000.00","13,736,000.00",5.41,5.40,"2,534,500.00","2,549,500.00","46,429,000.00","13,736,000.00","14,375,397.21","285,000.00","1,240,000.00","-955,000.00","16,489,000.00","20,583,000.00","15,460,000.00","4,094,000.00","13,736,000.00","-709,000.00","-709,000.00","21,292,000.00",0.00,"-69,602.79",,,,,,,,,,,,,,,"16,690,000.00","-2,726,000.00","-8,112,000.00","11,564,000.00","-3,543,000.00","3,593,000.00","-755,000.00","-1,232,000.00","13,147,000.00"
12/31/2023,"60,115,000.00","16,126,000.00","43,989,000.00","41,035,000.00","2,954,000.00","-781,000.00","-284,000.00","1,889,000.00","1,512,000.00","365,000.00","365,000.00",0.14,0.14,"2,537,000.00","2,547,000.00","57,161,000.00","365,000.00","861,910.00","365,000.00","1,146,000.00","-781,000.00","3,035,000.00","6,907,000.00","16,126,000.00","3,872,000.00","365,000.00","-629,000.00","-629,000.00","7,536,000.00",0.00,"-132,090.00","106,675,000.00","69,040,000.00","37,635,000.00","71,264,000.00","37,581,000.00","-1,627,000.00","6,474,000.00","72,636,000.00","-1,627,000.00","35,055,000.00","28,214,000.00","3,577,103.52","2,531,633.27","1,045,470.25","13,006,000.00","-14,083,000.00","-4,810,000.00","6,909,000.00","-3,863,000.00","5,939,000.00","-1,755,000.00","-1,346,000.00","9,143,000.00"
12/31/2022,"59,283,000.00","17,411,000.00","41,872,000.00","23,590,000.00","18,282,000.00","-805,000.00","-1,033,000.00","16,444,000.00","1,918,000.00","14,519,000.00","14,519,000.00",5.73,5.71,"2,532,000.00","2,542,000.00","41,001,000.00","14,519,000.00","16,278,819.00","157,000.00","962,000.00","-805,000.00","17,406,000.00","21,315,000.00","17,411,000.00","3,909,000.00","14,519,000.00","-1,993,000.00","-1,993,000.00","23,308,000.00",0.00,"-233,181.00","109,160,000.00","63,102,000.00","46,058,000.00","74,736,000.00","45,991,000.00","4,518,000.00","11,483,000.00","76,682,000.00","4,518,000.00","30,691,000.00","17,997,000.00","3,577,103.52","2,537,833.88","1,039,269.64","19,095,000.00","-4,960,000.00","-9,119,000.00","12,773,000.00","-4,388,000.00",--,"-2,251,000.00",--,"14,707,000.00"
12/31/2021,"48,704,000.00","13,626,000.00","35,078,000.00","21,879,000.00","13,199,000.00","-770,000.00","1,450,000.00","13,879,000.00","1,521,000.00","13,049,000.00","13,049,000.00",5.16,5.14,"2,530,000.00","2,538,000.00","35,505,000.00","13,049,000.00","11,470,617.41","36,000.00","806,000.00","-770,000.00","14,685,000.00","17,899,000.00","13,626,000.00","3,214,000.00","12,345,000.00","982,000.00","982,000.00","16,917,000.00",0.00,"107,617.41","105,694,000.00","67,437,000.00","38,257,000.00","68,874,000.00","38,184,000.00","-6,013,000.00","6,394,000.00","71,286,000.00","-6,013,000.00","33,102,000.00","25,006,000.00","3,577,103.52","2,527,604.50","1,049,499.02","14,109,000.00","-16,555,000.00","2,593,000.00","8,167,000.00","-4,448,000.00","7,936,000.00","-2,319,000.00","-840,000.00","9,661,000.00"
12/31/2020,"41,518,000.00","13,618,000.00","27,900,000.00","22,352,000.00","5,548,000.00","-772,000.00","1,087,000.00","5,863,000.00","1,340,000.00","7,067,000.00","7,067,000.00",2.79,2.78,"2,530,225.83","2,541,000.00","35,970,000.00","7,067,000.00","6,590,522.00","59,000.00","831,000.00","-772,000.00","6,694,000.00","10,180,000.00","13,618,000.00","3,486,000.00","7,067,000.00","618,000.00","618,000.00","9,562,000.00",0.00,"141,522.00","91,588,000.00","66,184,000.00","25,404,000.00","50,677,000.00","25,317,000.00","-7,666,000.00","437,000.00","57,108,000.00","-7,666,000.00","31,791,000.00","23,741,000.00","3,577,103.52","2,530,225.83","1,046,877.70","10,253,000.00","-9,443,000.00","-2,832,000.00","8,153,000.00","-4,429,000.00","4,419,000.00","-1,957,000.00","-1,281,000.00","5,824,000.00"
12/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,--
