Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Other Cash Adjustment Inside Change in Cash,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"2,409,818.00","974,691.00","1,435,127.00","970,486.00","464,641.00","-236,970.00","77,558.00","305,229.00","5,371.00","8,086.00","287,144.00","287,180.00",0.48,0.48,"599,359.00","599,729.50","1,945,177.00","287,881.00","296,764.87","9,844.00","239,111.00","-236,970.00","544,340.00","1,420,160.00","974,691.00","875,820.00","287,881.00","-9,043.00","-9,043.00","1,429,203.00",0.00,-159.13,,,,,,,,,,,,,,,"953,269.00","-348,339.00","-606,160.00",--,"159,295.00","3,862.00","218,189.00",--,"8,226,700.00","-7,870,133.00","-169,981.00","953,269.00"
12/31/2023,"2,181,003.00","902,060.00","1,278,943.00","845,033.00","433,910.00","-200,331.00","81,357.00","314,936.00","-9,617.00","10,204.00","304,284.00","304,284.00",0.56,0.56,"547,006.00","547,275.00","1,747,093.00","306,009.00","247,115.29",--,"200,331.00","-200,331.00","515,267.00","1,265,168.00","902,060.00","749,901.00","306,009.00","74,549.00","74,549.00","1,190,619.00",0.00,"15,655.29","15,698,850.00","8,773,980.00","6,924,870.00","12,506,745.00","6,350,446.00","206,743.00","6,036,290.00","-816,646.00","13,226,745.00","6,036,290.00","7,083,042.00","6,758,664.00","547,156.31","547,156.31","956,242.00","-576,754.00","-337,299.00",--,"169,023.00","1,923.00","188,213.00",278.00,"11,088,483.00","-10,710,400.00","-6,524.00","956,242.00"
12/31/2022,"2,061,178.00","862,991.00","1,198,187.00","841,602.00","356,585.00","-172,944.00","323,489.00","507,130.00","-4,425.00","1,985.00","497,792.00","497,792.00",0.92,0.92,"538,809.00","539,147.00","1,704,593.00","500,449.00","499,760.41",--,"172,944.00","-172,944.00","680,074.00","1,390,643.00","862,991.00","710,569.00","497,565.00","-2,779.00","-2,779.00","1,393,422.00",0.00,-583.59,"15,771,229.00","8,482,952.00","7,288,277.00","12,156,708.00","6,654,701.00","208,515.00","6,236,640.00","-1,167,193.00","13,152,314.00","6,236,640.00","6,706,128.00","6,425,581.00","546,641.97","546,641.97","900,261.00","-876,343.00","-116,532.00",--,"126,834.00",--,"162,115.00","308,100.00","16,382,153.00","-16,057,570.00","-67,838.00","900,261.00"
12/31/2021,"1,896,184.00","773,279.00","1,122,905.00","782,589.00","340,316.00","-157,980.00","-53,969.00","128,367.00","-3,261.00","6,100.00","502,271.00","502,271.00",0.93,0.93,"538,930.00","539,241.00","1,555,868.00","505,540.00","161,309.55",--,"157,980.00","-157,980.00","286,347.00","970,633.00","773,279.00","684,286.00","117,338.00","-60,235.00","-60,235.00","1,030,868.00",0.00,"-16,263.45","15,257,519.00","8,111,415.00","7,146,104.00","11,519,484.00","6,515,470.00","204,547.00","5,995,710.00","-1,222,982.00","12,685,459.00","5,995,710.00","6,374,536.00","6,011,702.00","539,096.88","539,096.88","795,248.00","531,032.00","-1,288,517.00",--,"219,448.00","4,521.00","173,044.00","5,036.00","17,909,987.00","-18,211,001.00","-12,841.00","795,248.00"
12/31/2020,"1,644,875.00","782,541.00","862,334.00","647,186.00","215,148.00","-218,336.00","220,871.00","217,683.00","-9,423.00","-66,599.00","411,147.00","411,147.00",0.77,0.77,"530,555.00","531,056.00","1,429,727.00","413,563.00","155,900.49",--,"218,336.00","-218,336.00","436,019.00","1,133,162.00","639,347.00","697,143.00","145,817.00","-13,813.00","-13,813.00","1,146,975.00",0.00,"-3,729.51","15,920,089.00","8,572,743.00","7,347,346.00","12,902,112.00","6,733,723.00","179,895.00","6,213,806.00","1,669,438.00","13,031,702.00","6,213,806.00","6,477,874.00","6,253,753.00","538,405.39","538,405.39","758,431.00","-1,007,700.00","246,450.00","-70,253.00","181,685.00",--,"209,843.00","1,068,877.00","5,337,350.00","-5,274,353.00","-10,529.00","758,431.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"9,844.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"-90,874.00",--,"1,426.00",--,--,--,--,--,--
