Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Rent Expense Supplemental,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Free Cash Flow
TTM,5819276.0,2522756.0,3296520.0,2127019.0,1169501.0,-645625.0,-242787.0,281089.0,48858.0,229369.0,229369.0,0.78,0.78,292641.0,295085.5,944507.0,741603.6666666666,4649775.0,229369.0,408601.18,10699.0,656324.0,-645625.0,937413.0,1791174.0,2501749.0,853761.0,229369.0,-216940.0,-216940.0,2008114.0,0.0,-37707.82,15553403.5,14774536.0,778867.5,10651753.5,710249.25,2574500.0,-5322930.0,-543570.75,10829604.25,-5322930.0,12693855.0,9912985.75,290250.78750000003,290250.78750000003,1179688.0,-1758822.0,585130.0,155489.0,86196.0,625123.0,-1523067.0,14545650.0,-13005193.0,-343379.0
12/31/2023,5480289.0,2357800.0,3122489.0,2012446.0,1110043.0,-585932.0,-296905.0,227206.0,39943.0,184234.0,184234.0,0.63,0.63,291936.0,293965.0,921778.0,741603.6666666666,4370246.0,184234.0,369686.74,12471.0,598403.0,-585932.0,825609.0,1618627.0,2340941.0,793018.0,184234.0,-225064.0,-225064.0,1843691.0,0.0,-39611.26,17473802.0,17084082.0,389720.0,12024148.0,211648.0,2854189.0,-6086030.0,-500643.0,12144818.0,-6086030.0,14787359.0,11710381.0,292142.74,292142.74,1113567.0,-1444356.0,425666.0,222789.0,89599.0,512446.0,-1345097.0,19376168.0,-18195776.0,-231530.0
12/31/2022,5103574.0,2189120.0,2914454.0,1868172.0,1046282.0,-488014.0,73370.0,631638.0,69489.0,556981.0,556981.0,1.92,1.9,290812.0,292444.18,1049871.0,741603.6666666666,4057292.0,556981.0,499485.22,8276.0,496290.0,-488014.0,1127928.0,1873567.0,2171076.0,745639.0,556981.0,64602.0,64602.0,1808965.0,0.0,7106.22,16140514.0,15408561.0,731953.0,11118117.0,636668.0,2717905.0,-5669211.0,-370419.0,11205663.0,-5669211.0,13286900.0,10427198.0,290830.3,290830.3,927695.0,-1660423.0,639207.0,141797.0,99631.0,482673.0,-883583.0,12949766.0,-11596405.0,44112.0
12/31/2021,4491531.0,1887229.0,2604302.0,1702981.0,901321.0,-417961.0,145655.0,629015.0,176290.0,450219.0,450219.0,1.56,1.55,289457.0,290975.0,854172.0,795802.0,3590210.0,450219.0,472824.12,7341.0,425302.0,-417961.0,1054317.0,1751287.0,1870681.0,696970.0,450219.0,-31396.0,-31396.0,1782683.0,0.0,-8790.88,14450031.0,13592963.0,857068.0,9818465.0,855952.0,2431069.0,-4788622.0,-577313.0,10127893.0,-4788622.0,11703010.0,9016113.0,289757.06,289757.06,758902.0,-473313.0,-220806.0,255828.0,130292.0,428111.0,-624376.0,5710026.0,-5166933.0,134526.0
12/31/2020,4147270.0,1757342.0,2389928.0,1601284.0,788644.0,-418535.0,2596.0,372705.0,29609.0,342693.0,342693.0,1.19,1.19,288183.0,288643.0,934785.0,731679.0,3358626.0,342693.0,208097.14,8312.0,426847.0,-418535.0,799552.0,1468997.0,1739966.0,669445.0,342693.0,146141.0,146141.0,1322856.0,0.0,11545.14,14149267.0,13012538.0,1136729.0,9646284.0,1136729.0,2294837.0,-4747857.0,-725908.0,9840043.0,-4747857.0,10998151.0,8498251.0,288273.05,288273.05,987657.0,-85440.0,-886699.0,205063.0,43468.0,390332.0,-453253.0,11404458.0,-11549713.0,534404.0
12/31/2019,5008388.0,2142849.4,2865538.6,1862380.4,1003158.2,-511213.4,-63614.2,428330.6,72837.8,352699.2,352699.2,1.216,1.2100000000000002,290605.8,292222.53599999996,941022.6,697330.0,4005229.8,352699.2,391738.88,9419.8,520633.2,-511213.4,948963.8,1700730.4,2124882.6,751766.6,352699.2,-52531.4,-52531.4,1753261.8,0.0,-13491.720000000001,15553403.5,14774536.0,778867.5,10651753.5,710249.25,2574500.0,-5322930.0,-543570.75,10829604.25,-5322930.0,12693855.0,9912985.75,290250.78750000003,290250.78750000003,993501.8,-1084470.8,108499.6,196193.2,89837.2,487737.0,-965875.2,12797213.6,-11902804.0,27626.6
