Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"68,347,000.00","40,824,000.00","27,523,000.00","17,339,000.00","10,184,000.00","-1,992,000.00","267,000.00","8,459,000.00","1,834,000.00","5,738,000.00","5,738,000.00",21.59,21.30,"265,954.00","269,647.50","58,163,000.00","5,738,000.00","5,564,131.93","1,992,000.00","-1,992,000.00","10,451,000.00","13,623,000.00","40,824,000.00","3,172,000.00","5,738,000.00","222,000.00","222,000.00","13,401,000.00",0.00,"48,131.93",,,,,,,,,,,,,,,"9,593,000.00","-5,144,000.00","-4,480,000.00","831,000.00","1,612,000.00","1,910,000.00","-4,705,000.00","4,489,000.00","-1,760,000.00","-4,597,000.00","4,888,000.00"
12/31/2023,"64,968,000.00","39,389,000.00","25,579,000.00","15,952,000.00","9,627,000.00","-1,938,000.00","17,000.00","7,706,000.00","1,615,000.00","5,242,000.00","5,242,000.00",19.25,18.97,"272,404.00","276,412.00","55,341,000.00","5,242,000.00","5,245,950.00","1,938,000.00","-1,938,000.00","9,644,000.00","12,721,000.00","39,389,000.00","3,077,000.00","5,242,000.00","-5,000.00","-5,000.00","12,726,000.00",0.00,"-1,050.00","56,211,000.00","55,151,000.00","1,060,000.00","35,395,000.00","-1,774,000.00","2,266,000.00","-11,719,000.00","2,272,000.00","37,819,000.00","-11,719,000.00","41,859,000.00","38,658,000.00","265,537.30","265,537.30","9,431,000.00","-5,317,000.00","-4,094,000.00","935,000.00","1,386,000.00","1,892,000.00","-4,744,000.00","3,224,000.00","-909,000.00","-3,811,000.00","4,687,000.00"
12/31/2022,"60,233,000.00","37,056,000.00","23,177,000.00","14,124,000.00","9,053,000.00","-1,741,000.00","1,268,000.00","8,580,000.00","1,746,000.00","5,643,000.00","5,643,000.00",19.43,19.15,"290,348.00","294,666.00","51,180,000.00","5,643,000.00","4,668,269.00","1,741,000.00","-1,741,000.00","10,321,000.00","13,290,000.00","37,056,000.00","2,969,000.00","5,643,000.00","1,223,000.00","1,223,000.00","12,067,000.00",0.00,"248,269.00","52,438,000.00","52,511,000.00","-73,000.00","34,947,000.00","-2,767,000.00","2,116,000.00","-12,420,000.00","3,741,000.00","35,317,000.00","-12,420,000.00","40,200,000.00","37,176,000.00","277,378.30","277,378.30","8,522,000.00","-3,389,000.00","-5,656,000.00","908,000.00","1,175,000.00","1,662,000.00","-4,395,000.00","5,997,000.00","-2,830,000.00","-7,000,000.00","4,127,000.00"
12/31/2021,"58,752,000.00","36,260,000.00","22,492,000.00","12,814,000.00","9,678,000.00","-1,566,000.00","1,721,000.00","9,833,000.00","2,112,000.00","6,956,000.00","6,956,000.00",22.77,21.16,"305,476.80","328,752.00","49,074,000.00","6,956,000.00","5,693,720.00","1,566,000.00","-1,566,000.00","11,399,000.00","14,252,000.00","36,260,000.00","2,853,000.00","6,956,000.00","1,608,000.00","1,608,000.00","12,644,000.00",0.00,"345,720.00","50,742,000.00","49,253,000.00","1,489,000.00","33,409,000.00","-933,000.00","2,147,000.00","-10,473,000.00","3,960,000.00","33,646,000.00","-10,473,000.00","36,726,000.00","33,128,000.00","305,476.80","305,476.80","8,959,000.00","-2,643,000.00","-6,655,000.00","1,451,000.00","2,182,000.00","1,502,000.00","-3,577,000.00","4,344,000.00","-3,869,000.00","-8,215,000.00","5,382,000.00"
12/31/2020,"51,533,000.00","32,243,000.00","19,290,000.00","12,028,000.00","7,262,000.00","-1,584,000.00","-248,000.00","5,430,000.00","1,043,000.00","3,754,000.00","3,754,000.00",11.06,10.93,"339,425.60","343,605.00","44,271,000.00","3,754,000.00","3,998,016.00","1,584,000.00","-1,584,000.00","7,014,000.00","9,735,000.00","32,243,000.00","2,721,000.00","3,754,000.00","-302,000.00","-302,000.00","10,037,000.00",0.00,"-57,984.00","47,490,000.00","44,598,000.00","2,892,000.00","31,367,000.00","572,000.00","2,052,000.00","-8,006,000.00","3,629,000.00","31,576,000.00","-8,006,000.00","33,056,000.00","29,211,000.00","339,425.60","339,425.60","9,232,000.00","-3,393,000.00","-4,677,000.00","1,793,000.00","1,002,000.00","1,607,000.00","-2,835,000.00","2,700,000.00","-3,437,000.00","-441,000.00","6,397,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,
