Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Income,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"10,244,000.00","6,573,000.00","3,671,000.00","1,392,000.00","2,279,000.00","-624,000.00","163,000.00","1,818,000.00","167,000.00","1,651,000.00","1,651,000.00",3.31,3.30,"498,500.00","500,000.00","2,510,000.00","7,965,000.00","122,000.00","746,000.00","-624,000.00","1,651,000.00","1,495,707.92","2,564,000.00","3,906,000.00","6,385,000.00","1,342,000.00","1,651,000.00","171,000.00","171,000.00","3,735,000.00",0.00,"15,707.92",,,,,,,,,,,,,,,,"2,540,000.00","-3,451,000.00","459,000.00","145,000.00","98,000.00","711,000.00","-3,515,000.00","4,583,000.00","-2,825,000.00",--,"-975,000.00"
12/31/2023,"11,237,000.00","6,410,000.00","4,827,000.00","1,353,000.00","3,474,000.00","-567,000.00","174,000.00","3,081,000.00","518,000.00","2,563,000.00","2,563,000.00",5.13,5.13,"498,000.00","500,000.00","3,685,000.00","7,763,000.00","121,000.00","688,000.00","-567,000.00","2,563,000.00","2,411,599.16","3,769,000.00","5,093,000.00","6,221,000.00","1,324,000.00","2,563,000.00","182,000.00","182,000.00","4,911,000.00",0.00,"30,599.16","50,741,000.00","35,264,000.00","15,477,000.00","33,261,000.00","15,477,000.00","173,000.00","15,477,000.00","-1,684,000.00","35,710,000.00","15,477,000.00","20,406,000.00","20,179,000.00","534,000.00","498,000.00","36,000.00","3,806,000.00","-2,958,000.00","-1,260,000.00","99,000.00","144,000.00","683,000.00","-3,325,000.00","3,800,000.00","-3,825,000.00",--,"481,000.00"
12/31/2022,"9,800,000.00","7,196,000.00","2,604,000.00","751,000.00","1,853,000.00","-470,000.00","-381,000.00","1,002,000.00","-29,000.00","1,031,000.00","1,031,000.00",2.06,2.06,"498,000.00","501,000.00","1,381,000.00","7,947,000.00","93,000.00","563,000.00","-470,000.00","1,031,000.00","1,337,520.00","1,565,000.00","2,848,000.00","7,013,000.00","1,283,000.00","1,031,000.00","-388,000.00","-388,000.00","3,236,000.00",0.00,"-81,480.00","48,718,000.00","34,989,000.00","13,729,000.00","30,224,000.00","13,729,000.00","169,000.00","13,729,000.00","-2,377,000.00","33,999,000.00","13,729,000.00","20,439,000.00","19,805,000.00","534,000.00","497,000.00","37,000.00","1,503,000.00","-1,101,000.00","-754,000.00","511,000.00","353,000.00","602,000.00","-2,888,000.00","4,850,000.00","-4,019,000.00","-500,000.00","-1,385,000.00"
12/31/2021,"9,722,000.00","6,725,000.00","2,997,000.00","907,000.00","2,090,000.00","-421,000.00","-2,758,000.00","-1,089,000.00","-441,000.00","-648,000.00","-648,000.00",-1.29,-1.29,"504,000.00","504,000.00","-856,000.00","7,632,000.00","79,000.00","500,000.00","-421,000.00","-648,000.00","996,600.00","-589,000.00","814,000.00","6,538,000.00","1,403,000.00","-648,000.00","-2,741,000.00","-2,741,000.00","3,555,000.00",0.00,"-1,096,400.00","48,999,000.00","34,561,000.00","14,438,000.00","29,657,000.00","14,438,000.00","191,000.00","14,418,000.00","-822,000.00","33,876,000.00","14,418,000.00","19,629,000.00","18,620,000.00","534,000.00","504,000.00","30,000.00","1,736,000.00","-2,244,000.00","799,000.00","863,000.00","425,000.00","547,000.00","-2,719,000.00","5,581,000.00","-3,382,000.00",--,"-983,000.00"
12/31/2020,"9,603,000.00","6,171,000.00","3,432,000.00","1,321,000.00","2,111,000.00","-446,000.00","636,000.00","2,301,000.00","396,000.00","1,905,000.00","1,905,000.00",3.76,3.76,"504,000.00","507,000.00","2,270,000.00","7,492,000.00","67,000.00","513,000.00","-446,000.00","1,905,000.00","1,593,672.00","2,814,000.00","4,283,000.00","5,987,000.00","1,469,000.00","1,905,000.00","376,000.00","376,000.00","3,907,000.00",0.00,"64,672.00","50,050,000.00","34,066,000.00","15,984,000.00","30,480,000.00","15,984,000.00","252,000.00","15,826,000.00","-1,892,000.00","33,227,000.00","15,826,000.00","17,495,000.00","16,700,000.00","534,000.00","504,000.00","30,000.00","3,102,000.00","-2,676,000.00","-30,000.00","572,000.00","297,000.00","568,000.00","-3,034,000.00","3,250,000.00","-2,217,000.00",--,"68,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
