Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Cash Flow from Discontinued Operation,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,12524356.0,8426959.0,4097397.0,2255123.0,1842274.0,-391435.0,-40337.0,1410502.0,264837.0,859622.0,859622.0,9.67,9.4,89087.5,91580.5,1876091.0,10682082.0,859622.0,860164.58,391435.0,-391435.0,1801937.0,2548381.0,8426959.0,746444.0,859622.0,-668.0,-668.0,2549049.0,0.0,-125.42,16982958.5,14423981.0,2558977.5,9378715.25,976874.25,2949623.5,-6244302.75,618252.0,9554283.75,-6244302.75,11527033.0,8224657.75,104202.985,96614.25,23791.72333333334,1810377.0,-685107.0,-1041723.0,423813.0,505717.0,196886.25,329748.25,-541521.0,11382.0,3607001.0,-3334981.0,-975610.0,1268856.0
12/31/2023,12140147.0,8319717.0,3820430.0,2219427.0,1601003.0,-398551.0,-25358.0,1177094.0,220116.0,691535.0,691535.0,7.62,7.42,90790.0,93182.0,1602784.0,10539144.0,691535.0,719213.59,398551.0,-398551.0,1575645.0,2321088.0,8319717.0,745443.0,691535.0,-34045.0,-34045.0,2355133.0,0.0,-6366.42,16893578.0,14150228.0,2743350.0,9324431.0,1056097.0,2724788.0,-6259687.0,495692.0,9447730.0,-6259687.0,11116421.0,8011570.0,88824.0,88824.0,23791.72333333334,2059031.0,-771800.0,-1170495.0,423813.0,464634.0,268091.0,387661.0,-567985.0,11382.0,2468341.0,-3020956.0,-320331.0,1491046.0
12/31/2022,11609894.0,8209553.0,3400341.0,2087799.0,1312542.0,-357019.0,10755.0,966278.0,198087.0,560400.0,560400.0,6.03,5.85,92992.0,95834.0,1339062.0,10297352.0,560400.0,546948.0,357019.0,-357019.0,1323297.0,2055899.0,8209553.0,732602.0,546948.0,-46662.333333333336,-46662.333333333336,2055899.0,0.0,-10515.683333333332,16928252.0,14703452.0,2224800.0,9404943.0,712326.0,2898469.0,-6546970.0,535545.0,9636347.0,-6546970.0,11822490.0,8679935.0,90411.0,90411.0,23791.72333333334,1564570.0,-630347.0,-1121128.0,423813.0,338989.0,209754.0,279002.0,-603429.0,11382.0,2393116.0,-2404395.0,-839595.0,961141.0
12/31/2021,11618797.0,7972414.0,3646383.0,1875950.0,1770433.0,-285254.0,33315.0,1518494.0,306732.0,978450.0,978450.0,9.3,8.9,105230.0,109948.0,1797370.0,9848364.0,978450.0,978450.0,285254.0,-285254.0,1803748.0,2484363.0,7972414.0,680615.0,978450.0,-46662.333333333336,-46662.333333333336,2484363.0,0.0,-10515.683333333332,17121488.0,14750508.0,2370980.0,9484658.0,755508.0,3067070.0,-6468426.0,769190.0,9663688.0,-6468426.0,11975250.0,8446280.0,111166.56,97289.0,13877.56,1930876.0,-784733.0,-1082966.0,423813.0,554960.0,154850.0,326165.0,-641465.0,11382.0,1615370.0,-861115.0,-1598627.0,1289411.0
12/31/2020,11550604.0,7988613.0,3561991.0,1878019.0,1683972.0,-304111.0,-61599.0,1318262.0,313932.0,773642.0,773642.0,6.46,6.31,119797.0,122623.0,1694636.0,9866632.0,773642.0,863513.79,304111.0,-304111.0,1622373.0,2252808.0,7988613.0,630435.0,783295.0,-105274.0,-105274.0,2358082.0,0.0,-25055.21,16988516.0,14091736.0,2896780.0,9300829.0,1383566.0,3108167.0,-5702128.0,672581.0,9469370.0,-5702128.0,11193971.0,7760846.0,126410.38,109933.0,16477.38,1979028.0,-825371.0,-1846777.0,423813.0,501790.0,154850.0,326165.0,-674541.0,11382.0,4046775.0,-4110304.0,-1459417.0,1304487.0
12/31/2019,11888759.6,8183451.2,3705308.4,2063263.6,1642044.8,-347274.0,-16644.8,1278126.0,260740.8,772729.8,772729.8,7.816000000000001,7.5760000000000005,99579.3,102633.5,1661988.6,10246714.8,772729.8,793657.992,347274.0,-347274.0,1625400.0,2332507.8,8183451.2,707107.8,771970.0,-46662.333333333336,-46662.333333333336,2360505.2,0.0,-10515.683333333332,16982958.5,14423981.0,2558977.5,9378715.25,976874.25,2949623.5,-6244302.75,618252.0,9554283.75,-6244302.75,11527033.0,8224657.75,104202.985,96614.25,41020.23,1868776.4,-739471.6,-1252617.8,423813.0,473218.0,196886.25,329748.25,-605788.2,11382.0,2826120.6,-2746350.2,-1038716.0,1262988.2
