Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Interest Income,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Cash Flow from Discontinued Operation,Other Cash Adjustment Inside Change in Cash,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow
TTM,12429000.0,9845000.0,2584000.0,286000.0,2298000.0,-935000.0,-1328000.0,35000.0,140000.0,-15000.0,754000.0,754000.0,1.08,1.06,690156.42,712500.0,10131000.0,490000.0,1425000.0,-935000.0,754000.0,1737660.0,1460000.0,2658000.0,9845000.0,1198000.0,747000.0,-1254000.0,-1254000.0,3912000.0,0.0,-263340.0,37682000.0,32738000.0,4944000.0,22656500.0,838000.0,1960750.0,262000.0,-313500.0,24199750.0,-366500.0,22239000.0,21031000.0,818739.32,667650.1124999999,151089.21250000002,2526000.0,-8662000.0,6635000.0,-72000.0,-85000.0,2424000.0,310000.0,1570000.0,-8161000.0,440000.0,18145000.0,-13197000.0,-5635000.0
12/31/2023,12668000.0,10164000.0,2504000.0,267000.0,2237000.0,-768000.0,-1365000.0,104000.0,261000.0,-32000.0,249000.0,249000.0,0.37,0.35,669000.0,712000.0,10431000.0,551000.0,1319000.0,-768000.0,249000.0,1310870.0,1423000.0,2551000.0,10164000.0,1128000.0,242000.0,-1353000.0,-1353000.0,3904000.0,0.0,-284130.0,44799000.0,38814000.0,5985000.0,25234000.0,838000.0,1650000.0,-103000.0,-3082000.0,28528000.0,-941000.0,26878000.0,25452000.0,819051.59,669693.23,149358.36,3034000.0,-8188000.0,5405000.0,-72000.0,-78000.0,1990000.0,301000.0,1317000.0,-7724000.0,421000.0,14882000.0,-10771000.0,-4690000.0
12/31/2022,12617000.0,10069000.0,2548000.0,207000.0,2341000.0,-728000.0,-1782000.0,-169000.0,265000.0,-71000.0,-546000.0,-546000.0,-0.82,-0.82,665853.66,665853.66,10276000.0,389000.0,1117000.0,-728000.0,-546000.0,730640.0,948000.0,2001000.0,10069000.0,1053000.0,-546000.0,-1616000.0,-1616000.0,3617000.0,0.0,-339360.0,38363000.0,33859000.0,4504000.0,24177000.0,838000.0,1599000.0,234000.0,1152000.0,25097000.0,-604000.0,23498000.0,22124000.0,818790.0,668743.46,150046.54,2715000.0,-5836000.0,3758000.0,-72000.0,22000.0,2087000.0,271000.0,928000.0,-4551000.0,60000.0,12454000.0,-8292000.0,-1836000.0
12/31/2021,11141000.0,8430000.0,2711000.0,166000.0,2545000.0,-613000.0,-2996000.0,-1064000.0,-133000.0,-24000.0,-409000.0,-409000.0,-0.61,-0.61,670491.8,670491.8,8596000.0,298000.0,911000.0,-613000.0,-409000.0,2199610.0,-153000.0,903000.0,8430000.0,1056000.0,-413000.0,-3003000.0,-3003000.0,3906000.0,0.0,-390390.0,32963000.0,28396000.0,4567000.0,20130000.0,838000.0,1960000.0,171000.0,624000.0,20659000.0,-667000.0,18699000.0,17756000.0,818717.04,666793.63,151923.42,1902000.0,-3051000.0,797000.0,-72000.0,55000.0,1484000.0,459000.0,815000.0,-2116000.0,1167000.0,4544000.0,-4493000.0,-214000.0
12/31/2020,9660000.0,6967000.0,2693000.0,165000.0,2528000.0,-770000.0,-1270000.0,488000.0,216000.0,-123000.0,46000.0,46000.0,0.07,0.07,657142.86,668000.0,7132000.0,268000.0,1038000.0,-770000.0,46000.0,832130.0,1526000.0,2594000.0,6967000.0,1068000.0,43000.0,-1081000.0,-1081000.0,3675000.0,0.0,-291870.0,34603000.0,29883000.0,4720000.0,21085000.0,838000.0,2634000.0,746000.0,52000.0,22515000.0,746000.0,19881000.0,18792000.0,818398.65,665370.13,153028.53,2755000.0,-2295000.0,-78000.0,-72000.0,-103000.0,1827000.0,333000.0,908000.0,-1900000.0,112000.0,10591000.0,-10077000.0,855000.0
12/31/2019,11703000.0,9095000.0,2608000.0,218200.0,2389800.0,-762800.0,-1748200.0,-121200.0,149800.0,-53000.0,18800.0,18800.0,0.01800000000000005,0.010000000000000042,670528.948,685769.092,9313200.0,399200.0,1162000.0,-762800.0,18800.0,1362182.0,1040800.0,2141400.0,9095000.0,1100600.0,14600.0,-1661400.0,-1661400.0,3802800.0,0.0,-313818.0,37682000.0,32738000.0,4944000.0,22656500.0,838000.0,1960750.0,262000.0,-313500.0,24199750.0,-366500.0,22239000.0,21031000.0,818739.32,667650.1124999999,151089.21250000002,2586400.0,-5606400.0,3303400.0,-72000.0,-37800.0,1962400.0,334800.0,1107600.0,-4890400.0,440000.0,12123200.0,-9366000.0,-2304000.0
