Date,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
3/31/2024,"13,420,000.00","5,907,000.00","7,513,000.00","9,395,000.00","7,513,000.00","66,000.00","1,734,000.00","1,157,000.00","9,395,000.00","1,734,000.00","1,948,000.00","266,378.72","266,378.72","2,315,000.00","-207,000.00","-1,624,000.00","2,900,000.00","300,000.00","56,000.00","-199,000.00","77,000.00",--,--,"-1,300,000.00","2,116,000.00"
3/31/2023,"13,459,000.00","6,166,000.00","7,293,000.00","9,173,000.00","7,293,000.00","66,000.00","1,295,000.00","684,000.00","9,173,000.00","1,295,000.00","1,946,000.00","273,000.00","273,000.00","1,550,000.00","-217,000.00","-1,600,000.00","2,424,000.00","583,000.00","56,000.00","-207,000.00","80,000.00",--,--,"-1,295,000.00","1,343,000.00"
3/31/2022,"13,800,000.00","6,175,000.00","7,625,000.00","9,503,000.00","7,625,000.00","81,000.00","1,276,000.00","638,000.00","9,503,000.00","1,276,000.00","1,959,000.00","280,000.00","280,000.00","1,899,000.00","-2,804,000.00","-1,620,000.00","2,732,000.00","629,000.00","56,000.00","-188,000.00","77,000.00",--,--,"-1,300,000.00","1,711,000.00"
3/31/2021,"13,288,000.00","5,448,000.00","7,840,000.00","9,716,000.00","7,840,000.00","76,000.00","4,663,000.00","4,249,000.00","9,716,000.00","4,663,000.00","1,952,000.00","286,000.00","286,000.00","1,934,000.00","-505,000.00","-15,000.00","5,260,000.00","340,000.00","40,000.00","-124,000.00","86,000.00","1,478,000.00","-600,000.00","-729,000.00","1,810,000.00"
3/31/2020,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
TTM,,,,,,,,,,,,,,"2,076,000.00","-232,000.00","-1,688,000.00","2,415,000.00","300,000.00",--,"-221,000.00",--,--,--,"-1,350,000.00","1,922,000.00"
