Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,9346000.0,6281000.0,3065000.0,1801000.0,1264000.0,-167000.0,19000.0,1116000.0,248000.0,22000.0,836000.0,836000.0,7.5,7.41,111500.0,112000.0,1264000.0,8082000.0,840000.0,840000.0,16000.0,183000.0,-167000.0,1299000.0,1752000.0,5940000.0,453000.0,840000.0,1752000.0,0.0,13624000.0,7154500.0,6469500.0,10453500.0,6350750.0,645750.0,-2027500.0,793500.0,10653250.0,-2027500.0,4948250.0,3544750.0,175858.75,118608.75,57250.0,1248000.0,-634000.0,-469000.0,271000.0,301000.0,159000.0,-373000.0,1445000.0,-1317000.0,-1051750.0,875000.0
12/31/2023,9252000.0,6199000.0,3053000.0,1791000.0,1262000.0,-152000.0,20000.0,1130000.0,248000.0,26000.0,850000.0,850000.0,7.59,7.49,112000.0,113000.0,1262000.0,7990000.0,854000.0,854000.0,11000.0,163000.0,-152000.0,1293000.0,1732000.0,5868000.0,439000.0,854000.0,1732000.0,0.0,14022000.0,7604000.0,6418000.0,10717000.0,6307000.0,656000.0,-2592000.0,557000.0,11149000.0,-2592000.0,5498000.0,4156000.0,162435.0,111435.0,51000.0,1272000.0,-1061000.0,160000.0,686000.0,317000.0,134000.0,-408000.0,2592000.0,-1844000.0,-275000.0,864000.0
12/31/2022,9883000.0,6450000.0,3433000.0,2005000.0,1428000.0,-138000.0,-55000.0,1235000.0,264000.0,44000.0,942000.0,942000.0,8.1,7.97,116000.0,118000.0,1428000.0,8455000.0,946000.0,946000.0,10000.0,148000.0,-138000.0,1383000.0,1820000.0,6133000.0,437000.0,946000.0,1820000.0,0.0,12837000.0,6830000.0,6007000.0,9871000.0,5893000.0,642000.0,-2419000.0,347000.0,9965000.0,-2419000.0,4714000.0,3757000.0,162000.0,111000.0,51000.0,1718000.0,-543000.0,-1732000.0,315000.0,283000.0,156000.0,-404000.0,1595333.3333333333,-2000.0,-1408000.0,1314000.0
12/31/2021,10788000.0,6579000.0,4209000.0,1828000.0,2381000.0,-151000.0,369000.0,2599000.0,597000.0,78000.0,1988000.0,1988000.0,15.85,15.55,125000.0,128000.0,2381000.0,8407000.0,1995000.0,1995000.0,1000.0,152000.0,-151000.0,2751000.0,3159000.0,6274000.0,408000.0,1995000.0,3159000.0,0.0,13611000.0,7049000.0,6562000.0,10454000.0,6444000.0,645000.0,-1818000.0,988000.0,10572000.0,-1818000.0,4773000.0,3256000.0,162000.0,119000.0,43000.0,2233000.0,21000.0,-2540000.0,872000.0,283000.0,159000.0,-403000.0,1595333.3333333333,-2000.0,-2199000.0,1830000.0
12/31/2020,9437000.0,5804000.0,3633000.0,1662000.0,1971000.0,-163000.0,76000.0,1884000.0,460000.0,75000.0,1425000.0,1425000.0,10.62,10.47,134000.0,136000.0,1971000.0,7466000.0,1431000.0,1431000.0,3000.0,166000.0,-163000.0,2050000.0,2411000.0,5546000.0,361000.0,1431000.0,2411000.0,0.0,14026000.0,7135000.0,6891000.0,10772000.0,6759000.0,640000.0,-1281000.0,1282000.0,10927000.0,-1281000.0,4808000.0,3010000.0,217000.0,133000.0,84000.0,2005000.0,-772000.0,-1267000.0,1158000.0,296000.0,152000.0,-418000.0,749000.0,-1554000.0,-325000.0,1587000.0
12/31/2019,9741200.0,6262600.0,3478600.0,1817400.0,1661200.0,-154200.0,85800.0,1592800.0,363400.0,49000.0,1208200.0,1208200.0,9.931999999999999,9.778,119700.0,121400.0,1661200.0,8080000.0,1213200.0,1213200.0,8200.0,162400.0,-154200.0,1755200.0,2174800.0,5952200.0,419600.0,1213200.0,2174800.0,0.0,13624000.0,7154500.0,6469500.0,10453500.0,6350750.0,645750.0,-2027500.0,793500.0,10653250.0,-2027500.0,4948250.0,3544750.0,175858.75,118608.75,57250.0,1695200.0,-597800.0,-1169600.0,660400.0,296000.0,152000.0,-401200.0,1595333.3333333333,-943800.0,-1051750.0,1294000.0
