Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Other Cash Adjustment Inside Change in Cash,End Cash Position,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,18567000.0,13411000.0,5156000.0,4641000.0,515000.0,-211000.0,-107000.0,197000.0,-288000.0,-23000.0,435000.0,435000.0,1.25,1.23,346550.0,350700.0,18052000.0,435000.0,542580.0,220000.0,431000.0,-211000.0,628000.0,2114000.0,13411000.0,1486000.0,462000.0,-102000.0,-102000.0,2216000.0,0.0,-21420.0,26040500.0,17590000.0,8450500.0,14371000.0,8447000.0,271750.0,5122250.0,2580750.0,15706750.0,5122250.0,7531500.0,6339750.0,448909.31,366984.31,81925.0,1720000.0,-511000.0,-893000.0,-2000.0,1062000.0,-982000.0,11000.0,-252000.0,-22000.0,738000.0
12/31/2023,18916000.0,13629000.0,5287000.0,4521000.0,766000.0,-231000.0,-153000.0,382000.0,59000.0,-21000.0,288000.0,288000.0,0.83,0.82,346900.0,349100.0,18150000.0,288000.0,386150.0,190000.0,421000.0,-231000.0,803000.0,2235000.0,13629000.0,1432000.0,302000.0,-99000.0,-99000.0,2334000.0,0.0,-14850.0,23261000.0,14906000.0,8355000.0,13810000.0,8355000.0,312000.0,5131000.0,2649000.0,13948000.0,5131000.0,5905000.0,4480000.0,448937.24,346037.24,102900.0,1833000.0,-668000.0,-866000.0,-2000.0,1113000.0,-1141000.0,783000.0,-780000.0,-218000.0,692000.0
12/31/2022,21161000.0,15143000.0,6018000.0,4264000.0,1754000.0,-325000.0,82000.0,1511000.0,-236000.0,-6000.0,1504000.0,1504000.0,4.14,4.1,363285.02,367000.0,19407000.0,1504000.0,1827900.0,78000.0,403000.0,-325000.0,1914000.0,2954000.0,15143000.0,1040000.0,1741000.0,-110000.0,-110000.0,3064000.0,0.0,-23100.0,23940000.0,15443000.0,8497000.0,13313000.0,8497000.0,283000.0,5236000.0,1770000.0,14076000.0,5236000.0,5862000.0,4775000.0,448900.0,350300.0,98600.0,2174000.0,-608000.0,-2054000.0,-2000.0,804000.0,-931000.0,1011000.0,-1106000.0,-1284000.0,1243000.0
12/31/2021,19363000.0,13832000.0,5531000.0,4065000.0,1466000.0,-337000.0,-130000.0,999000.0,188000.0,2000.0,1752000.0,1752000.0,4.5,4.47,389333.33,392400.0,17897000.0,1752000.0,1078300.0,93000.0,430000.0,-337000.0,1429000.0,2639000.0,13719000.0,1210000.0,811000.0,-330000.0,-330000.0,2969000.0,0.0,-62700.0,25243000.0,16161000.0,9082000.0,14465000.0,9082000.0,236000.0,5684000.0,2952000.0,14661000.0,5684000.0,5815000.0,4284000.0,448900.0,378500.0,70400.0,2030000.0,6054000.0,-7375000.0,-2000.0,1295000.0,-549000.0,1512000.0,-7185000.0,-839000.0,1481000.0
12/31/2020,17565000.0,12339000.0,5226000.0,3867000.0,1359000.0,-446000.0,-584000.0,329000.0,176000.0,77000.0,482000.0,482000.0,1.23,1.22,391869.92,395700.0,16206000.0,482000.0,686250.0,151000.0,597000.0,-446000.0,926000.0,2213000.0,12143000.0,1287000.0,230000.0,-625000.0,-625000.0,2838000.0,0.0,-168750.0,31718000.0,23850000.0,7868000.0,15896000.0,7854000.0,256000.0,4438000.0,2952000.0,20142000.0,4438000.0,12544000.0,11820000.0,448900.0,393100.0,55800.0,3063000.0,-269000.0,-2700000.0,-2000.0,595000.0,-751000.0,583000.0,-2466000.0,-42000.0,2312000.0
12/31/2019,19114400.0,13670800.0,5443600.0,4271600.0,1172000.0,-310000.0,-178400.0,683600.0,-20200.0,5800.0,892200.0,892200.0,2.3899999999999997,2.368,367587.654,370980.0,17942400.0,892200.0,904236.0,146400.0,456400.0,-310000.0,1140000.0,2431000.0,13609000.0,1291000.0,709200.0,-253200.0,-253200.0,2684200.0,0.0,-58164.0,26040500.0,17590000.0,8450500.0,14371000.0,8447000.0,271750.0,5122250.0,2580750.0,15706750.0,5122250.0,7531500.0,6339750.0,448909.31,366984.31,81925.0,2164000.0,799600.0,-2777600.0,-2000.0,973800.0,-870800.0,780000.0,-2357800.0,-481000.0,1293200.0
