Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,14713277.0,9393255.0,5320022.0,3820298.0,1499724.0,-45001.0,-68973.0,1454723.0,328456.0,1126267.0,1126267.0,10.42,10.37,108147.5,108731.0,1499724.0,13213553.0,1126267.0,1126267.0,45001.0,-45001.0,1499724.0,1906819.0,9393255.0,407095.0,1126267.0,-68973.0,-68973.0,1906819.0,0.0,-15615.52,8123681.0,6094010.25,2029670.75,3245620.75,2029670.75,2975821.0,1871215.25,1142226.25,3245620.75,1871215.25,4191771.0,678534.0,176426.75,111899.5,64527.25,1369055.0,-639885.0,-954453.0,394748.0,378871.0,66056.0,-754115.0,37494.0,335000.0,-337867.0,-528334.0,614940.0
12/31/2023,14555741.0,9327522.0,5228219.0,3749307.0,1478912.0,-46510.0,-68973.0,1432402.0,325176.0,1107226.0,1107226.0,10.15,10.09,109096.0,109746.0,1478912.0,13076829.0,1107226.0,1107226.0,46510.0,-46510.0,1478912.0,1871961.0,9327522.0,393049.0,1107226.0,-68973.0,-68973.0,1871961.0,0.0,-15615.52,9188151.0,7038389.0,2149762.0,3878762.0,2149762.0,3307018.0,1880242.0,1086857.0,3878762.0,1880242.0,5036018.0,1331929.0,177332.0,107976.0,69356.0,1334033.0,-653069.0,-486395.0,397071.0,325222.0,56315.0,-753883.0,24397.0,1767000.0,-1199808.0,-618635.0,580150.0
12/31/2022,14204717.0,9232513.0,4972204.0,3537261.0,1434943.0,-30633.0,-68973.0,1404310.0,315598.0,1088712.0,1088712.0,9.78,9.71,111336.0,112149.0,1434943.0,12769774.0,1088712.0,1088712.0,30633.0,-30633.0,1434943.0,1778005.0,9232513.0,343062.0,1088712.0,-68973.0,-68973.0,1778005.0,0.0,-15615.52,8489990.0,6447574.0,2042416.0,3206516.0,2042416.0,3106104.0,1789154.0,781563.0,3206516.0,1789154.0,4270204.0,961598.0,176876.0,110251.0,66625.0,1356979.0,-1093726.0,-938781.0,202502.0,239129.0,26367.0,-773369.0,25535.0,1010000.0,-836058.0,-728655.0,583610.0
12/31/2021,12731105.0,8253952.0,4477153.0,3170455.0,1306698.0,-26610.0,-68973.0,1280088.0,282974.0,997114.0,997114.0,8.69,8.61,114794.0,115824.0,1306698.0,11424407.0,997114.0,997114.0,26610.0,-26610.0,1306698.0,1576856.0,8253952.0,270158.0,997114.0,-68973.0,-68973.0,1576856.0,0.0,-15615.52,7767467.0,5764802.0,2002665.0,2989065.0,2002665.0,2932912.0,1947145.0,1185598.0,2989065.0,1947145.0,3919312.0,108370.0,176371.0,113125.0,63246.0,1138720.0,-627340.0,-975106.0,878030.0,291665.0,23601.0,-628431.0,82249.0,1280250.0,-4580.0,-813769.0,510289.0
12/31/2020,10620352.0,6858803.0,3761549.0,2695648.0,1065901.0,-28781.0,-68973.0,968147.0,219189.0,748958.0,748958.0,6.44,6.38,116370.0,117436.0,996928.0,9554451.0,748958.0,802315.48,28781.0,-28781.0,996928.0,1214052.0,6858803.0,217124.0,748958.0,-68973.0,-68973.0,1283025.0,0.0,-15615.52,7049116.0,5125276.0,1923840.0,2908140.0,1923840.0,2557250.0,1868320.0,1514887.0,2908140.0,1868320.0,3541550.0,678534.0,175128.0,116246.0,58882.0,1394515.0,-292210.0,155210.0,1341756.0,235319.0,24540.0,-294002.0,99340.0,2009000.0,-1410670.0,-350756.0,1100513.0
12/31/2019,13365038.4,8613209.0,4751829.4,3394593.8,1357235.6,-35507.0,-68973.0,1307934.0,294278.6,1013655.4,1013655.4,9.096,9.032,111948.7,112777.2,1343441.0,12007802.8,1013655.4,1024326.8960000001,35507.0,-35507.0,1343441.0,1669538.6,8613209.0,326097.6,1013655.4,-68973.0,-68973.0,1683333.2,0.0,-15615.52,8123681.0,6094010.25,2029670.75,3245620.75,2029670.75,2975821.0,1871215.25,1142226.25,3245620.75,1871215.25,4191771.0,312239.0,176426.75,111899.5,64527.25,1318660.4,-661246.0,-639905.0,642821.4,294041.2,39375.8,-640760.0,53803.0,1280250.0,-757796.6,-608029.8,677900.4
