Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,2916548.0,1056844.0,1859704.0,961643.0,898061.0,-250053.0,351428.0,999436.0,1149.0,-6145.0,953579.0,35022.0,955244.0,2.52,2.52,378876.5,390639.5,1317615.5,2018487.0,957470.0,547530.83,29333.0,270605.0,-250053.0,1270041.0,2184566.0,1043936.0,914525.0,957470.0,410411.0,410411.0,1774155.0,0.0,471.83,20427239.5,8910252.0,11516987.5,18418200.25,37280.0,10897686.5,315463.25,10934966.5,-545925.0,18698156.75,10897686.5,8115933.5,7732711.5,376387.5825,376387.5825,1604786.0,-140582.0,-1450425.0,138421.0,1057.0,244427.0,-351390.0,139623.0,7824202.0,-8161739.0,-109148.0,1253396.0
12/31/2023,2873964.0,1046493.0,1827471.0,949425.0,878046.0,-256152.0,253120.0,875014.0,1148.0,-5378.0,832348.0,35022.0,832348.0,2.2,2.2,378773.3,390896.55,1160585.0,1995918.0,835438.0,553269.69,22345.0,269556.0,-256152.0,1144570.0,2046074.0,1033698.0,901504.0,835438.0,282539.0,282539.0,1763535.0,0.0,370.69,20034564.0,8456188.0,11578376.0,18067147.0,37280.0,11048548.0,311640.0,11085828.0,-698513.0,18438998.0,11048548.0,7702090.0,7339707.0,379291.42,379291.42,1532798.0,-409504.0,-1120471.0,139995.0,1091.0,248990.0,-333540.0,139623.0,6696964.0,-6783506.0,-49105.0,1199258.0
12/31/2022,2735180.0,982581.0,1752599.0,940878.0,811721.0,-289456.0,290661.0,812926.0,900.0,-5031.0,773821.0,35022.0,773821.0,2.06,2.05,376209.0,389450.0,1116046.0,1923459.0,776911.0,472922.92,2193.0,282920.0,-289456.0,1095846.0,1990171.0,970424.0,894325.0,776911.0,304325.0,304325.0,1685846.0,0.0,336.92,20218262.0,8517310.0,11700952.0,18469206.0,37280.0,11136159.0,308748.0,11173439.0,-399742.0,18561881.0,11136159.0,7734470.0,7371853.0,378429.71,378429.71,1454756.0,107792.0,-1785612.0,137172.0,748.0,267612.0,-232241.0,139623.0,6084137.0,-7013474.0,-79126.5,1222515.0
12/31/2021,2463997.0,948792.0,1515205.0,894778.0,620427.0,-255544.0,1036139.0,1401022.0,915.0,-3398.0,1329760.0,35022.0,1329760.0,3.56,3.54,373833.0,388089.0,1675841.0,1843570.0,1332845.0,278120.29,25666.0,272473.0,-255544.0,1673495.0,2524879.0,935680.0,851384.0,1332845.0,1055414.0,1055414.0,1469465.0,0.0,689.29,21169241.0,9483056.0,11686185.0,18981371.0,37280.0,10917668.0,312335.0,10954948.0,-364819.0,19259121.0,10917668.0,8653788.0,8217621.0,375527.2,375527.2,1260184.0,-434620.0,-565056.0,360236.0,1179.0,252838.0,-168647.0,139623.0,8156098.0,-7864645.0,-79126.5,1091537.0
12/31/2020,2571705.0,916385.0,1655320.0,869137.0,786183.0,-368077.0,514297.0,932403.0,852.0,-3284.0,910546.0,34010.0,910546.0,2.45,2.45,371791.0,385874.0,1317990.0,1785522.0,879402.0,348080.95,5935.0,365073.0,-368077.0,1297476.0,2129919.0,904774.0,832443.0,879402.0,531807.0,531807.0,1598112.0,0.0,485.95,20286891.0,9184454.0,11102437.0,18155077.0,37280.0,10488371.0,329130.0,10525651.0,-720626.0,18532627.0,10488371.0,8373386.0,8001665.0,372302.0,372302.0,1265536.0,663586.0,-1946393.0,99728.0,932.0,320854.0,-166244.0,139623.0,9840201.0,-10842281.0,-79126.5,1099292.0
12/31/2019,2712278.8,990219.0,1722059.8,923172.2,798887.6,-283856.4,489129.0,1004160.2,992.8,-4647.2,960010.8,36034.0,960343.8,2.5580000000000007,2.5520000000000005,375896.56,388989.81,1317615.5,1913391.2,956413.2,439984.93600000005,17094.4,292125.4,-283856.4,1296285.6,2175121.8,977702.4,878836.2,956413.2,516899.2,516899.2,1658222.6,0.0,470.936,20427239.5,8910252.0,11516987.5,18418200.25,37280.0,10897686.5,315463.25,10934966.5,-545925.0,18698156.75,10897686.5,8115933.5,7732711.5,376387.5825,376387.5825,1423612.0,-42665.6,-1373591.4,175110.4,585.0,266944.2,-250412.4,139623.0,7720320.4,-8133129.0,-79126.5,1173199.6
