Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,10217000.0,6972000.0,3245000.0,1724000.0,1521000.0,-211000.0,38000.0,1348000.0,321000.0,1016000.0,1000.0,1016000.0,5.72,5.7,177100.0,177800.0,1520000.0,8696000.0,1016000.0,1030475.52,211000.0,-211000.0,1559000.0,2034000.0,6815000.0,475000.0,1016000.0,-19000.0,-19000.0,2053000.0,0.0,-4524.48,18603000.0,8337250.0,10265750.0,13950000.0,10228250.0,-1907000.0,808750.0,14320250.0,-1907000.0,4092000.0,3533750.0,226900.0,183425.0,43475.0,1680000.0,-256000.0,-1186000.0,609000.0,171000.0,184333.33333333334,-193000.0,4402000.0,-4792000.0,-532000.0,1487000.0
12/31/2023,9677000.0,6733000.0,2944000.0,1678000.0,1266000.0,-218000.0,44000.0,1092000.0,267000.0,815000.0,1000.0,815000.0,4.54,4.53,178800.0,179500.0,1266000.0,8411000.0,815000.0,830100.0,218000.0,-218000.0,1310000.0,1787000.0,6577000.0,477000.0,815000.0,-20000.0,-20000.0,1807000.0,0.0,-4900.0,18988000.0,8464000.0,10524000.0,13775000.0,10487000.0,-1498000.0,799000.0,14556000.0,-1498000.0,4069000.0,3449000.0,226900.0,177800.0,49100.0,1201000.0,-492000.0,-633000.0,620000.0,233000.0,210000.0,-186000.0,5563000.0,-5521000.0,-409000.0,1015000.0
12/31/2022,8362000.0,5822000.0,2540000.0,1529000.0,1011000.0,-186000.0,29000.0,854000.0,213000.0,633000.0,1000.0,633000.0,3.46,3.46,182200.0,182800.0,1011000.0,7351000.0,633000.0,628500.0,186000.0,-186000.0,1040000.0,1466000.0,5687000.0,426000.0,633000.0,6000.0,6000.0,1460000.0,0.0,1500.0,18516000.0,8369000.0,10147000.0,13853000.0,10102000.0,-1808000.0,860000.0,14104000.0,-1808000.0,4002000.0,3461000.0,226900.0,181200.0,45700.0,1038000.0,-235000.0,-708000.0,541000.0,157000.0,179000.0,-149000.0,6087000.0,-6117000.0,-473000.0,889000.0
12/31/2021,7822000.0,5453000.0,2369000.0,1493000.0,876000.0,-177000.0,38000.0,737000.0,172000.0,558000.0,1000.0,558000.0,2.96,2.96,187700.0,188100.0,876000.0,6946000.0,558000.0,551856.0,177000.0,-177000.0,914000.0,1355000.0,5299000.0,441000.0,558000.0,8000.0,8000.0,1347000.0,0.0,1856.0,18454000.0,8215000.0,10239000.0,14257000.0,10201000.0,-2091000.0,922000.0,14259000.0,-2091000.0,4058000.0,3585000.0,226900.0,185800.0,41100.0,1073000.0,-540000.0,-653000.0,473000.0,123000.0,164000.0,-130000.0,5391000.0,-5552000.0,-300000.0,943000.0
12/31/2020,7556000.0,5419000.0,2137000.0,1392000.0,745000.0,-199000.0,11000.0,557000.0,145000.0,413000.0,1000.0,413000.0,2.18,2.17,189900.0,190400.0,745000.0,6811000.0,414000.0,419920.0,199000.0,-199000.0,756000.0,1141000.0,5316000.0,385000.0,414000.0,-8000.0,-8000.0,1149000.0,0.0,-2080.0,18454000.0,8301000.0,10153000.0,13915000.0,10123000.0,-2231000.0,654000.0,14362000.0,-2231000.0,4239000.0,3640000.0,226900.0,188900.0,38000.0,784000.0,-155000.0,-619000.0,599000.0,171000.0,184333.33333333334,-136000.0,3878000.0,-4077000.0,-207000.0,648000.0
12/31/2019,8726800.0,6079800.0,2647000.0,1563200.0,1083800.0,-198200.0,32000.0,917600.0,223600.0,687000.0,1000.0,687000.0,3.772,3.7640000000000002,183140.0,183720.0,1083600.0,7643000.0,687200.0,692170.304,198200.0,-198200.0,1115800.0,1556600.0,5938800.0,440800.0,687200.0,-6600.0,-6600.0,1563200.0,0.0,-1629.696,18603000.0,8337250.0,10265750.0,13950000.0,10228250.0,-1907000.0,808750.0,14320250.0,-1907000.0,4092000.0,3533750.0,226900.0,183425.0,43475.0,1155200.0,-335600.0,-759800.0,568400.0,171000.0,184333.33333333334,-158800.0,5064200.0,-5211800.0,-384200.0,996400.0
