Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"78,844,000.00","64,236,000.00","14,608,000.00","11,406,000.00","3,202,000.00","-607,000.00","-30,000.00","2,565,000.00","610,000.00","1,955,000.00","1,955,000.00",4.12,4.10,"503,907.01","505,856.97","3,202,000.00","75,642,000.00","1,955,000.00","1,955,000.00","607,000.00","-607,000.00","3,172,000.00","4,169,000.00","64,236,000.00","997,000.00","1,955,000.00","4,169,000.00",0.00,,,,,,,,,,,,,,,,"2,989,000.00","-1,962,000.00","-1,038,000.00","945,000.00","564,000.00","557,000.00","-832,000.00","1,362,000.00","-447,000.00","-1,232,000.00","2,157,000.00"
6/30/2024,"78,844,000.00","64,236,000.00","14,608,000.00","11,406,000.00","3,202,000.00","-607,000.00","-30,000.00","2,565,000.00","610,000.00","1,955,000.00","1,955,000.00",3.90,3.89,"501,238.42","503,096.09","3,202,000.00","75,642,000.00","1,955,000.00","1,955,000.00","607,000.00","-607,000.00","3,172,000.00","4,169,000.00","64,236,000.00","997,000.00","1,955,000.00","4,169,000.00",0.00,"24,917,000.00","23,026,000.00","1,891,000.00","13,373,000.00","1,860,000.00","963,000.00","-4,481,000.00","1,802,000.00","13,842,000.00","-4,481,000.00","12,945,000.00","11,286,000.00","765,174.90","491,758.22","273,416.69","2,989,000.00","-1,962,000.00","-1,038,000.00","945,000.00","564,000.00","557,000.00","-832,000.00","1,362,000.00","-447,000.00","-1,232,000.00","2,157,000.00"
6/30/2023,"76,325,000.00","62,370,000.00","13,955,000.00","10,916,000.00","3,039,000.00","-527,000.00","-227,000.00","2,285,000.00","515,000.00","1,770,000.00","1,770,000.00",3.49,3.47,"507,362.91","509,719.76","3,039,000.00","73,286,000.00","1,770,000.00","1,770,000.00","527,000.00","-527,000.00","2,812,000.00","3,701,000.00","62,370,000.00","889,000.00","1,770,000.00","3,701,000.00",0.00,"22,821,000.00","20,779,000.00","2,042,000.00","12,357,000.00","2,009,000.00","755,000.00","-3,496,000.00","2,068,000.00","12,420,000.00","-3,496,000.00","11,166,000.00","9,666,000.00","765,174.90","505,112.07","260,062.83","2,868,000.00","-785,000.00","-2,056,000.00","966,000.00","444,000.00","511,000.00","-793,000.00","249,000.00","-830,000.00","-500,000.00","2,075,000.00"
6/30/2022,"68,636,000.00","56,316,000.00","12,320,000.00","9,974,000.00","2,346,000.00","-624,000.00","25,000.00","1,747,000.00","388,000.00","1,359,000.00","1,359,000.00",2.66,2.64,"510,630.65","514,005.83","2,346,000.00","66,290,000.00","1,359,000.00","1,359,000.00","624,000.00","-624,000.00","2,371,000.00","3,252,000.00","56,316,000.00","881,000.00","1,359,000.00","3,252,000.00",0.00,"22,085,688.00","20,671,480.00","1,414,208.00","11,449,191.00","1,382,260.00","742,107.00","-4,112,738.00","1,733,165.00","12,029,802.00","-4,112,738.00","11,389,649.00","9,780,456.00","765,174.90","508,643.36","256,531.54","1,791,000.00","-1,878,000.00","-1,987,000.00","931,000.00","450,000.00","498,000.00","-633,000.00","1,248,000.00","-1,890,000.00","-500,000.00","1,158,000.00"
6/30/2021,"51,297,843.00","41,941,094.00","9,356,749.00","7,909,561.00","1,447,188.00","-880,137.00","17,677.00","584,728.00","60,519.00","524,209.00","524,209.00",1.03,1.02,"510,696.40","513,555.09","1,447,188.00","49,850,655.00","524,209.00","524,209.00","880,137.00","-880,137.00","1,464,865.00","2,316,687.00","41,941,094.00","851,822.00","524,209.00","2,316,687.00",0.00,"21,413,539.00","19,826,055.00","1,587,484.00","12,141,080.00","1,552,896.00","737,140.00","-3,137,316.00","3,413,723.00","12,636,003.00","-3,137,316.00","11,820,247.00","8,075,984.00","765,174.90","511,832.31","253,342.60","1,903,842.00","-428,698.00","-4,628,228.00","3,037,100.00","103,547.00","877,512.00","-470,676.00","1,484.00","-3,003,131.00",--,"1,433,166.00"
6/30/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
