Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow
TTM,7457882.0,8078640.0,-620758.0,802914.0,-1423672.0,-136874.0,-180275.0,-1740821.0,75946.0,1374221.0,-554169.0,-554169.0,2.76,2.76,117371.75,117668.5,-1661997.0,8881554.0,-500897.0,-312620.25,136874.0,-136874.0,-1603947.0,-1092329.0,8078640.0,511618.0,-500897.0,-238325.0,-238325.0,-854004.0,0.0,-50048.25,13788059.5,6755522.75,7032536.75,9703993.5,6822075.0,114178.0,4892504.25,1156510.0,10159615.0,4892504.25,3451718.0,2443780.5,114595.25,114595.25,991480.0,-2672960.0,1941284.0,1859542.0,232791.33333333334,73935.66666666667,-2256922.0,2236750.0,729514.0,-711205.0,-1265442.0
12/31/2023,9617203.0,8431294.0,1185909.0,1005218.0,180691.0,-116072.0,182119.0,246738.0,430277.0,1854082.0,1573476.0,1573476.0,13.41,13.36,117317.0,117766.0,251881.0,9436512.0,1573476.0,1517235.9,116072.0,-116072.0,362810.0,792754.0,8431294.0,429944.0,1573476.0,71190.0,71190.0,721564.0,0.0,14949.9,18270652.0,8605553.0,9665099.0,12953182.0,9412180.0,113681.0,7520593.0,1656457.0,13578943.0,7520593.0,4280444.0,3276863.0,117356.0,117356.0,1325321.0,-2781160.0,623911.0,889900.0,319391.0,101978.0,-2149281.0,1845319.0,973061.0,-28862.0,-823960.0
12/31/2022,7320104.0,4245517.0,3074587.0,596126.0,2478461.0,-122973.0,77956.0,2433444.0,390588.0,772275.0,2689816.0,2689816.0,22.97,22.84,117120.0,117793.0,2470061.0,4841643.0,2689816.0,2696863.6,122973.0,-122973.0,2556417.0,2857258.0,4245517.0,300841.0,2689816.0,-8400.0,-8400.0,2865658.0,0.0,-1352.4,15456522.0,7265675.0,8190847.0,11197599.0,7982627.0,99269.0,6077130.0,2445902.0,11199727.0,6077130.0,3316369.0,1717958.0,117168.0,117168.0,1907849.0,-1422649.0,611887.0,1499142.0,248143.0,92095.0,-1261646.0,1845319.0,1964216.0,-1096662.0,646203.0
12/31/2021,3327957.0,2329986.0,997971.0,495508.0,502463.0,-61476.0,-307369.0,133618.0,29446.0,95770.0,123672.0,123672.0,1.07,1.06,115841.0,116536.0,798434.0,2825494.0,123672.0,-107185.38,61476.0,-61476.0,195094.0,449094.0,2329986.0,254000.0,123672.0,295971.0,295971.0,153123.0,0.0,65113.62,10974118.0,5168511.0,5805607.0,7629585.0,5625266.0,126997.0,3718692.0,119346.0,8019505.0,3718692.0,2521236.0,1954967.0,117015.0,117015.0,344257.0,-666590.0,50212.0,439272.0,130840.0,27734.0,-953667.0,1453888.0,60991.0,-1173823.0,-609410.0
12/31/2020,3128909.0,2134056.0,994853.0,489041.0,505812.0,-73116.0,-59177.0,373519.0,54425.0,127521.0,375764.0,375764.0,3.53,3.52,106402.0,106808.0,505812.0,2623097.0,375764.0,375764.0,73116.0,-73116.0,446635.0,678619.0,2134056.0,231984.0,375764.0,30109.0,30109.0,678619.0,0.0,7165.717500000001,10450946.0,5982352.0,4468594.0,7035608.0,4268227.0,116765.0,2253602.0,404335.0,7840285.0,2253602.0,3688823.0,2825334.0,106842.0,106842.0,798914.0,-863573.0,177261.0,746724.0,232791.33333333334,73935.66666666667,-850477.0,1845319.0,589798.0,-250000.0,-51563.0
12/31/2019,6170411.0,5043898.6,1126512.4,677761.4,448751.0,-102102.2,-57349.2,289299.6,196136.4,844773.8,841711.8,841711.8,8.748000000000001,8.708,114810.35,115314.3,472838.2,5721660.0,852366.2,834011.574,102102.2,-102102.2,391401.8,737079.2,5043898.6,345677.4,852366.2,30109.0,30109.0,712992.0,0.0,7165.717500000001,13788059.5,6755522.75,7032536.75,9703993.5,6822075.0,114178.0,4892504.25,1156510.0,10159615.0,4892504.25,3451718.0,2443780.5,114595.25,114595.25,1073564.2,-1681386.4,680911.0,1086916.0,232791.33333333334,73935.66666666667,-1494398.6,1845319.0,863516.0,-652110.4,-420834.4
