Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,5459963.0,2531333.0,2928630.0,2177839.0,750791.0,-448696.0,901596.0,1203691.0,75357.0,1082932.0,12398.0,1095330.0,3.55,3.44,309902.5,319064.5,351523.0,4709172.0,1123656.0,315862.37,43111.0,448696.0,-448696.0,1652387.0,3349920.0,2531333.0,1697533.0,1123656.0,861743.0,861743.0,2488177.0,0.0,53949.37,39511026.75,20103378.25,19407648.5,32076488.75,786502.5,17319280.75,1498509.25,6563768.75,-1832271.25,32513190.0,5777266.25,16692418.5,14689292.5,291865.185,291865.185,32212.5,1746153.0,-111325.0,526725.0,2296200.0,17331.0,307393.0,3389010.0,2188048.0,-3454682.0,-350625.0,1746153.0
12/31/2023,5477061.0,2598071.0,2878990.0,2151444.0,727546.0,-437741.0,736086.0,1025891.0,75579.0,908114.0,18093.0,926207.0,3.04,3.0,298603.0,309065.0,524461.0,4749515.0,948838.0,302773.94,43111.0,437741.0,-437741.0,1463632.0,3158491.0,2598071.0,1694859.0,948838.0,697446.0,697446.0,2461045.0,0.0,51381.94,44113258.0,23116937.0,20996321.0,34731154.0,731690.0,18385844.0,1542094.0,7377426.0,-1026152.0,35811751.0,6645736.0,18968001.0,15800412.0,311608.0,311608.0,30200.0,1634780.0,-1115111.0,963474.0,1636470.0,17331.0,307393.0,2207259.0,3739973.0,-3405623.0,-350625.0,1634780.0
12/31/2022,4691834.0,2017562.0,2674272.0,2012538.0,661734.0,-299132.0,49273.0,411875.0,31550.0,336960.0,-4839.0,332121.0,1.18,1.13,286333.75,297919.34,589968.0,4030100.0,377684.0,327956.19,43111.0,299132.0,-299132.0,711007.0,2288940.0,2017562.0,1577933.0,377684.0,53853.0,53853.0,2235087.0,0.0,4125.19,41484998.0,21862854.0,19622144.0,32029686.0,731690.0,16851644.0,1471044.0,5282210.0,-3271987.0,33448447.0,4550520.0,18067847.0,16455030.0,291148.0,291148.0,30200.0,1659388.0,-4699403.0,2969149.0,150696.0,17331.0,307393.0,928432.0,8301294.0,-4906325.0,-350625.0,1659388.0
12/31/2021,4427882.0,1778320.0,2649562.0,1889836.0,759726.0,-293846.0,1354331.0,1820211.0,72799.0,1681498.0,8550.666666666666,1681498.0,5.95,5.94,282474.93,283221.97,694009.0,3668156.0,1709259.0,464702.52,43111.0,293846.0,-293846.0,2114057.0,3600689.0,1778320.0,1486632.0,1709259.0,1296406.0,1296406.0,2304283.0,0.0,51849.52,36369560.0,17845778.0,18523782.0,31054606.0,731690.0,17272878.0,1512187.0,7331642.0,-1466105.0,30721088.0,6599952.0,14960397.0,13305512.0,284415.01,284415.01,30200.0,1702228.0,-1061721.0,-590630.0,151485.0,17331.0,307393.0,172096.0,4345886.0,-3618501.0,-201250.0,1702228.0
12/31/2020,3903609.0,1514116.0,2389493.0,1718823.0,670670.0,-333021.0,63128.0,400777.0,38047.0,263342.0,8550.666666666666,263342.0,1.01,1.0,260098.98,262522.51,557526.0,3232939.0,356398.0,265407.1,20222.0,333021.0,-333021.0,733798.0,2100177.0,1514116.0,1366379.0,356398.0,100535.0,100535.0,1999642.0,0.0,9544.1,36076291.0,17587944.0,18488347.0,30490509.0,950940.0,16766757.0,1468712.0,6263797.0,-1564841.0,30071474.0,5312857.0,14773429.0,13196216.0,280289.73,280289.73,38250.0,1706541.0,-2599347.0,935689.0,123652.0,20055.0,301938.0,1879957.0,3573120.0,-3025048.0,-500000.0,1706541.0
12/31/2019,4792069.8,2087880.4,2704189.4,1990096.0,714093.4,-362487.2,620882.8,972489.0,58666.4,854569.2,8550.666666666666,859699.6,2.9459999999999997,2.902,287482.632,294358.664,543497.4,4077976.4,903167.0,335340.424,66000.0,362487.2,-362487.2,1334976.2,2899643.4,2087880.4,1564667.2,903167.0,601996.6,601996.6,2297646.8,0.0,34170.024,39511026.75,20103378.25,19407648.5,32076488.75,786502.5,17319280.75,1498509.25,6563768.75,-1832271.25,32513190.0,5777266.25,16692418.5,14689292.5,291865.185,291865.185,32212.5,1689818.0,-1917381.4,960881.4,871700.6,14607.0,312848.0,1715350.8,4429664.2,-3682035.8,-350625.0,1689818.0
