Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"14,942,854.00","12,831,125.00","2,111,729.00","846,037.00","1,265,692.00","-19,352.00","22,717.00","1,269,057.00","62,729.00","1,821.00","1,208,149.00","1,208,149.00",21.73,20.09,"55,588.00","60,215.00","1,265,692.00","13,677,162.00","1,208,149.00","1,208,149.00","19,352.00","-19,352.00","1,288,409.00","1,288,409.00","12,831,125.00",--,"1,208,149.00","1,288,409.00",0.00,,,,,,,,,,,,,,,,"-2,479,437.00","-200,783.00","3,911,724.00","1,670,273.00","43,317.00",--,--,--,--,--,"-2,479,437.00"
6/30/2024,--,--,--,--,--,--,--,--,--,--,--,--,21.73,20.09,"55,588.00","60,215.00",--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,"7,123,482.00","5,840,470.00","1,283,012.00","521,870.00","761,142.00","-10,491.00","3,646.00","754,297.00","110,666.00","-3,633.00","639,998.00","639,998.00",12.09,11.43,"52,925.00","55,970.00","761,142.00","6,362,340.00","639,998.00","639,998.00","10,491.00","-10,491.00","764,788.00","799,692.00","5,840,470.00","34,904.00","639,998.00","799,692.00",0.00,"3,674,729.00","1,702,559.00","1,972,170.00","2,092,184.00","1,972,005.00",--,"1,972,005.00","1,804,774.00","2,262,307.00","1,972,005.00","290,302.00",--,"52,901.36","52,901.36",--,"663,580.00","-39,486.00","-448,293.00","440,960.00","114,963.00","8,541.00","-36,793.00","1,093,860.00","-1,394,391.00","-149,998.00","626,787.00"
6/30/2022,"5,196,099.00","4,396,098.00","800,001.00","464,834.00","335,167.00","-6,413.00","8,079.00","336,833.00","52,876.00","1,206.00","285,163.00","285,163.00",5.54,5.32,"51,478.00","53,615.00","335,167.00","4,860,932.00","285,163.00","285,163.00","6,413.00","-6,413.00","343,246.00","375,717.00","4,396,098.00","32,471.00","285,163.00","375,717.00",0.00,"3,205,077.00","1,779,330.00","1,425,747.00","1,573,193.00","1,425,575.00","23,800.00","1,425,575.00","1,336,291.00","2,022,339.00","1,425,575.00","596,764.00","329,367.00","52,311.00","52,311.00",--,"-440,801.00","-46,282.00","522,871.00","268,559.00","19,690.00","5,492.00","-45,182.00","1,153,317.00","-640,695.00",--,"-485,983.00"
6/30/2021,"3,557,422.00","3,022,884.00","534,538.00","410,591.00","123,947.00","-2,485.00","-2,834.00","118,628.00","6,936.00",173.00,"111,865.00","111,865.00",2.19,2.09,"51,157.00","53,507.00","123,947.00","3,433,475.00","111,865.00","111,865.00","2,485.00","-2,485.00","121,113.00","149,298.00","3,022,884.00","28,185.00","111,865.00","149,298.00",0.00,"2,241,964.00","1,145,566.00","1,096,398.00","1,130,925.00","1,096,225.00","20,861.00","1,096,225.00","898,363.00","1,194,415.00","1,096,225.00","119,051.00",--,"50,582.08","50,582.08",--,"122,955.00","-58,016.00","-44,440.00","233,449.00","2,914.00","1,948.00","-58,016.00","127,059.00","-60,629.00","-130,000.00","64,939.00"
6/30/2020,"3,339,281.00","2,813,071.00","526,210.00","440,556.00","85,654.00","-2,236.00","1,410.00","84,828.00","2,922.00","2,402.00","84,308.00","84,308.00",--,--,--,--,"85,654.00","3,253,627.00","84,308.00","84,308.00","2,236.00","-2,236.00","87,064.00","115,536.00","2,813,071.00","28,472.00","84,308.00","115,536.00",0.00,"1,918,646.00","852,939.00","1,065,707.00","1,071,237.00","1,065,540.00","24,412.00","1,065,540.00","885,126.00","1,094,941.00","1,065,540.00","53,813.00",--,"53,741.83","52,408.70","1,333.13","-30,334.00","-43,588.00","23,796.00","212,390.00","43,317.00","2,172.00","-44,338.00","164,791.00","-160,307.00",--,"-74,672.00"
