Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Cash Flow from Discontinued Operation,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"32,824,000.00","17,212,000.00","15,612,000.00","7,131,000.00","8,481,000.00","-246,000.00","51,000.00","8,286,000.00","1,917,000.00","173,000.00","6,398,000.00","6,398,000.00",13.00,12.88,"485,724.00","489,769.00","8,359,000.00","24,343,000.00","6,398,000.00","6,469,484.07",--,"459,000.00","-246,000.00","8,745,000.00","12,560,000.00","17,212,000.00","3,815,000.00","6,398,000.00","-93,000.00","-93,000.00","12,653,000.00",0.00,"-21,515.93",,,,,,,,,,,,,,,,"9,130,000.00","-4,483,000.00","-3,220,000.00",--,"4,784,000.00",--,--,"-4,280,000.00","33,000.00","4,901,000.00","-998,000.00","-4,672,000.00","4,850,000.00"
12/31/2023,"32,854,000.00","17,492,000.00","15,362,000.00","7,093,000.00","8,269,000.00","-200,000.00","-81,000.00","7,988,000.00","1,814,000.00","167,000.00","6,199,000.00","6,199,000.00",12.70,12.59,"488,191.00","492,290.00","8,024,000.00","24,585,000.00","6,199,000.00","6,270,889.00","213,000.00","413,000.00","-200,000.00","8,401,000.00","12,217,000.00","17,492,000.00","3,816,000.00","6,199,000.00","-93,000.00","-93,000.00","12,310,000.00",0.00,"-21,111.00","80,811,000.00","39,716,000.00","41,095,000.00","53,117,000.00","39,720,000.00","942,000.00","570,000.00","-3,097,000.00","59,093,000.00","570,000.00","20,315,000.00","14,709,000.00","490,766.97","482,445.15","8,321.83","9,305,000.00","-4,670,000.00","-5,400,000.00",--,"4,664,000.00","1,955,000.00","451,000.00","-3,787,000.00","33,000.00","2,188,000.00","-1,682,000.00","-3,958,000.00","5,518,000.00"
12/31/2022,"33,364,000.00","19,450,000.00","13,914,000.00","7,217,000.00","6,697,000.00","-63,000.00","-1,091,000.00","5,543,000.00","1,434,000.00","172,000.00","4,147,000.00","4,147,000.00",8.30,8.23,"499,736.00","504,038.00","5,369,000.00","26,667,000.00","4,147,000.00","4,939,129.00","152,000.00","215,000.00","-63,000.00","5,758,000.00","9,962,000.00","19,450,000.00","4,204,000.00","4,147,000.00","-1,069,000.00","-1,069,000.00","11,031,000.00",0.00,"-276,871.00","79,658,000.00","38,271,000.00","41,387,000.00","52,226,000.00","40,028,000.00","877,000.00","1,791,000.00","-3,432,000.00","57,942,000.00","1,791,000.00","18,791,000.00","12,478,000.00","552,012.86","492,457.63","59,555.24","8,864,000.00","-3,088,000.00","-3,089,000.00",--,"5,436,000.00","1,735,000.00","170,000.00","-3,173,000.00","36,000.00","3,210,000.00","-1,785,000.00","-5,168,000.00","5,691,000.00"
12/31/2021,"30,793,000.00","17,543,000.00","13,250,000.00","7,775,000.00","5,475,000.00","-77,000.00","-299,000.00","5,099,000.00","1,262,000.00","119,000.00","3,826,000.00","3,826,000.00",7.40,7.33,"516,896.00","521,875.00","4,984,000.00","25,318,000.00","3,826,000.00","3,869,912.53","93,000.00","170,000.00","-77,000.00","5,269,000.00","9,904,000.00","17,543,000.00","4,635,000.00","3,821,000.00","-65,000.00","-65,000.00","9,969,000.00",0.00,"-16,087.47","81,605,000.00","36,164,000.00","45,441,000.00","55,370,000.00","44,035,000.00","1,009,000.00","3,195,000.00","-3,484,000.00","58,242,000.00","3,195,000.00","15,216,000.00","11,384,000.00","552,012.86","508,680.88","43,331.98","9,725,000.00","-3,007,000.00","-7,588,000.00",--,"2,823,000.00","1,710,000.00","233,000.00","-3,086,000.00","50,000.00","2,283,000.00","-1,468,000.00","-4,612,000.00","6,639,000.00"
12/31/2020,"27,243,000.00","15,383,000.00","11,860,000.00","7,971,000.00","3,889,000.00","-115,000.00","-390,000.00","3,384,000.00","847,000.00","85,000.00","2,501,000.00","2,501,000.00",4.75,4.71,"526,736.00","531,157.00","3,322,000.00","23,354,000.00","2,501,000.00","2,580,217.20","140,000.00","255,000.00","-115,000.00","3,639,000.00","8,265,000.00","15,383,000.00","4,626,000.00","2,497,000.00","-111,000.00","-111,000.00","8,376,000.00",0.00,"-27,782.80","88,229,000.00","38,647,000.00","49,582,000.00","59,469,000.00","47,317,000.00","1,069,000.00","2,932,000.00","-2,816,000.00","63,471,000.00","2,932,000.00","17,223,000.00","12,400,000.00","552,012.86","523,294.53","28,718.33","7,429,000.00","-2,986,000.00","-3,345,000.00",--,"3,754,000.00","1,066,000.00","322,000.00","-3,400,000.00","47,000.00","2,796,000.00","-2,681,000.00","-2,457,000.00","4,029,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"-14,000.00",--,--,--,--,--,--,--,--,--
