Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,54659000.0,29505000.0,25154000.0,12331000.0,12823000.0,-5269000.0,-538000.0,7016000.0,1648000.0,4650000.0,70000.0,4650000.0,31.89,31.33,145787.52,148473.74,12787000.0,41836000.0,4650000.0,4629342.08,5269000.0,-5269000.0,12285000.0,20963000.0,29505000.0,8678000.0,4650000.0,27000.0,27000.0,20936000.0,0.0,6342.08,144603250.0,125677250.0,18926000.0,105059500.0,14515000.0,253250.0,-85976500.0,-7997000.0,106938250.0,-85976500.0,92549250.0,91684250.0,167434.435,166087.2725,11387.38,14864000.0,-11174000.0,-3526000.0,642000.0,1211000.0,5186000.0,-11052000.0,23000.0,26633000.0,-26987000.0,-2854000.0,3812000.0
12/31/2023,54607000.0,29752000.0,24855000.0,12349000.0,12506000.0,-5188000.0,-464000.0,6854000.0,1593000.0,4557000.0,70000.0,4557000.0,30.54,29.99,149208.19,151966.31,12559000.0,42101000.0,4557000.0,4484079.81,5188000.0,-5188000.0,12042000.0,20738000.0,29752000.0,8696000.0,4557000.0,95000.0,95000.0,20643000.0,0.0,22079.81,147193000.0,132475000.0,14718000.0,106863000.0,11086000.0,253250.0,-87723000.0,-9082000.0,108863000.0,-87723000.0,97777000.0,97068000.0,150614.11,145225.46,5388.66,14433000.0,-11127000.0,-3242000.0,709000.0,1470000.0,5020000.0,-10943000.0,23000.0,22062000.0,-21938000.0,-3215000.0,3490000.0
12/31/2022,54022000.0,29291000.0,24731000.0,12488000.0,12243000.0,-4556000.0,-225000.0,7462000.0,1613000.0,5055000.0,70000.0,5055000.0,31.3,30.74,161501.36,164433.6,11962000.0,41779000.0,5055000.0,5352074.64,4556000.0,-4556000.0,12018000.0,20921000.0,29291000.0,8903000.0,5055000.0,-379000.0,-379000.0,21300000.0,0.0,-81925.36,144523000.0,131974000.0,12549000.0,105212000.0,9119000.0,295000.0,-90579000.0,-8048000.0,106722000.0,-90579000.0,97603000.0,96958000.0,152651.4,152651.4,11387.38,14925000.0,-9114000.0,-5767000.0,645000.0,1321000.0,4509000.0,-8823000.0,23000.0,25643000.0,-19311000.0,-10277000.0,6102000.0
12/31/2021,51682000.0,28226000.0,23456000.0,12601000.0,10855000.0,-4037000.0,-430000.0,6388000.0,1068000.0,4654000.0,70000.0,4724000.0,25.34,24.47,183669.37,193042.95,10526000.0,40827000.0,4654000.0,5119541.64,4037000.0,-4037000.0,10425000.0,19770000.0,28226000.0,9345000.0,4654000.0,-559000.0,-559000.0,20329000.0,0.0,-93458.36,142491000.0,124335000.0,18156000.0,102614000.0,14050000.0,269000.0,-86918000.0,-8892000.0,105611000.0,-86918000.0,91830000.0,90960000.0,172741.24,172741.24,11387.38,16239000.0,-7754000.0,-8885000.0,601000.0,157000.0,4043000.0,-7555000.0,23000.0,20976000.0,-12146000.0,-15431000.0,8684000.0
12/31/2020,48097000.0,26899000.0,21198000.0,12735000.0,8463000.0,-3848000.0,-313000.0,4302000.0,626000.0,3222000.0,70000.0,3222000.0,15.85,15.4,203316.48,209273.25,8405000.0,39634000.0,3222000.0,3406569.04,3848000.0,-3848000.0,8150000.0,17854000.0,26899000.0,9704000.0,3222000.0,-216000.0,-216000.0,18070000.0,0.0,-31430.96,144206000.0,113925000.0,30281000.0,105549000.0,23805000.0,235000.0,-78686000.0,-5966000.0,106557000.0,-78686000.0,82987000.0,81751000.0,193730.99,193730.99,11387.38,14562000.0,-8157000.0,-8953000.0,1001000.0,123000.0,3866000.0,-7956000.0,23000.0,15754000.0,-12094000.0,-11217000.0,6606000.0
12/31/2019,52613400.0,28734600.0,23878800.0,12500800.0,11378000.0,-4579600.0,-394000.0,6404400.0,1309600.0,4427600.0,70000.0,4441600.0,26.984,26.385999999999996,168696.58399999997,173437.97000000003,11247800.0,41235400.0,4427600.0,4598321.442,4579600.0,-4579600.0,10984000.0,20049200.0,28734600.0,9065200.0,4427600.0,-206400.0,-206400.0,20255600.0,0.0,-35678.558000000005,144603250.0,125677250.0,18926000.0,105059500.0,14515000.0,214000.0,-85976500.0,-7997000.0,106938250.0,-85976500.0,92549250.0,91684250.0,167434.435,166087.2725,17386.1,15004600.0,-9465200.0,-6074600.0,719600.0,856400.0,4524800.0,-9265800.0,23000.0,22213600.0,-18495200.0,-8598800.0,5738800.0
