Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"43,031,000.00","38,317,000.00","4,714,000.00","2,753,000.00","1,961,000.00","-591,000.00","-248,000.00","1,122,000.00","-106,000.00","1,141,000.00","1,141,000.00",1.62,1.62,"703,950.00","706,400.00","41,070,000.00","1,152,000.00","1,259,440.00","194,000.00","785,000.00","-591,000.00","1,907,000.00","4,623,000.00","35,921,000.00","2,716,000.00","1,152,000.00","-136,000.00","-136,000.00","4,759,000.00",0.00,"-28,560.00",,,,,,,,,,,,,,,,"4,614,000.00","-2,859,000.00","-1,337,000.00","3,342,000.00",--,--,"-2,856,000.00","184,000.00","1,511,000.00","-303,000.00","-650,000.00","1,758,000.00"
12/31/2023,"44,622,000.00","39,742,000.00","4,880,000.00","2,780,000.00","2,100,000.00","-517,000.00","-927,000.00","656,000.00","-4,000.00","578,000.00","578,000.00",0.82,0.82,"705,700.00","709,000.00","42,522,000.00","589,000.00","1,201,250.00","229,000.00","746,000.00","-517,000.00","1,402,000.00","4,013,000.00","37,455,000.00","2,611,000.00","589,000.00","-775,000.00","-775,000.00","4,788,000.00",0.00,"-162,750.00","57,967,000.00","38,859,000.00","19,108,000.00","32,641,000.00","18,607,000.00","2,234,000.00","7,894,000.00","7,657,000.00","32,820,000.00","7,894,000.00","16,447,000.00","11,226,000.00","778,595.51","702,293.43","76,302.08","5,196,000.00","-2,928,000.00","-3,115,000.00","2,987,000.00",--,--,"-2,477,000.00","188,000.00","104,000.00","-695,000.00","-625,000.00","2,719,000.00"
12/31/2022,"56,902,000.00","48,338,000.00","8,564,000.00","2,862,000.00","5,702,000.00","-489,000.00","877,000.00","6,090,000.00","1,450,000.00","4,558,000.00","4,558,000.00",6.32,6.28,"721,000.00","725,600.00","51,200,000.00","4,582,000.00","4,704,682.00","173,000.00","662,000.00","-489,000.00","6,752,000.00","9,510,000.00","45,916,000.00","2,758,000.00","4,582,000.00","-161,000.00","-161,000.00","9,671,000.00",0.00,"-38,318.00","60,603,000.00","39,356,000.00","21,247,000.00","34,626,000.00","20,718,000.00","2,074,000.00","9,632,000.00","9,146,000.00","35,350,000.00","9,632,000.00","16,706,000.00","10,746,000.00","771,678.53","704,879.92","66,798.61","7,475,000.00","-2,970,000.00","-3,361,000.00","3,886,000.00","793,000.00","675,000.00","-2,058,000.00","212,000.00","1,920,000.00","-1,020,000.00","-2,325,000.00","5,417,000.00"
12/31/2021,"54,968,000.00","44,191,000.00","10,777,000.00","2,890,000.00","7,887,000.00","-676,000.00","934,000.00","8,145,000.00","1,740,000.00","6,279,000.00","6,279,000.00",8.44,8.38,"743,600.00","749,000.00","47,081,000.00","6,311,000.00","6,612,038.00","55,000.00","731,000.00","-676,000.00","8,876,000.00","11,718,000.00","41,737,000.00","2,842,000.00","6,311,000.00","-383,000.00","-383,000.00","12,101,000.00",0.00,"-81,962.00","62,990,000.00","44,251,000.00","18,739,000.00","31,576,000.00","18,165,000.00","2,332,000.00","6,520,000.00","7,622,000.00","31,968,000.00","6,520,000.00","16,135,000.00","10,815,000.00","764,226.88","735,215.31","29,011.57","7,009,000.00","-2,914,000.00","-6,071,000.00","2,988,000.00","731,000.00","801,000.00","-2,324,000.00","320,000.00","253,000.00","-2,949,000.00","-1,000,000.00","4,685,000.00"
12/31/2020,"38,542,000.00","33,346,000.00","5,196,000.00","2,640,000.00","2,556,000.00","-789,000.00","304,000.00","2,071,000.00","777,000.00","1,216,000.00","1,216,000.00",1.64,1.64,"740,500.00","742,300.00","35,986,000.00","1,225,000.00","1,470,625.00","38,000.00","827,000.00","-789,000.00","2,898,000.00","5,772,000.00","30,873,000.00","2,874,000.00","1,225,000.00","-393,000.00","-393,000.00","6,165,000.00",0.00,"-147,375.00","61,470,000.00","48,465,000.00","13,005,000.00","28,408,000.00","12,435,000.00","2,455,000.00","175,000.00","7,976,000.00","29,024,000.00","175,000.00","19,044,000.00","11,485,000.00","755,993.20","743,189.90","12,803.30","6,226,000.00","-841,000.00","-2,764,000.00","5,104,000.00","518,000.00","842,000.00","-1,387,000.00","108,000.00","4,835,000.00","-5,247,000.00","-125,000.00","4,839,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"881,000.00","993,000.00",--,--,--,--,--,--
