Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,5839242.0,1038633.0,4800609.0,1824954.0,2975655.0,-889093.0,1001691.0,3088253.0,137404.0,2566786.0,2566786.0,7.87,7.87,326258.5,326258.5,2975655.0,2863587.0,2570123.0,1872114.24,889093.0,-889093.0,3977346.0,5306839.0,962039.0,1329493.0,2570123.0,730511.0,730511.0,4576328.0,0.0,32502.24,33964748.5,30072135.5,3892613.0,28556274.75,41598.75,3098971.75,564373.0,3096792.25,-852425.5,28795431.0,3055193.5,26260832.25,24862417.25,342897.49,327498.84,796.95,15398.647500000001,3808875.0,-462054.0,-2949853.0,1234433.0,-757327.0,947134.5,2090389.0,-1894960.0,-553192.0,3051548.0
12/31/2023,5658836.0,1028386.0,4630450.0,1823428.0,2807022.0,-854648.0,746518.0,2698892.0,81874.0,2279789.0,2279789.0,6.98,6.98,326808.0,326808.0,2807022.0,2851814.0,2283126.0,1923521.31,854648.0,-854648.0,3553540.0,4887124.0,956909.0,1333584.0,2283126.0,370855.0,370855.0,4516269.0,0.0,11250.31,34283495.0,30595897.0,3687598.0,28995662.0,41106.0,2981728.0,545456.0,2994023.0,132362.0,28954556.0,2952917.0,26518284.0,24803837.0,342903.89,325920.52,796.95,16983.36,3930793.0,-1363181.0,-2020249.0,1168991.0,-793283.0,947134.5,3629840.0,-2658525.0,-518288.0,3137510.0
12/31/2022,5291447.0,1000954.0,4290493.0,1706940.0,2583553.0,-761253.0,713597.0,2535897.0,83512.0,2136198.0,2136198.0,6.52,6.52,327817.0,327817.0,2583553.0,2707894.0,2139535.0,2076075.99,761253.0,-761253.0,3297150.0,4589263.0,936212.0,1292113.0,2139535.0,65620.0,65620.0,4523643.0,0.0,2160.99,33011274.0,29187383.0,3823891.0,28035365.0,41435.0,3097089.0,561398.0,3100654.0,-1085907.0,27993930.0,3059219.0,25458239.0,24275213.0,342913.42,326953.79,796.95,15959.63,3766604.0,-626564.0,-3052348.0,621628.0,-650024.0,947134.5,3449403.0,-3721864.0,-515905.0,3116580.0
12/31/2021,5116789.0,971064.0,4145725.0,1732535.0,2413190.0,-795712.0,1108428.0,2725906.0,157199.0,2246294.0,2246294.0,6.84,6.84,328587.0,328587.0,2413190.0,2703599.0,2249631.0,1942816.36,795712.0,-795712.0,3521618.0,4847513.0,907884.0,1325895.0,2249631.0,325591.0,325591.0,4521922.0,0.0,18776.36,33777379.0,29376654.0,4400725.0,28119029.0,41763.0,3319689.0,570376.0,3308076.0,-1171033.0,28577266.0,3266313.0,25827953.0,24723641.0,342915.61,328619.63,796.95,14295.98,3637402.0,-552764.0,-3562315.0,533936.0,-527935.0,338121.0,9251217.0,-10076809.0,-341887.0,3109467.0
12/31/2020,4607503.0,887154.0,3720349.0,1748540.0,1971809.0,-784400.0,85278.0,1272687.0,-4637.0,1109227.0,1109227.0,3.59,3.59,308738.0,308738.0,1971809.0,2635694.0,1112564.0,1210816.16,784400.0,-784400.0,2057087.0,3412078.0,850171.0,1354991.0,1112564.0,-134592.0,-134592.0,3546670.0,0.0,-36339.84,34786846.0,31128608.0,3658238.0,29075043.0,42091.0,2997381.0,580262.0,2984416.0,-1285124.0,29655972.0,2942325.0,27238853.0,25646978.0,342857.04,328501.42,796.95,14355.62,2326698.0,-3978398.0,1993940.0,1011613.0,-484119.0,1556148.0,15234860.0,-12955275.0,-169549.0,1842579.0
12/31/2019,5302763.4,985238.2,4317525.2,1767279.4,2550245.8,-817021.2,731102.4,2464327.0,91070.4,2067658.8,2067658.8,6.36,6.36,323641.7,323641.7,2550245.8,2752517.6,2070995.8,1805068.8120000002,817021.2,-817021.2,3281348.2,4608563.4,922643.0,1327215.2,2070995.8,271597.0,271597.0,4336966.4,0.0,5670.012000000001,33964748.5,30072135.5,3892613.0,28556274.75,41598.75,3098971.75,564373.0,3096792.25,-852425.5,28795431.0,3055193.5,26260832.25,24862417.25,342897.49,327498.84,796.95,15398.647500000001,3494074.4,-1396592.2,-1918165.0,914120.2,-642537.6,947134.5,6731141.8,-6261486.6,-419764.2,2851536.8
