Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,6967811.0,4239561.0,2728250.0,1680021.0,1048229.0,-591848.0,-65350.0,391031.0,7108.0,58972.0,593241.0,-122.0,593119.0,1.05,1.05,561497.0,565072.0,5919582.0,420670.0,476250.97,591848.0,-591848.0,982879.0,2501229.0,4189163.0,1518350.0,420670.0,-56610.0,-56610.0,2557839.0,0.0,-1029.03,37324841.5,16327677.0,20997164.5,34299071.5,19826977.5,440816.0,17908260.0,2439970.75,34380305.25,17908260.0,14994143.75,13443418.25,481602.0075,479847.55000000005,1754.4575,1821783.0,-6241268.0,4984021.0,2863605.0,15650.0,634880.0,-56781.0,8696566.0,14878.0,-874378.0,-7656.0,1765002.0
12/31/2023,6478231.0,3947776.0,2530455.0,1590001.0,940454.0,-607846.0,17439.0,350047.0,6364.0,14456.0,340094.0,-303.0,339791.0,0.66,0.66,515629.0,518701.0,5537777.0,340094.0,373460.16,607846.0,-607846.0,957893.0,2401110.0,3905660.0,1443217.0,340094.0,-33984.0,-33984.0,2435094.0,0.0,-617.84,44012166.0,17640439.0,26371727.0,41139925.0,25404376.0,383230.0,23169585.0,3793066.0,41139925.0,23169585.0,16118779.0,13741903.0,566001.63,564241.18,1760.45,1601861.0,-5707742.0,5448647.0,2076083.0,7682.0,628582.0,-50699.0,6010129.0,1396895.0,-741856.0,-7656.0,1551162.0
12/31/2022,5776068.0,3558770.0,2217298.0,1471078.0,746220.0,-529519.0,-43639.0,173062.0,7247.0,-5247.0,141214.0,165.0,141379.0,0.31,0.3,462185.0,465158.0,5029848.0,141214.0,166619.64,529519.0,-529519.0,702581.0,2039490.0,3532229.0,1336909.0,141214.0,-26516.0,-26516.0,2066006.0,0.0,-1110.36,37893233.0,16499237.0,21393996.0,34842902.0,20294814.0,415824.0,18281035.0,1908055.0,34842902.0,18281035.0,14963912.0,13916407.0,492283.49,490508.94,1774.55,1328708.0,-3703815.0,2761277.0,722292.0,3435.0,531672.0,-30491.0,3667854.0,1153415.0,-457180.0,-7656.0,1298217.0
12/31/2021,4709481.0,2774562.0,1934919.0,1171563.0,763356.0,-489853.0,-102753.0,170750.0,8713.0,212442.0,336138.0,-3020.0,333118.0,0.79,0.78,424976.0,426841.0,3946125.0,336138.0,425007.35,489853.0,-489853.0,660603.0,1713781.0,2758950.0,1053178.0,336138.0,-93648.0,-93648.0,1807429.0,0.0,-4778.65,34910325.0,15912452.0,18997873.0,31442020.0,17636001.0,545944.0,15778052.0,1244002.0,31766955.0,15778052.0,14676898.0,13861689.0,448998.44,447239.48,1758.96,1275325.0,-4516268.0,1567664.0,346755.0,4812.0,492742.0,-19352.0,2348201.0,1727195.0,-1731370.0,-7656.0,1255973.0
12/31/2020,4586538.0,2597823.0,1988715.0,1261267.0,727448.0,-514388.0,-244612.0,-31552.0,9968.0,1080372.0,978844.0,-6146.0,972698.0,2.36,2.33,415451.0,417387.0,3859090.0,978844.0,1120249.38,514388.0,-514388.0,482836.0,1532616.0,2586480.0,1049780.0,978844.0,-193706.0,-193706.0,1726322.0,0.0,-52300.62,32483642.0,15258580.0,17225062.0,29771439.0,15972719.0,418266.0,14404368.0,2814760.0,29771439.0,14404368.0,14216986.0,12253674.0,419124.47,417400.6,1723.87,1364756.0,2347928.0,-2080858.0,2021043.0,13671.0,508454.0,-17472.0,595313.0,1650604.0,-2282592.0,-7656.0,1347284.0
12/31/2019,5703625.8,3423698.4,2279927.4,1434786.0,845141.4,-546690.8,-87783.0,210667.6,7880.0,272199.0,477906.2,-1885.2,476021.0,1.034,1.024,475947.6,478631.8,4858484.4,443392.0,512317.5,546690.8,-546690.8,757358.4,2037645.2,3394496.4,1280286.8,443392.0,-80892.8,-80892.8,2118538.0,0.0,-11967.3,37324841.5,16327677.0,20997164.5,34299071.5,19826977.5,440816.0,17908260.0,2439970.75,34380305.25,17908260.0,14994143.75,13443418.25,481602.0075,479847.55000000005,1754.4575,1478486.6,-3564233.0,2536150.2,1605955.6,9050.0,559266.0,-34959.0,4263612.6,1188597.4,-1217475.2,-7656.0,1443527.6
