Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"10,907,700.00","9,053,100.00","1,854,600.00","367,500.00","1,487,100.00","-76,900.00","9,500.00","1,419,700.00","369,700.00",500.00,"1,031,800.00","1,031,800.00",2.71,2.70,"379,900.00","381,950.00","1,486,000.00","9,420,600.00","1,031,800.00","1,017,821.69","163,900.00","240,800.00","-76,900.00","1,660,500.00","1,922,000.00","9,053,100.00","261,500.00","1,031,800.00","18,900.00","18,900.00","1,903,100.00",0.00,"4,921.69",,,,,,,,,,,,,,,,"1,100,800.00","-20,100.00","-1,148,100.00","1,569,000.00",--,--,"-169,900.00",100.00,"-269,300.00","-352,300.00","930,900.00"
12/31/2023,"10,889,300.00","9,075,100.00","1,814,200.00","331,500.00","1,482,700.00","-84,800.00","10,100.00","1,408,000.00","291,200.00","1,300.00","1,098,400.00","1,098,400.00",2.86,2.85,"384,100.00","385,900.00","1,482,600.00","9,406,600.00","1,098,400.00","1,084,284.60","140,800.00","225,600.00","-84,800.00","1,633,600.00","1,897,900.00","9,075,100.00","264,300.00","1,098,400.00","17,800.00","17,800.00","1,880,100.00",0.00,"3,684.60","19,267,300.00","15,221,200.00","4,046,100.00","6,860,100.00","3,942,600.00","1,469,400.00","-1,881,900.00","619,500.00","7,144,400.00","-1,881,900.00","4,671,200.00","815,700.00","383,000.00","378,700.00","4,300.00","554,700.00","-85,400.00","-634,300.00","2,395,100.00","320,300.00","221,600.00","-179,300.00","296,300.00","-8,700.00","-350,200.00","375,400.00"
12/31/2022,"10,927,800.00","9,083,100.00","1,844,700.00","361,100.00","1,483,600.00","-111,300.00","-103,400.00","1,268,900.00","318,400.00","5,600.00","938,000.00","938,000.00",2.40,2.37,"391,500.00","395,100.00","1,381,200.00","9,444,200.00","938,000.00","1,023,161.30","56,600.00","167,900.00","-111,300.00","1,436,800.00","1,710,800.00","9,083,100.00","274,000.00","938,000.00","-113,700.00","-113,700.00","1,824,500.00",0.00,"-28,538.70","18,811,700.00","15,100,700.00","3,711,000.00","6,485,300.00","3,614,600.00","1,616,000.00","-2,254,100.00","342,000.00","6,530,200.00","-2,254,100.00","4,531,600.00","370,300.00","389,600.00","386,500.00","3,100.00","642,100.00","-430,100.00","-899,400.00","2,553,100.00","255,700.00","171,100.00","-178,100.00",--,"-60,000.00","-320,100.00","464,000.00"
12/31/2021,"10,240,700.00","8,387,800.00","1,852,900.00","406,100.00","1,446,800.00","-143,400.00","-81,300.00","1,222,100.00","251,800.00","2,500.00","952,800.00","952,800.00",2.42,2.39,"393,000.00","398,400.00","1,436,200.00","8,793,900.00","952,800.00","1,035,376.00","27,200.00","170,600.00","-143,400.00","1,392,700.00","1,676,500.00","8,387,800.00","283,800.00","952,800.00","-104,000.00","-104,000.00","1,780,500.00",0.00,"-21,424.00","19,909,200.00","16,304,400.00","3,604,800.00","6,434,600.00","3,526,000.00","1,841,800.00","-2,230,200.00","341,800.00","6,482,800.00","-2,230,200.00","4,798,600.00",--,"394,300.00","394,300.00",--,"2,075,600.00","-185,300.00","-1,084,200.00","3,272,200.00","229,100.00","175,900.00","-195,300.00","998,100.00","-1,581,700.00",--,"1,880,300.00"
12/31/2020,"9,061,000.00","7,709,400.00","1,351,600.00","349,400.00","1,002,200.00","-162,700.00","-478,200.00","361,300.00","8,000.00",900.00,"351,100.00","351,100.00",0.90,0.89,"389,400.00","393,200.00","588,400.00","8,058,800.00","351,100.00","821,322.40","29,500.00","192,200.00","-162,700.00","553,500.00","844,100.00","7,709,400.00","290,600.00","351,100.00","-480,800.00","-480,800.00","1,324,900.00",0.00,"-10,577.60","18,042,700.00","15,005,700.00","3,037,000.00","5,810,800.00","2,895,000.00","1,709,500.00","-2,984,100.00","-212,900.00","6,361,300.00","-2,984,100.00","5,175,800.00","957,300.00","390,900.00","390,900.00",--,"1,847,200.00","-216,200.00","-346,200.00","2,511,500.00",--,--,"-167,500.00","646,200.00","-503,700.00",--,"1,679,700.00"
12/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,"2,134,100.00",--,--,--,,,,,,,,,,,
