Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,19265000.0,12640000.0,6625000.0,3648000.0,2977000.0,83000.0,-148000.0,2912000.0,730000.0,13000.0,2195000.0,2195000.0,4.4,4.39,499500.0,500000.0,2813000.0,16288000.0,2195000.0,2313391.48,126000.0,43000.0,83000.0,2955000.0,3503000.0,12607000.0,548000.0,2195000.0,-158000.0,-158000.0,3661000.0,0.0,-39608.52,17777500.0,5686750.0,12090750.0,12724000.0,12090750.0,899750.0,5333500.0,3804000.0,12753250.0,5333500.0,1562250.0,515500.0,515500.0,1922000.0,-348000.0,-1430000.0,2199000.0,857000.0,21750.0,-309000.0,1195000.0,-64000.0,-837000.0,1613000.0
12/31/2023,19353000.0,12664000.0,6689000.0,3771000.0,2918000.0,85000.0,-216000.0,2787000.0,668000.0,7000.0,2126000.0,2126000.0,4.21,4.21,505000.0,505000.0,2689000.0,16435000.0,2126000.0,2298520.0,126000.0,41000.0,85000.0,2828000.0,3383000.0,12628000.0,555000.0,2126000.0,-227000.0,-227000.0,3610000.0,0.0,-54480.0,18483000.0,5256000.0,13227000.0,13833000.0,13227000.0,676000.0,5991000.0,4173000.0,13866000.0,5991000.0,1315000.0,498000.0,498000.0,2330000.0,-331000.0,-1609000.0,2717000.0,1245000.0,40000.0,-317000.0,1195000.0,-25000.0,-1064000.0,2013000.0
12/31/2022,19428000.0,12448000.0,6980000.0,4012000.0,2968000.0,40000.0,8000.0,3016000.0,730000.0,4000.0,2290000.0,2290000.0,4.42,4.41,518000.0,519000.0,2968000.0,16460000.0,2290000.0,2284694.0,59000.0,19000.0,40000.0,3035000.0,3604000.0,12448000.0,569000.0,2290000.0,7000.0,7000.0,3597000.0,0.0,1694.0,17852000.0,5543000.0,12309000.0,12947000.0,12309000.0,888000.0,5431000.0,3919000.0,12955000.0,5431000.0,1534000.0,509000.0,509000.0,2568000.0,-106000.0,-1939000.0,2294000.0,813000.0,15000.0,-332000.0,650000.0,-686000.0,-1422000.0,2236000.0
12/31/2021,18507000.0,11604000.0,6903000.0,4077000.0,2826000.0,21000.0,-20000.0,2827000.0,693000.0,3000.0,2137000.0,2137000.0,4.06,4.05,527000.0,528000.0,2826000.0,15681000.0,2137000.0,2152100.0,30000.0,9000.0,21000.0,2836000.0,3410000.0,11604000.0,574000.0,2137000.0,-20000.0,-20000.0,3430000.0,0.0,-4900.0,17852000.0,5861000.0,11991000.0,12617000.0,11991000.0,978000.0,5153000.0,3813000.0,12655000.0,5153000.0,1642000.0,525000.0,525000.0,2495000.0,-2164000.0,-1203000.0,1792000.0,625000.0,7000.0,-279000.0,1195000.0,-53000.0,-771000.0,2216000.0
12/31/2020,16652000.0,10671000.0,5981000.0,3652000.0,2329000.0,95000.0,-328000.0,2096000.0,704000.0,6750.0,1392000.0,1392000.0,2.58,2.57,540000.0,541000.0,2114000.0,14323000.0,1392000.0,1611784.0,119000.0,24000.0,95000.0,2120000.0,2679000.0,10664000.0,559000.0,1392000.0,-331000.0,-331000.0,3010000.0,0.0,-111216.0,16923000.0,6087000.0,10836000.0,11499000.0,10836000.0,1057000.0,4759000.0,3311000.0,11537000.0,4759000.0,1758000.0,530000.0,530000.0,3299000.0,-1238000.0,-2009000.0,2680000.0,745000.0,25000.0,-398000.0,1740000.0,-1790000.0,-1621000.0,2901000.0
12/31/2019,18641000.0,12005400.0,6635600.0,3832000.0,2803600.0,64800.0,-140800.0,2727600.0,705000.0,6750.0,2028000.0,2028000.0,3.934,3.9259999999999997,517900.0,518600.0,2682000.0,15837400.0,2028000.0,2132097.896,92000.0,27200.0,64800.0,2754800.0,3315800.0,11990200.0,561000.0,2028000.0,-145800.0,-145800.0,3461600.0,0.0,-41702.104,17777500.0,5686750.0,12090750.0,12724000.0,12090750.0,899750.0,5333500.0,3804000.0,12753250.0,5333500.0,1562250.0,515500.0,515500.0,2522800.0,-837400.0,-1638000.0,2336400.0,857000.0,21750.0,-327000.0,1195000.0,-523600.0,-1143000.0,2195800.0
