Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"31,028,000.00","16,918,000.00","14,110,000.00","8,668,000.00","5,442,000.00","235,000.00","-35,000.00","5,642,000.00","1,204,000.00","4,438,000.00","4,438,000.00",4.13,4.12,"1,069,500.00","1,075,000.00","5,389,000.00","25,586,000.00","4,438,000.00","4,507,220.84","587,000.00","352,000.00","235,000.00","5,994,000.00","7,055,000.00","16,918,000.00","1,061,000.00","4,438,000.00","-88,000.00","-88,000.00","7,143,000.00",0.00,"-18,779.16",,,,,,,,,,,,,,,"7,315,000.00","-4,508,000.00","899,000.00","19,321,000.00","2,034,000.00","330,000.00","-614,000.00","100,000.00","2,222,000.00","-522,000.00","-5,043,000.00","6,701,000.00"
12/31/2023,"29,771,000.00","16,067,000.00","13,704,000.00","8,760,000.00","4,944,000.00","133,000.00","334,000.00","5,411,000.00","1,165,000.00","4,246,000.00","4,246,000.00",3.85,3.84,"1,103,000.00","1,107,000.00","5,028,000.00","24,827,000.00","4,246,000.00","4,022,275.00","480,000.00","347,000.00","133,000.00","5,758,000.00","6,830,000.00","16,067,000.00","1,072,000.00","4,246,000.00","285,000.00","285,000.00","6,545,000.00",0.00,"61,275.00","82,166,000.00","61,115,000.00","21,051,000.00","30,727,000.00","21,051,000.00","9,488,000.00","14,103,000.00","30,727,000.00","9,488,000.00","9,676,000.00","595,000.00","1,317,000.00","1,072,000.00","245,000.00","4,843,000.00","752,000.00","-2,993,000.00","21,834,000.00","2,118,000.00","331,000.00","-623,000.00","127,000.00","1,528,000.00","-1,053,000.00","-5,002,000.00","4,220,000.00"
12/31/2022,"27,518,000.00","13,745,000.00","13,773,000.00","9,729,000.00","4,044,000.00","-130,000.00","-548,000.00","3,366,000.00","947,000.00","2,419,000.00","2,419,000.00",2.10,2.09,"1,154,000.00","1,158,000.00","3,837,000.00","23,474,000.00","2,419,000.00","2,786,409.00","174,000.00","304,000.00","-130,000.00","3,670,000.00","4,987,000.00","13,745,000.00","1,317,000.00","2,419,000.00","-511,000.00","-511,000.00","5,498,000.00",0.00,"-143,591.00","78,624,000.00","58,350,000.00","20,274,000.00","30,691,000.00","20,274,000.00","8,277,000.00","12,416,000.00","30,691,000.00","8,277,000.00","10,417,000.00","2,641,000.00","1,309,000.00","1,136,000.00","173,000.00","5,813,000.00","-3,328,000.00","-1,203,000.00","19,156,000.00","878,000.00","280,000.00","-706,000.00","143,000.00","3,475,000.00","-1,686,000.00","-4,199,000.00","5,107,000.00"
12/31/2021,"25,371,000.00","11,375,000.00","13,996,000.00","9,672,000.00","4,324,000.00","-175,000.00","-50,000.00","4,099,000.00","-70,000.00","4,169,000.00","4,169,000.00",3.55,3.52,"1,174,000.00","1,186,000.00","4,262,000.00","21,047,000.00","4,169,000.00","4,180,680.00","57,000.00","232,000.00","-175,000.00","4,331,000.00","5,596,000.00","11,375,000.00","1,265,000.00","4,169,000.00","-16,000.00","-16,000.00","5,612,000.00",0.00,"-4,320.00","75,803,000.00","54,076,000.00","21,727,000.00","29,776,000.00","21,727,000.00","8,941,000.00","9,545,000.00","29,776,000.00","8,941,000.00","8,049,000.00","2,852,000.00","1,300,000.00","1,168,000.00","132,000.00","5,797,000.00","-5,149,000.00","-557,000.00","18,029,000.00","474,000.00","231,000.00","-908,000.00","162,000.00","272,000.00","-361,000.00","-3,373,000.00","4,889,000.00"
12/31/2020,"21,454,000.00","9,675,000.00","11,779,000.00","8,351,000.00","3,428,000.00","-121,000.00","1,758,000.00","5,065,000.00","863,000.00","4,202,000.00","4,202,000.00",3.58,3.54,"1,173,000.00","1,187,000.00","3,289,000.00","18,026,000.00","4,202,000.00","2,728,750.00","88,000.00","209,000.00","-121,000.00","5,274,000.00","6,463,000.00","9,675,000.00","1,189,000.00","4,202,000.00","1,775,000.00","1,775,000.00","4,688,000.00",0.00,"301,750.00","70,379,000.00","50,316,000.00","20,063,000.00","28,958,000.00","20,019,000.00","9,836,000.00","12,548,000.00","28,958,000.00","9,836,000.00","8,939,000.00","4,145,000.00","1,288,691.81","1,171,691.81","117,000.00","6,219,000.00","-16,545,000.00","12,454,000.00","18,040,000.00","565,000.00","190,000.00","-866,000.00","137,000.00","6,966,000.00","-3,000,000.00","-1,635,000.00","5,353,000.00"
12/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
