Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,26134000.0,13163000.0,12971000.0,6012000.0,6959000.0,-2612000.0,954000.0,5301000.0,815000.0,4608000.0,4608000.0,4.21,4.19,1093500.0,1099500.0,6959000.0,19175000.0,2612000.0,-2612000.0,4608000.0,4403206.19,7913000.0,13035000.0,12671000.0,5122000.0,4608000.0,242000.0,242000.0,12793000.0,0.0,37206.19,131172750.0,97460500.0,33712250.0,80334750.0,291000.0,29424500.0,1670000.0,23923000.0,-3440250.0,85038500.0,23777500.0,57284000.0,54232000.0,1077569.815,1076569.815,1000.0,8652000.0,-9602000.0,-83000.0,1211000.0,108750.0,2376000.0,-9092000.0,98000.0,9167000.0,-5954000.0,-298000.0,-440000.0
12/31/2023,25253000.0,13545000.0,11708000.0,5882000.0,5826000.0,-2446000.0,965000.0,4345000.0,496000.0,3976000.0,3976000.0,3.64,3.62,1092000.0,1098000.0,5826000.0,19427000.0,2446000.0,-2446000.0,3976000.0,3738552.0,6791000.0,11777000.0,13084000.0,4986000.0,3976000.0,268000.0,268000.0,11509000.0,0.0,30552.0,139331000.0,104106000.0,35225000.0,88654000.0,291000.0,31444000.0,1490000.0,25915000.0,-3035000.0,93444000.0,25915000.0,63490000.0,61252000.0,1091814.51,1090814.51,1000.0,7553000.0,-9668000.0,999000.0,921000.0,132000.0,2184000.0,-9095000.0,36000.0,10295000.0,-5924000.0,-298000.0,-1542000.0
12/31/2022,29279000.0,18401000.0,10878000.0,5257000.0,5621000.0,-2022000.0,624000.0,4223000.0,795000.0,3524000.0,3524000.0,3.28,3.26,1075000.0,1080981.6,5370000.0,23658000.0,2022000.0,-2022000.0,3535000.0,3556924.0,6245000.0,10309000.0,18000000.0,4064000.0,3535000.0,-27000.0,-27000.0,10336000.0,0.0,-5076.0,134891000.0,100359000.0,34532000.0,81064000.0,291000.0,30408000.0,1585000.0,24841000.0,-5308000.0,87958000.0,24841000.0,59135000.0,55633000.0,1100000.0,1099000.0,1000.0,6302000.0,-8430000.0,2336000.0,2037000.0,146000.0,1758000.0,-7923000.0,1808000.0,7782000.0,-3645000.0,-298000.0,-1621000.0
12/31/2021,23113000.0,12866000.0,10247000.0,6547000.0,3700000.0,-1837000.0,713000.0,2576000.0,267000.0,2393000.0,2393000.0,2.26,2.26,1061000.0,1061000.0,3698000.0,19413000.0,1837000.0,-1837000.0,2408000.0,2239552.0,4413000.0,8386000.0,12458000.0,3973000.0,2408000.0,188000.0,188000.0,8198000.0,0.0,19552.0,127534000.0,94967000.0,32567000.0,78285000.0,291000.0,27874000.0,1753000.0,22440000.0,-1956000.0,81591000.0,22149000.0,55470000.0,51919000.0,1061000.0,1060000.0,1000.0,6169000.0,-7353000.0,1945000.0,1829000.0,93000.0,1718000.0,-7586000.0,73000.0,9117000.0,-4352000.0,-298000.0,-1417000.0
12/31/2020,20375000.0,10478000.0,9897000.0,5077000.0,4820000.0,-1821000.0,497000.0,3496000.0,393000.0,3119000.0,3119000.0,2.95,2.95,1058000.0,1058000.0,4885000.0,15555000.0,1821000.0,-1821000.0,3134000.0,3126899.31,5317000.0,9222000.0,10091000.0,3905000.0,3134000.0,8000.0,8000.0,9214000.0,0.0,899.31,122935000.0,90410000.0,32525000.0,73336000.0,291000.0,27972000.0,1852000.0,22496000.0,-3462000.0,77161000.0,22205000.0,51041000.0,48124000.0,1057464.75,1056464.75,1000.0,6696000.0,-7030000.0,-576000.0,1068000.0,64000.0,1683000.0,-7441000.0,74000.0,8662000.0,-6394000.0,-298000.0,-745000.0
12/31/2019,24830800.0,13690600.0,11140200.0,5755000.0,5385200.0,-2147600.0,750600.0,3988200.0,553200.0,3524000.0,3524000.0,3.268,3.2560000000000002,1075900.0,1079496.3199999998,5347600.0,19445600.0,2147600.0,-2147600.0,3532200.0,3413026.7,6135800.0,10545800.0,13260800.0,4410000.0,3532200.0,135800.0,135800.0,10410000.0,0.0,16626.7,131172750.0,97460500.0,33712250.0,80334750.0,291000.0,29424500.0,1670000.0,23923000.0,-3440250.0,85038500.0,23777500.0,57284000.0,54232000.0,1077569.815,1076569.815,1000.0,7074400.0,-8416600.0,924200.0,1413200.0,108750.0,1943800.0,-8227400.0,417800.0,9004600.0,-5253800.0,-298000.0,-1153000.0
