Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"14,875,000.00","10,353,000.00","4,522,000.00","2,432,000.00","2,090,000.00","-173,000.00","-3,323,000.00","-1,406,000.00","601,000.00","26,000.00","-1,977,000.00","-1,977,000.00",-2.72,-2.72,"1,020,500.00","1,020,500.00","12,785,000.00","-1,977,000.00","640,660.00","152,000.00","325,000.00","-173,000.00","-1,081,000.00","1,336,000.00","10,353,000.00","2,417,000.00","-2,009,000.00","-3,354,000.00","-3,354,000.00","4,690,000.00",0.00,"-704,340.00",,,,,,,,,,,,,,,,"3,823,000.00","-1,941,000.00","-1,876,000.00","2,648,000.00",--,--,"-3,174,000.00","3,476,000.00","-3,725,000.00","-104,000.00","649,000.00"
12/31/2023,"11,812,000.00","8,807,000.00","3,005,000.00","2,297,000.00","708,000.00","-95,000.00","-2,644,000.00","-2,031,000.00","526,000.00","63,000.00","-2,494,000.00","-2,494,000.00",-2.97,-2.97,"841,000.00","841,000.00","11,104,000.00","-2,494,000.00","-420,390.00","148,000.00","243,000.00","-95,000.00","-1,788,000.00","320,000.00","8,807,000.00","2,108,000.00","-2,521,000.00","-2,659,000.00","-2,659,000.00","2,979,000.00",0.00,"-558,390.00","55,506,000.00","26,301,000.00","29,205,000.00","35,978,000.00","29,027,000.00","562,000.00","26,026,000.00","1,514,000.00","37,901,000.00","26,026,000.00","9,436,000.00","5,872,000.00","1,159,491.82","1,152,491.82","7,000.00","2,763,000.00","-1,002,000.00","-1,603,000.00","3,100,000.00","794,000.00","228,000.00","-2,666,000.00",--,"-67,000.00",--,"97,000.00"
12/31/2022,"11,915,000.00","8,653,000.00","3,262,000.00","1,657,000.00","1,605,000.00","-149,000.00","-1,507,000.00","-51,000.00","455,000.00","107,000.00","-429,000.00","-429,000.00",-0.54,-0.54,"794,000.00","795,000.00","10,310,000.00","-429,000.00","744,170.00","78,000.00","227,000.00","-149,000.00","176,000.00","2,361,000.00","8,653,000.00","2,185,000.00","-459,000.00","-1,523,000.00","-1,523,000.00","3,884,000.00",0.00,"-319,830.00","38,482,000.00","18,949,000.00","19,533,000.00","24,925,000.00","19,354,000.00","561,000.00","17,383,000.00","3,589,000.00","24,925,000.00","17,383,000.00","6,132,000.00","2,694,000.00","799,000.00","793,000.00","6,000.00","3,220,000.00","-2,983,000.00","-2,356,000.00","2,944,000.00","1,122,000.00","172,000.00","-2,131,000.00",--,"-155,000.00",--,"1,089,000.00"
12/31/2021,"12,222,000.00","7,758,000.00","4,464,000.00","2,468,000.00","1,996,000.00","-256,000.00","-632,000.00","1,108,000.00","1,098,000.00","166,000.00","1,166,000.00","1,166,000.00",1.46,1.46,"799,000.00","801,000.00","10,226,000.00","1,166,000.00","1,562,330.00","18,000.00","274,000.00","-256,000.00","1,382,000.00","3,705,000.00","7,758,000.00","2,323,000.00","1,109,000.00","-621,000.00","-621,000.00","4,326,000.00",0.00,"-167,670.00","40,564,000.00","18,703,000.00","21,861,000.00","27,587,000.00","22,022,000.00","650,000.00","19,251,000.00","5,042,000.00","27,674,000.00","19,251,000.00","6,302,000.00","660,000.00","797,000.00","792,000.00","5,000.00","4,279,000.00","-1,868,000.00","-2,958,000.00","5,093,000.00","1,534,000.00","229,000.00","-1,653,000.00","992,000.00","-1,455,000.00","-525,000.00","2,626,000.00"
12/31/2020,"11,497,000.00","7,314,000.00","4,183,000.00","1,122,000.00","3,061,000.00","-284,000.00","366,000.00","3,143,000.00","704,000.00","189,000.00","2,829,000.00","2,829,000.00",3.52,3.51,"804,000.00","806,000.00","8,436,000.00","2,829,000.00","2,389,880.00","24,000.00","308,000.00","-284,000.00","3,451,000.00","5,751,000.00","7,314,000.00","2,300,000.00","2,666,000.00","354,000.00","354,000.00","5,397,000.00",0.00,"77,880.00","41,369,000.00","17,490,000.00","23,879,000.00","28,488,000.00","23,008,000.00","671,000.00","20,237,000.00","5,136,000.00","29,039,000.00","20,237,000.00","6,702,000.00","491,000.00","804,000.00","800,000.00","4,000.00","4,882,000.00","91,000.00","-1,680,000.00","5,648,000.00","400,000.00","261,000.00","-1,302,000.00","985,000.00","-1,226,000.00","-521,000.00","3,580,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
