Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"46,465,000.00","18,338,000.00","28,127,000.00","16,039,000.00","12,088,000.00","-545,000.00","1,376,000.00","12,919,000.00","2,264,000.00","10,648,000.00","10,648,000.00",2.47,2.46,"4,315,000.00","4,328,000.00","10,316,000.00","34,377,000.00","10,648,000.00","11,575,848.52","1,036,000.00","1,581,000.00","-545,000.00","14,500,000.00","15,592,000.00","18,338,000.00","1,092,000.00","10,648,000.00","-1,125,000.00","-1,125,000.00","16,717,000.00",0.00,"-197,151.48",,,,,,,,,,,,,,,"11,083,000.00","-1,586,000.00","-7,844,000.00","14,505,000.00","-2,029,000.00","617,000.00","9,085,000.00","-7,402,000.00","-2,079,000.00","9,054,000.00"
12/31/2023,"45,754,000.00","18,520,000.00","27,234,000.00","14,151,000.00","13,083,000.00","-620,000.00","489,000.00","12,952,000.00","2,249,000.00","10,714,000.00","10,714,000.00",2.48,2.47,"4,323,000.00","4,339,000.00","11,311,000.00","32,671,000.00","10,714,000.00","11,643,250.00","907,000.00","1,527,000.00","-620,000.00","14,479,000.00","15,607,000.00","17,407,000.00","1,128,000.00","10,714,000.00","-1,125,000.00","-1,125,000.00","16,732,000.00",0.00,"-195,750.00","97,703,000.00","70,223,000.00","27,480,000.00","61,488,000.00","25,941,000.00","-7,282,000.00","3,161,000.00","68,005,000.00","-7,282,000.00","42,064,000.00","32,698,000.00","7,040,000.00","4,308,000.00","2,732,000.00","11,599,000.00","-3,349,000.00","-8,310,000.00","9,692,000.00","-1,852,000.00","539,000.00","6,891,000.00","-5,034,000.00","-2,289,000.00","9,747,000.00"
12/31/2022,"43,004,000.00","18,000,000.00","25,004,000.00","12,962,000.00","12,042,000.00","-433,000.00","77,000.00","11,686,000.00","2,115,000.00","9,542,000.00","9,542,000.00",2.20,2.19,"4,328,000.00","4,350,000.00","10,909,000.00","30,962,000.00","9,542,000.00","10,829,468.00","449,000.00","882,000.00","-433,000.00","12,568,000.00","13,828,000.00","18,000,000.00","1,260,000.00","9,542,000.00","-1,572,000.00","-1,572,000.00","15,400,000.00",0.00,"-284,532.00","92,763,000.00","66,937,000.00","25,826,000.00","60,482,000.00","24,105,000.00","-9,526,000.00","2,867,000.00","63,254,000.00","-9,526,000.00","39,149,000.00","29,630,000.00","7,040,000.00","4,328,000.00","2,712,000.00","11,018,000.00","-763,000.00","-10,250,000.00","9,825,000.00","-1,484,000.00","837,000.00","3,972,000.00","-4,930,000.00","-1,418,000.00","9,534,000.00"
12/31/2021,"38,655,000.00","15,357,000.00","23,298,000.00","12,259,000.00","11,039,000.00","-1,321,000.00","2,707,000.00","12,425,000.00","2,621,000.00","9,771,000.00","9,771,000.00",2.26,2.25,"4,315,000.00","4,340,000.00","10,308,000.00","27,616,000.00","9,771,000.00","8,892,843.00","276,000.00","1,597,000.00","-1,321,000.00","14,022,000.00","15,474,000.00","15,357,000.00","1,452,000.00","9,771,000.00","1,113,000.00","1,113,000.00","14,361,000.00",0.00,"234,843.00","94,354,000.00","69,494,000.00","24,860,000.00","61,115,000.00","22,999,000.00","-11,614,000.00","2,595,000.00","65,760,000.00","-11,614,000.00","42,761,000.00","33,077,000.00","7,040,128.92","4,325,128.92","2,715,000.00","12,625,000.00","-2,765,000.00","-6,786,000.00","10,025,000.00","-1,367,000.00","702,000.00","13,094,000.00","-12,866,000.00","-111,000.00","11,258,000.00"
12/31/2020,"33,014,000.00","13,433,000.00","19,581,000.00","9,856,000.00","9,725,000.00","-1,067,000.00","1,091,000.00","9,749,000.00","1,981,000.00","7,747,000.00","7,747,000.00",1.80,1.79,"4,295,000.00","4,323,000.00","8,997,000.00","23,289,000.00","7,747,000.00","7,727,075.00","370,000.00","1,437,000.00","-1,067,000.00","11,186,000.00","12,722,000.00","13,433,000.00","1,536,000.00","7,747,000.00","25,000.00","25,000.00","12,697,000.00",0.00,"5,075.00","87,296,000.00","66,012,000.00","21,284,000.00","59,424,000.00","19,299,000.00","-9,251,000.00","4,639,000.00","62,092,000.00","-9,251,000.00","42,793,000.00","35,998,000.00","7,040,128.92","4,302,128.92","2,738,000.00","9,844,000.00","-1,477,000.00","-8,070,000.00","7,110,000.00","-1,177,000.00","647,000.00","26,934,000.00","-28,796,000.00","-118,000.00","8,667,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
