Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"26,317,000.00","17,228,000.00","9,089,000.00","3,835,000.00","5,254,000.00","-855,000.00","-1,612,000.00","2,787,000.00","872,000.00","1,922,000.00","1,922,000.00",1.57,1.56,"1,220,000.00","1,227,000.00","3,777,000.00","21,063,000.00","1,922,000.00","3,026,886.98","57,000.00","912,000.00","-855,000.00","3,699,000.00","4,693,000.00","17,228,000.00","994,000.00","1,922,000.00","-1,608,000.00","-1,608,000.00","6,301,000.00",0.00,"-503,113.02",,,,,,,,,,,,,,,"4,105,000.00","-1,073,000.00","-3,056,000.00","925,000.00",--,--,"-1,188,000.00","743,000.00","-782,000.00","-954,000.00","2,917,000.00"
12/31/2023,"26,640,000.00","17,714,000.00","8,926,000.00","3,745,000.00","5,181,000.00","-872,000.00","-676,000.00","3,633,000.00","787,000.00","2,855,000.00","2,855,000.00",2.33,2.31,"1,227,000.00","1,235,000.00","4,572,000.00","21,459,000.00","2,855,000.00","3,381,176.00","40,000.00","912,000.00","-872,000.00","4,545,000.00","5,506,000.00","17,714,000.00","961,000.00","2,855,000.00","-672,000.00","-672,000.00","6,178,000.00",0.00,"-145,824.00","90,339,000.00","40,617,000.00","49,722,000.00","68,920,000.00","49,526,000.00","-23,381,000.00","-108,000.00","69,558,000.00","-23,381,000.00","20,032,000.00","18,632,000.00","1,249,000.00","1,218,000.00","31,000.00","3,976,000.00","-916,000.00","-2,678,000.00","1,404,000.00","932,000.00","896,000.00","-1,013,000.00","807,000.00","-998,000.00","-455,000.00","2,963,000.00"
12/31/2022,"26,485,000.00","18,363,000.00","8,122,000.00","3,426,000.00","4,696,000.00","-894,000.00","-836,000.00","2,966,000.00","598,000.00","2,363,000.00","2,363,000.00",1.93,1.91,"1,226,000.00","1,235,000.00","3,634,000.00","21,789,000.00","2,363,000.00","3,026,936.00","27,000.00","921,000.00","-894,000.00","3,887,000.00","4,820,000.00","18,363,000.00","933,000.00","2,363,000.00","-832,000.00","-832,000.00","5,652,000.00",0.00,"-168,064.00","90,513,000.00","41,643,000.00","48,870,000.00","67,911,000.00","48,678,000.00","-24,804,000.00","-1,131,000.00","68,748,000.00","-24,804,000.00","20,070,000.00","19,030,000.00","1,243,000.00","1,225,000.00","18,000.00","2,469,000.00","-1,091,000.00","-3,714,000.00","1,041,000.00","1,260,000.00","937,000.00","-916,000.00","238,000.00","-1,693,000.00","-280,000.00","1,553,000.00"
12/31/2021,"26,042,000.00","17,360,000.00","8,682,000.00","3,367,000.00","5,315,000.00","-2,032,000.00","-1,575,000.00","1,708,000.00","684,000.00","1,012,000.00","1,012,000.00",0.83,0.82,"1,224,000.00","1,236,000.00","3,460,000.00","20,727,000.00","1,012,000.00","1,957,000.00","15,000.00","2,047,000.00","-2,032,000.00","3,755,000.00","4,665,000.00","17,360,000.00","910,000.00","1,012,000.00","-1,575,000.00","-1,575,000.00","6,240,000.00",0.00,"-630,000.00","93,394,000.00","43,942,000.00","49,452,000.00","70,359,000.00","49,298,000.00","-25,540,000.00","-70,000.00","71,113,000.00","-25,540,000.00","21,815,000.00","18,370,000.00","1,235,000.00","1,224,000.00","11,000.00","5,364,000.00","4,038,000.00","-9,344,000.00","3,446,000.00","1,295,000.00","1,196,000.00","-905,000.00",--,"-7,126,000.00","-271,000.00","4,459,000.00"
12/31/2020,"26,185,000.00","17,008,000.00","9,177,000.00","3,327,000.00","5,850,000.00","-1,367,000.00","-3,453,000.00","1,030,000.00","669,000.00","356,000.00","356,000.00",0.29,0.29,"1,223,000.00","1,228,000.00","2,128,000.00","20,335,000.00","356,000.00","2,844,570.00","27,000.00","1,394,000.00","-1,367,000.00","2,424,000.00","3,393,000.00","17,008,000.00","969,000.00","356,000.00","-3,409,000.00","-3,409,000.00","6,802,000.00",0.00,"-920,430.00","99,830,000.00","49,587,000.00","50,243,000.00","78,173,000.00","50,103,000.00","-29,653,000.00","2,761,000.00","78,409,000.00","-29,653,000.00","28,306,000.00","24,889,000.00","1,227,625.47","1,222,625.47","5,000.00","4,929,000.00","-522,000.00","-3,331,000.00","3,418,000.00","1,027,000.00","1,286,000.00","-596,000.00","7,500,000.00","-8,813,000.00",--,"4,333,000.00"
12/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
