Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,35289400.0,27760700.0,7528700.0,1755800.0,5772900.0,91300.0,361800.0,6226000.0,1262300.0,4963700.0,4963700.0,9.46,9.43,524650.0,525950.0,29516500.0,4963700.0,4675253.7,56233.333333333336,91300.0,5772900.0,6719200.0,27337500.0,946300.0,4963700.0,361800.0,361800.0,6357400.0,0.0,73353.7,32967075.0,20209600.0,12757475.0,20887025.0,12757475.0,284575.0,12757475.0,15005525.0,24505275.0,12757475.0,11747800.0,7037675.0,521547.5,521537.5,40.0,4438700.0,-3396100.0,-278500.0,5910000.0,-1563700.0,3336200.0,-2063900.0,-4500.0,2875000.0
12/31/2023,35127400.0,27496900.0,7630500.0,1684100.0,5946400.0,-520400.0,292200.0,5718200.0,1117400.0,4600800.0,4600800.0,8.78,8.76,523900.0,525000.0,29181000.0,4600800.0,4365579.0,56233.333333333336,-520400.0,5946400.0,6870300.0,27061600.0,923900.0,4600800.0,292200.0,292200.0,6578100.0,0.0,56979.0,40823400.0,24944600.0,15878800.0,25044400.0,15878800.0,142600.0,15878800.0,19218900.0,30113300.0,15878800.0,14234500.0,7052800.0,523340.0,523300.0,40.0,4190000.0,-2871000.0,1102200.0,7181700.0,-1262500.0,3085000.0,-2233200.0,-3500.0,2927500.0
12/31/2022,28819700.0,23593200.0,5226500.0,1547900.0,3678600.0,109100.0,61000.0,3848700.0,837100.0,3011600.0,3011600.0,5.76,5.75,522600.0,523350.0,25141100.0,3011600.0,2963898.0,56233.333333333336,109100.0,3678600.0,4468800.0,23277900.0,790200.0,3011600.0,61000.0,61000.0,4407800.0,0.0,13298.0,33275500.0,20108400.0,13167100.0,21373200.0,13167100.0,209200.0,13167100.0,15319000.0,24638700.0,13167100.0,11471600.0,6780700.0,522000.0,522000.0,40.0,3027000.0,-2033000.0,304900.0,4690900.0,-1390500.0,3171700.0,-2265800.0,-2100.0,1636500.0
12/31/2021,23522300.0,19243300.0,4279000.0,1970800.0,2308200.0,72600.0,15500.0,2396300.0,530800.0,1865500.0,1865500.0,3.55,3.55,521700.0,522600.0,21214100.0,1865500.0,1853441.0,72600.0,72600.0,2308200.0,3277600.0,19309400.0,903300.0,1865500.0,15500.0,15500.0,3262100.0,0.0,3441.0,29509400.0,17915400.0,11594000.0,19000700.0,11594000.0,329100.0,11594000.0,13090900.0,22025800.0,11594000.0,10431800.0,7003500.0,520950.0,520950.0,40.0,2186700.0,-1362700.0,-882900.0,3428300.0,-1632800.0,2101100.0,-2336700.0,-1500.0,553900.0
12/31/2020,18728500.0,15264800.0,3463700.0,1892100.0,1571600.0,54100.0,35900.0,1661600.0,360400.0,1301200.0,1301200.0,2.49,2.49,520200.0,521100.0,17156900.0,1301200.0,1273090.3,54100.0,54100.0,1571600.0,2620600.0,15223800.0,1049000.0,1301200.0,35900.0,35900.0,2584700.0,0.0,7790.3,28260000.0,17870000.0,10390000.0,18129800.0,10390000.0,457400.0,10390000.0,12393300.0,21243300.0,10390000.0,10853300.0,7313700.0,519900.0,519900.0,40.0,2987200.0,-1875800.0,-1808500.0,3539600.0,-1638400.0,2150100.0,-1898500.0,-42100.0,1348800.0
12/31/2019,28297460.0,22671780.0,5625680.0,1770140.0,3855540.0,-38660.0,153280.0,3970160.0,821600.0,3148560.0,3148560.0,6.008,5.9959999999999996,522610.0,523600.0,24441920.0,3148560.0,3026252.4,42000.0,-38660.0,3855540.0,4791300.0,22442040.0,922540.0,3148560.0,153280.0,153280.0,4638020.0,0.0,30972.4,32967075.0,20209600.0,12757475.0,20887025.0,12757475.0,284575.0,12757475.0,15005525.0,24505275.0,12757475.0,11747800.0,7037675.0,521547.5,521537.5,40.0,3365920.0,-2307720.0,-312560.0,4950100.0,-1497580.0,2768820.0,-2159620.0,-10740.0,1868340.0
