Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Interest Paid Supplemental Data,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"3,006,846.00","875,981.00","2,130,865.00","1,329,850.00","801,015.00","-130,007.00","-332,187.00","338,821.00","139,731.00","139,731.00",0.81,0.81,"171,487.50","171,487.50","2,205,831.00","153,087.00","416,217.83","130,007.00","-130,007.00","468,828.00","1,601,718.00","975,742.00","1,033,129.00","153,087.00","-333,077.00","-333,077.00","1,934,795.00",0.00,"-69,946.17",,,,,,,,,,,,,,,"1,599,461.00","-2,534,997.00","542,058.00","566,812.00","99,431.00",--,"14,447,137.00","-13,205,980.00",--,"1,599,461.00"
12/31/2023,"2,885,699.00","859,180.00","2,026,519.00","1,292,827.00","733,692.00","-74,204.00","-378,494.00","280,994.00","92,444.00","92,444.00",0.54,0.54,"170,909.00","170,909.00","2,152,007.00","103,639.00","403,423.46","74,204.00","-74,204.00","355,198.00","1,448,671.00","952,511.00","1,000,142.00","103,639.00","-379,474.00","-379,474.00","1,828,145.00",0.00,"-79,689.54","36,771,402.00","14,148,409.00","22,622,993.00","29,686,865.00","18,471,175.00","382,883.00","18,471,175.00","-1,219,325.00","29,786,817.00","18,471,175.00","11,698,525.00","10,697,452.00","171,910.60","171,910.60","1,630,550.00","-2,500,619.00","674,156.00","660,771.00","46,583.00","103,846.00","11,535,162.00","-10,379,030.00",--,"1,630,550.00"
12/31/2022,"2,588,962.00","783,153.00","1,805,809.00","1,179,424.00","626,385.00","-94,203.00","138,519.00","670,701.00","513,268.00","513,268.00",3.18,3.18,"161,659.00","161,659.00","1,962,577.00","521,660.00","412,739.54","94,203.00","-94,203.00","764,904.00","1,767,050.00","857,499.00","927,800.00","521,660.00","137,874.00","137,874.00","1,629,176.00",0.00,"28,953.54","35,523,399.00","12,840,152.00","22,683,247.00","29,132,149.00","18,972,387.00","406,700.00","18,972,387.00","-699,019.00","29,132,149.00","18,972,387.00","10,566,462.00","9,334,569.00","170,748.40","170,748.40","1,294,321.00","-5,080,458.00","4,229,772.00","857,975.00","63,193.00","2,346,444.00","17,665,533.00","-16,291,738.00",--,"1,294,321.00"
12/31/2021,"2,114,150.00","623,555.00","1,490,595.00","972,522.00","518,073.00","-142,165.00","278,374.00","654,282.00","563,399.00","563,399.00",3.83,3.82,"146,921.00","147,460.00","1,596,077.00","571,247.00","376,980.13","142,165.00","-142,165.00","796,447.00","1,617,508.00","678,335.00","766,281.00","571,247.00","266,119.00","266,119.00","1,351,389.00",0.00,"71,852.13","30,219,373.00","11,186,123.00","19,033,250.00","24,711,418.00","16,189,542.00","434,745.00","16,189,542.00","-1,025,810.00","24,981,408.00","16,189,542.00","9,226,611.00","8,430,518.00","158,043.88","158,043.88","1,010,197.00","-7,107,324.00","5,916,361.00","415,227.00","139,471.00","3,529,097.00","36,226,021.00","-34,970,279.00",--,"1,010,197.00"
12/31/2020,"1,885,637.00","530,224.00","1,355,413.00","831,445.00","523,968.00","-171,609.00","474,812.00","827,171.00","760,791.00","760,791.00",6.03,6.01,"126,106.00","126,490.00","1,361,669.00","770,959.00","430,294.28","171,609.00","-171,609.00","998,780.00","1,696,884.00","587,468.00","640,860.00","770,959.00","466,664.00","466,664.00","1,230,220.00",0.00,"125,999.28","22,827,878.00","9,384,100.00","13,443,778.00","19,189,007.00","11,725,712.00","345,750.00","11,725,712.00","-418,186.00","19,288,998.00","11,725,712.00","7,909,036.00","6,994,754.00","136,690.33","136,690.33","882,510.00","-3,278,161.00","2,750,356.00","597,705.00","161,351.00","2,315,862.00","27,937,051.00","-27,140,369.00",--,"882,510.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"-9,240.00",--
