Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Interest Income,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,13476000.0,7700000.0,5776000.0,3013000.0,2763000.0,-1080000.0,105000.0,1788000.0,-19000.0,1655000.0,2972000.0,2972000.0,4.7,4.68,631900.5,634549.0,10713000.0,162000.0,1242000.0,-1080000.0,3017000.0,2879540.0,3030000.0,5366000.0,7700000.0,2336000.0,3017000.0,174000.0,174000.0,5192000.0,0.0,36540.0,76105750.0,47290000.0,28815750.0,50095000.0,1473500.0,24832500.0,24395500.0,-4148750.0,52044000.0,22922000.0,27211500.0,26680250.0,617593.0549999999,617593.0549999999,14375.0,5001000.0,-8463000.0,2580000.0,360000.0,310000.0,1134000.0,-7945000.0,163000.0,5867000.0,-4528000.0,-41000.0,-2944000.0
12/31/2023,16720000.0,10101000.0,6619000.0,2904000.0,3715000.0,-1141000.0,53000.0,2627000.0,490000.0,1481000.0,3030000.0,3030000.0,4.81,4.79,630296.0,632733.0,13005000.0,168000.0,1309000.0,-1141000.0,3075000.0,2932641.8,3936000.0,6163000.0,10101000.0,2227000.0,3075000.0,175000.0,175000.0,5988000.0,0.0,32641.8,87181000.0,53527000.0,33654000.0,56454000.0,909000.0,27786000.0,26775000.0,-4620000.0,58862000.0,25866000.0,31076000.0,30840000.0,631431.73,631431.73,14375.0,6218000.0,-8716000.0,2419000.0,389000.0,197000.0,1172000.0,-8397000.0,145000.0,7669000.0,-6294000.0,-32000.0,-2179000.0
12/31/2022,14439000.0,9228000.0,5211000.0,2654000.0,2557000.0,-953000.0,-261000.0,1343000.0,556000.0,1498000.0,2094000.0,2094000.0,3.33,3.31,630318.0,632756.0,11882000.0,101000.0,1054000.0,-953000.0,2139000.0,2274090.0,2397000.0,4416000.0,9228000.0,2019000.0,2139000.0,-171000.0,-171000.0,4587000.0,0.0,-35910.0,78574000.0,49318000.0,29256000.0,51683000.0,909000.0,26226000.0,25189000.0,-3987000.0,55145000.0,24280000.0,28919000.0,28549000.0,628000.0,628000.0,14375.0,1142000.0,-5039000.0,3779000.0,462000.0,284000.0,1014000.0,-5357000.0,4000.0,9984000.0,-4510000.0,-478000.0,-4215000.0
12/31/2021,12857000.0,7559000.0,5298000.0,2451000.0,2847000.0,-1123000.0,-1505000.0,219000.0,99000.0,1343000.0,1254000.0,1254000.0,2.02,2.0,623510.0,626072.0,10010000.0,75000.0,1198000.0,-1123000.0,1318000.0,2354600.0,1417000.0,3272000.0,7559000.0,1855000.0,1318000.0,-1420000.0,-1420000.0,4692000.0,0.0,-383400.0,72045000.0,44626000.0,27419000.0,47069000.0,909000.0,25092000.0,24029000.0,-5660000.0,49737000.0,23120000.0,24645000.0,24086000.0,634000.0,634000.0,14375.0,3842000.0,-5508000.0,1260000.0,581000.0,230000.0,1163000.0,-5015000.0,5000.0,3773000.0,-5489000.0,-339000.0,-1173000.0
12/31/2020,11370000.0,6329000.0,5041000.0,2209000.0,2832000.0,-971000.0,-372000.0,1489000.0,249000.0,1015000.0,3764000.0,3764000.0,6.46,6.44,582154.0,584504.0,8538000.0,110000.0,1081000.0,-971000.0,3933000.0,2277036.27,2570000.0,4236000.0,6329000.0,1666000.0,2083000.0,-233000.0,-233000.0,4469000.0,0.0,-38963.73,66623000.0,41689000.0,24934000.0,45174000.0,3167000.0,20226000.0,21589000.0,-2328000.0,44432000.0,18422000.0,24206000.0,23246000.0,576940.49,576940.49,5750.0,2591000.0,553000.0,-2373000.0,985000.0,1385000.0,1046000.0,-4676000.0,902000.0,6051000.0,-5864000.0,-566000.0,-2085000.0
12/31/2019,13772400.0,8183400.0,5589000.0,2646200.0,2942800.0,-1053600.0,-396000.0,1493200.0,275000.0,1398400.0,2622800.0,2622800.0,4.264,4.244,619635.7,622122.8,10829600.0,123200.0,1176800.0,-1053600.0,2696400.0,2543581.614,2670000.0,4690600.0,8183400.0,2020600.0,2326400.0,-295000.0,-295000.0,4985600.0,0.0,-77818.386,76105750.0,47290000.0,28815750.0,50095000.0,1473500.0,24832500.0,24395500.0,-4148750.0,52044000.0,22922000.0,27211500.0,26680250.0,617593.0549999999,617593.0549999999,23000.0,3758800.0,-5434600.0,1533000.0,555400.0,481200.0,1105800.0,-6278000.0,243800.0,6668800.0,-5337000.0,-291200.0,-2519200.0
