Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"6,204,400.00","1,465,500.00","4,738,900.00","3,039,500.00","1,699,400.00","63,900.00","-27,900.00","1,735,400.00","199,300.00","1,473,000.00","1,473,000.00",2.43,2.43,"604,000.00","606,200.00","1,653,100.00","4,505,000.00","1,473,000.00","1,572,008.20","81,500.00",--,"63,900.00","1,586,500.00","1,738,200.00","1,465,500.00","151,700.00","1,539,700.00","-36,500.00","-36,500.00","1,774,700.00",0.00,"-4,191.80",,,,,,,,,,,,,,,"866,100.00","291,000.00","-591,400.00","1,613,200.00","805,500.00",--,"-314,300.00",--,--,--,"-781,100.00","551,800.00"
12/31/2023,"6,004,800.00","1,379,800.00","4,625,000.00","2,896,400.00","1,728,600.00","49,600.00","-180,100.00","1,598,100.00","198,700.00","1,402,400.00","1,402,400.00",2.31,2.30,"606,700.00","609,400.00","1,534,100.00","4,276,200.00","1,402,400.00","1,564,197.20","67,200.00","17,600.00","49,600.00","1,615,700.00","1,760,600.00","1,379,800.00","144,900.00","1,402,400.00","-184,700.00","-184,700.00","1,945,300.00",0.00,"-22,902.80","9,363,200.00","2,643,800.00","6,719,400.00","7,247,000.00","6,650,000.00","97,900.00","4,968,100.00","2,840,300.00","7,247,000.00","4,968,100.00","694,900.00","650,500.00","601,100.00","49,400.00","895,800.00","173,800.00","-711,000.00","1,148,000.00","470,100.00","19,900.00","-266,300.00",--,--,-300.00,"-879,600.00","629,500.00"
12/31/2022,"5,382,400.00","1,080,400.00","4,302,000.00","2,512,800.00","1,789,200.00","16,300.00","-38,100.00","1,767,400.00","245,500.00","1,521,900.00","1,521,900.00",2.46,2.44,"619,000.00","624,200.00","1,748,500.00","3,593,200.00","1,521,900.00","1,555,651.20","35,500.00","19,200.00","16,300.00","1,786,600.00","1,926,200.00","1,080,400.00","139,600.00","1,521,900.00","-39,200.00","-39,200.00","1,965,400.00",0.00,"-5,448.80","8,292,500.00","2,485,800.00","5,806,700.00","6,403,000.00","5,806,700.00","95,000.00","4,357,200.00","2,073,400.00","6,403,000.00","4,357,200.00","691,300.00","646,300.00","608,300.00","38,000.00","1,218,200.00","252,300.00","-1,584,500.00","772,600.00","504,100.00","19,300.00","-264,800.00",--,--,-200.00,"-1,727,100.00","953,400.00"
12/31/2021,"5,232,500.00","1,248,900.00","3,983,600.00","2,396,800.00","1,586,800.00","-1,000.00","116,200.00","1,702,000.00","198,900.00","1,503,100.00","1,503,100.00",2.41,2.38,"623,300.00","631,200.00","1,690,300.00","3,645,700.00","1,503,100.00","1,402,157.39","17,400.00","18,400.00","-1,000.00","1,720,400.00","1,855,200.00","1,248,900.00","134,800.00","1,503,100.00","114,300.00","114,300.00","1,740,900.00",0.00,"13,357.39","8,502,600.00","2,666,700.00","5,835,900.00","6,431,600.00","5,835,900.00","94,600.00","4,344,400.00","2,148,400.00","6,431,600.00","4,344,400.00","690,300.00","642,000.00","624,100.00","17,900.00","1,732,100.00","-1,722,500.00","-356,300.00","867,400.00","182,500.00","20,200.00","-329,800.00",--,"5,200.00","-7,000.00","-512,800.00","1,402,300.00"
12/31/2020,"4,386,300.00","1,080,600.00","3,305,700.00","1,989,100.00","1,316,600.00","7,600.00","-407,500.00","916,700.00","93,300.00","823,400.00","823,400.00",1.32,1.30,"622,600.00","631,900.00","897,600.00","3,069,700.00","823,400.00","1,188,167.91","23,400.00","15,800.00","7,600.00","932,500.00","1,039,700.00","1,080,600.00","107,200.00","823,400.00","-406,100.00","-406,100.00","1,445,800.00",0.00,"-41,332.09","7,237,100.00","2,662,800.00","4,574,300.00","5,169,300.00","4,574,300.00","99,900.00","3,069,700.00","2,197,100.00","5,169,300.00","3,069,700.00","694,900.00","636,400.00","624,300.00","12,100.00","1,054,300.00","-531,100.00","-486,900.00","1,200,200.00","197,900.00","19,900.00","-407,300.00",--,"16,200.00","-17,000.00","-625,400.00","647,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,--,--,--,--,--,--,--,"160,500.00",--,--,--,--
