Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"7,035,700.00","3,975,600.00","3,060,100.00","1,689,400.00","1,370,700.00","-164,600.00","-119,200.00","1,086,900.00","231,900.00","-22,900.00","825,300.00","825,300.00",2.04,2.02,"404,150.00","408,450.00","1,216,600.00","5,665,000.00","825,300.00","958,792.96","164,600.00","-164,600.00","1,251,500.00","1,718,900.00","3,876,400.00","467,400.00","825,300.00","-169,700.00","-169,700.00","1,888,600.00",0.00,"-36,207.04",,,,,,,,,,,,,,,,"1,445,200.00","-3,239,200.00","1,690,200.00","1,074,300.00","330,600.00","83,900.00","-142,300.00","4,787,300.00","-2,738,100.00","-265,700.00","1,302,900.00"
12/31/2023,"6,876,100.00","3,993,900.00","2,882,200.00","1,640,700.00","1,241,500.00","-156,700.00","-53,700.00","1,031,100.00","240,000.00","-6,000.00","778,700.00","778,700.00",1.92,1.90,"404,800.00","409,000.00","1,164,300.00","5,634,600.00","778,700.00","848,266.90","156,700.00","-156,700.00","1,187,800.00","1,646,900.00","3,902,300.00","459,100.00","778,700.00","-90,700.00","-90,700.00","1,737,600.00",0.00,"-21,133.10","15,563,500.00","5,716,800.00","9,846,700.00","12,476,800.00","9,783,800.00","41,600.00","-437,000.00","2,223,100.00","12,507,400.00","-437,000.00","2,765,200.00","1,128,100.00","428,589.06","403,347.39","25,241.67","1,377,400.00","-1,060,500.00","-337,500.00","1,595,500.00","302,000.00","100,500.00","-105,400.00","1,490,400.00","-1,518,000.00","-263,000.00","1,272,000.00"
12/31/2022,"5,916,300.00","3,590,700.00","2,325,600.00","1,446,200.00","879,400.00","-103,200.00","-34,000.00","742,200.00","149,600.00",700.00,"604,700.00","604,700.00",1.49,1.47,"405,300.00","410,200.00","817,300.00","5,036,900.00","604,700.00","639,933.60","103,200.00","-103,200.00","845,400.00","1,278,200.00","3,505,500.00","432,800.00","589,500.00","-63,200.00","-63,200.00","1,341,400.00",0.00,"-12,766.40","14,765,900.00","5,508,700.00","9,257,200.00","11,911,900.00","9,195,800.00","39,600.00","-447,000.00","2,293,300.00","11,948,400.00","-447,000.00","2,792,200.00","1,139,600.00","426,327.81","405,117.71","21,210.10","860,300.00","-332,900.00","-954,000.00","1,613,000.00","181,500.00","95,200.00","-94,600.00",--,"-655,600.00","-261,100.00","765,700.00"
12/31/2021,"5,152,400.00","3,163,900.00","1,988,500.00","1,366,100.00","622,400.00","-87,700.00","-21,700.00","513,000.00","-21,800.00","-11,400.00","562,500.00","562,500.00",1.36,1.34,"414,800.00","421,200.00","565,700.00","4,530,000.00","562,500.00","568,861.00","87,700.00","-87,700.00","600,700.00","1,022,800.00","3,074,700.00","422,100.00","520,900.00","-65,700.00","-65,700.00","1,088,500.00",0.00,"-17,739.00","15,154,500.00","6,083,300.00","9,071,200.00","12,403,300.00","9,001,500.00","34,900.00","-892,800.00","2,647,200.00","12,442,100.00","-892,800.00","3,475,500.00","1,331,000.00","423,785.57","407,785.21","16,000.36","615,500.00","914,300.00","-1,157,000.00","2,109,600.00","427,900.00","79,800.00","-64,100.00",--,"-435,700.00","-736,800.00","551,400.00"
12/31/2020,"3,973,200.00","2,568,300.00","1,404,900.00","1,130,500.00","274,400.00","-111,100.00","-208,700.00","-45,400.00","11,400.00",--,"-33,300.00","-33,300.00",-0.09,-0.09,"382,800.00","382,800.00","59,600.00","3,698,800.00","-33,300.00","100,564.00","111,100.00","-111,100.00","65,700.00","478,200.00","2,490,900.00","412,500.00","-57,700.00","-216,800.00","-216,800.00","695,000.00",0.00,"-58,536.00","16,058,600.00","6,869,100.00","9,189,500.00","12,978,800.00","9,119,700.00","47,100.00","-260,100.00","2,363,500.00","13,019,200.00","-260,100.00","3,946,600.00","2,148,600.00","420,123.98","418,627.81","1,496.17","914,300.00","-37,900.00","328,700.00","1,750,900.00","106,300.00","98,700.00","-42,000.00","1,980,100.00","-1,619,100.00","-2,100.00","872,300.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
