Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"15,155,000.00","9,836,000.00","5,319,000.00","3,221,000.00","2,098,000.00","-642,000.00","42,000.00","1,498,000.00","73,000.00","-2,000.00","1,423,000.00","1,423,000.00",7.80,7.70,"182,250.00","184,650.00","2,008,000.00","13,057,000.00","1,423,000.00","1,514,321.76","49,000.00","691,000.00","-642,000.00","2,189,000.00","3,335,000.00","9,836,000.00","1,146,000.00","1,423,000.00","-96,000.00","-96,000.00","3,431,000.00",0.00,"-4,678.24",,,,,,,,,,,,,,,,"2,440,000.00","-1,320,000.00","-930,000.00","1,572,000.00",--,--,"-613,000.00","3,950,000.00","-4,392,000.00","-373,000.00","1,827,000.00"
12/31/2023,"14,984,000.00","9,745,000.00","5,239,000.00","3,178,000.00","2,061,000.00","-636,000.00","34,000.00","1,459,000.00","101,000.00",--,"1,358,000.00","1,358,000.00",7.39,7.29,"183,800.00","186,300.00","1,977,000.00","12,923,000.00","1,358,000.00","1,441,790.00","36,000.00","672,000.00","-636,000.00","2,131,000.00","3,256,000.00","9,745,000.00","1,125,000.00","1,358,000.00","-90,000.00","-90,000.00","3,346,000.00",0.00,"-6,210.00","26,681,000.00","20,569,000.00","6,112,000.00","19,067,000.00","6,112,000.00","223,000.00","-13,294,000.00","-895,000.00","19,785,000.00","-13,294,000.00","13,896,000.00","12,297,000.00","257,200.00","181,500.00","75,700.00","2,149,000.00","-1,603,000.00","-382,000.00","1,376,000.00","340,000.00","556,000.00","-649,000.00","6,384,000.00","-5,582,000.00","-992,000.00","1,500,000.00"
12/31/2022,"14,410,000.00","9,382,000.00","5,028,000.00","3,201,000.00","1,827,000.00","-403,000.00","-61,000.00","1,363,000.00","260,000.00","-12,000.00","1,091,000.00","1,091,000.00",5.82,5.72,"187,600.00","190,600.00","1,799,000.00","12,583,000.00","1,091,000.00","1,113,652.00","13,000.00","416,000.00","-403,000.00","1,779,000.00","2,909,000.00","9,382,000.00","1,130,000.00","1,091,000.00","-28,000.00","-28,000.00","2,937,000.00",0.00,"-5,348.00","25,337,000.00","19,572,000.00","5,765,000.00","18,360,000.00","5,765,000.00","264,000.00","-12,976,000.00","-597,000.00","18,512,000.00","-12,976,000.00","13,011,000.00","11,531,000.00","256,400.00","185,700.00","70,700.00","2,260,000.00","-2,006,000.00","-329,000.00","1,216,000.00","255,000.00","379,000.00","-674,000.00","3,600,000.00","-2,659,000.00","-1,168,000.00","1,586,000.00"
12/31/2021,"13,874,000.00","9,233,000.00","4,641,000.00","3,228,000.00","1,413,000.00","-369,000.00","84,000.00","1,128,000.00","163,000.00","6,000.00","966,000.00","966,000.00",5.05,4.95,"191,400.00","195,000.00","1,393,000.00","12,461,000.00","966,000.00","1,005,330.00","6,000.00","375,000.00","-369,000.00","1,503,000.00","2,767,000.00","9,233,000.00","1,264,000.00","966,000.00","-46,000.00","-46,000.00","2,813,000.00",0.00,"-6,670.00","24,689,000.00","18,647,000.00","6,042,000.00","18,076,000.00","6,042,000.00","313,000.00","-12,202,000.00","-478,000.00","18,167,000.00","-12,202,000.00","12,438,000.00","10,759,000.00","255,800.00","190,600.00","65,200.00","2,942,000.00","-2,103,000.00","-1,235,000.00","1,366,000.00","222,000.00","343,000.00","-640,000.00","2,761,000.00","-2,691,000.00","-406,000.00","2,302,000.00"
12/31/2020,"11,359,000.00","7,500,000.00","3,859,000.00","3,076,000.00","783,000.00","-410,000.00",--,"373,000.00","72,000.00","7,000.00","279,000.00","279,000.00",1.46,1.43,"191,300.00","195,000.00","731,000.00","10,576,000.00","279,000.00","331,455.00","6,000.00","416,000.00","-410,000.00","789,000.00","2,076,000.00","7,500,000.00","1,287,000.00","279,000.00","-65,000.00","-65,000.00","2,141,000.00",0.00,"-12,545.00","24,564,000.00","18,284,000.00","6,280,000.00","18,385,000.00","6,001,000.00","371,000.00","-11,858,000.00","532,000.00","18,534,000.00","-11,858,000.00","12,904,000.00","10,719,000.00","254,700.00","191,200.00","63,500.00","1,959,000.00","-796,000.00","-217,000.00","1,814,000.00",--,--,"-616,000.00","2,841,000.00","-2,499,000.00","-447,000.00","1,343,000.00"
12/31/2019,--,--,--,--,--,--,"-62,000.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
