Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,3750153.0,1525175.0,2224978.0,1168606.0,1056372.0,-78115.0,-30818.0,947439.0,161691.0,785748.0,785748.0,36.52,36.35,21520.46,21623.83,2693781.0,785748.0,815133.96,78115.0,-78115.0,1025554.0,1147959.0,1475568.0,122405.0,785748.0,-35433.0,-35433.0,1183392.0,0.0,-6047.04,3247324.25,3165086.5,82237.75,1747758.25,82237.75,-823984.25,153969.0,1860189.25,-823984.25,1777951.5,1688303.75,44786.01,22495.03,22290.98,993294.0,-97163.0,-907909.0,71796.0,144906.0,51760.5,-94577.0,2068454.0,-2155484.0,-824999.0,898717.0
12/31/2023,3788309.0,1547023.0,2241286.0,1161603.0,1079683.0,-77366.0,-28589.0,973728.0,184950.0,788778.0,788778.0,36.1,35.9,21848.12,21971.53,2708626.0,788778.0,815293.35,77366.0,-77366.0,1051094.0,1172258.0,1498072.0,121164.0,788778.0,-32735.0,-32735.0,1204993.0,0.0,-6219.65,3355555.0,3505493.0,-149938.0,1738682.0,-149938.0,-1105475.0,49121.0,1930901.0,-1105475.0,2080839.0,2011032.0,44786.01,21526.17,23259.84,965874.0,-131694.0,-859585.0,69807.0,178255.0,75618.0,-105323.0,2126797.0,-2097023.0,-900000.0,860551.0
12/31/2022,3919709.0,1611667.0,2308042.0,1181822.0,1126220.0,-55392.0,-236.0,1070592.0,198090.0,872502.0,872502.0,38.79,38.41,22491.79,22718.29,2793489.0,872502.0,880290.14,55392.0,-55392.0,1125984.0,1239007.0,1564883.0,113023.0,872502.0,-9556.0,-9556.0,1248563.0,0.0,-1767.86,3492395.0,3467602.0,24793.0,1933273.0,24793.0,-941431.0,227358.0,2039327.0,-941431.0,2014534.0,1918568.0,44786.01,22139.01,22647.0,859067.0,-139395.0,-716039.0,95966.0,114038.0,52314.0,-121241.0,2307256.0,-1947398.0,-1099998.0,737826.0
12/31/2021,3717930.0,1546377.0,2171553.0,1176817.0,994736.0,-43242.0,-2133.0,949361.0,180376.0,768985.0,768985.0,33.25,32.78,23129.86,23457.63,2723194.0,768985.0,773228.59,43242.0,-43242.0,992603.0,1100660.0,1501395.0,108057.0,768985.0,-5239.0,-5239.0,1105899.0,0.0,-995.41,3326798.0,3155377.0,171421.0,1752229.0,171421.0,-784651.0,122820.0,1853363.0,-784651.0,1681942.0,1583378.0,44786.01,22843.1,21942.91,908825.0,-314108.0,-590549.0,98564.0,152657.0,41338.0,-107580.0,2427519.0,-2035546.0,-999998.0,801245.0
12/31/2020,3085177.0,1284146.0,1801031.0,1016988.0,784043.0,-38616.0,3316.0,748743.0,146004.0,602739.0,602739.0,25.24,24.91,23882.65,24199.23,2301134.0,602739.0,611204.38,38616.0,-38616.0,787359.0,886068.0,1242102.0,98709.0,602739.0,-10516.0,-10516.0,896584.0,0.0,-2050.62,2814549.0,2531874.0,282675.0,1566849.0,282675.0,-464380.0,216577.0,1617166.0,-464380.0,1334491.0,1240237.0,44786.01,23471.84,21314.17,724699.0,-100360.0,-743908.0,94254.0,134674.0,37772.0,-92494.0,1489040.0,-1483869.0,-774998.0,632205.0
12/31/2019,3652255.6,1502877.6,2149378.0,1141167.2,1008210.8,-58546.2,-11692.0,937972.6,174222.2,763750.4,763750.4,33.980000000000004,33.67,22574.576,22794.102,2644044.8,763750.4,779030.084,58546.2,-58546.2,996518.8,1109190.4,1456404.0,112671.6,763750.4,-18695.8,-18695.8,1127886.2,0.0,-3416.1159999999995,3247324.25,3165086.5,82237.75,1747758.25,82237.75,-823984.25,153969.0,1860189.25,-823984.25,1777951.5,1688303.75,44786.01,22495.03,22290.98,890351.8,-156544.0,-763598.0,86077.4,144906.0,51760.5,-104243.0,2083813.2,-1943864.0,-919998.6,786108.8
