Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow
TTM,19523800.0,7679600.0,11844200.0,7802200.0,4042000.0,-1832400.0,246500.0,2456100.0,-119600.0,68600.0,2633300.0,2633300.0,5.03,5.0,525501.48,526679.38,3833200.0,15481800.0,1832400.0,-1832400.0,2633300.0,2639146.0,4288500.0,7567400.0,7583000.0,3278900.0,2633300.0,-7400.0,-7400.0,7574800.0,0.0,-1554.0,89628300.0,66412550.0,23215750.0,56094650.0,23031050.0,692825.0,22978550.0,-5546250.0,61407775.0,22978550.0,39069550.0,37967825.0,523423.25250000006,510216.72,13206.532500000001,6034800.0,-5250900.0,-886700.0,247900.0,-6771000.0,1397800.0,6016400.0,-6422000.0,-736200.0
12/31/2023,18982300.0,7854600.0,11127700.0,7393200.0,3734500.0,-1806900.0,281100.0,2208700.0,54600.0,58500.0,2208100.0,2208100.0,4.26,4.24,518903.68,520206.26,3556200.0,15247800.0,1806900.0,-1806900.0,2208100.0,2211415.95,4015600.0,7202600.0,7758000.0,3187000.0,2208100.0,-3400.0,-3400.0,7206000.0,0.0,-84.05,96684000.0,71398100.0,25285900.0,62899400.0,25246700.0,635100.0,25194200.0,-5501500.0,68220100.0,25194200.0,43608500.0,42643300.0,527369.16,526184.59,1184.57,5012200.0,-6266700.0,1077000.0,379000.0,-7506500.0,999600.0,6532700.0,-4616300.0,-2494300.0
12/31/2022,19639500.0,8347300.0,11292200.0,7513700.0,3778500.0,-1396100.0,38000.0,2420400.0,5400.0,-109400.0,2307200.0,2307200.0,4.51,4.49,511841.95,513484.61,3482700.0,15861000.0,1396100.0,-1396100.0,2307200.0,2468938.35,3816500.0,7102200.0,8264400.0,3285700.0,2307200.0,-162100.0,-162100.0,7264300.0,0.0,-361.65,93403300.0,69280900.0,24122400.0,58208000.0,23893400.0,666100.0,23840900.0,-6490800.0,64806600.0,23840900.0,41579300.0,40403800.0,525099.32,513866.08,11233.24,5288000.0,-7751800.0,2568900.0,556500.0,-6772400.0,826500.0,7134000.0,-3641000.0,-1484400.0
12/31/2021,16792000.0,6588100.0,10203900.0,6781000.0,3422900.0,-1199100.0,288100.0,2511900.0,115500.0,91700.0,2488100.0,2488100.0,4.97,4.96,500522.18,501784.03,3411300.0,13369100.0,1199100.0,-1199100.0,2488100.0,2365890.18,3711000.0,6757400.0,6367400.0,3046400.0,2488100.0,128100.0,128100.0,6629300.0,0.0,5890.18,87668700.0,64988500.0,22680200.0,53733900.0,22433200.0,590400.0,22380700.0,-4617500.0,58501700.0,22380700.0,36658900.0,35665100.0,524416.18,504212.02,20204.16,3839900.0,-6433900.0,2607100.0,451400.0,-5764100.0,600500.0,7879600.0,-4311900.0,-1924200.0
12/31/2020,14918500.0,5380100.0,9538400.0,6550700.0,2987700.0,-1165700.0,324100.0,2146100.0,40500.0,91100.0,2200100.0,2200100.0,4.44,4.42,495718.22,497226.87,2987700.0,11930800.0,1165700.0,-1165700.0,2200100.0,2054794.86,3311800.0,6218600.0,5156100.0,2906800.0,2200100.0,148100.0,148100.0,6070500.0,0.0,2794.86,80757200.0,59982700.0,20774500.0,49537300.0,20550900.0,879700.0,20498400.0,-5575200.0,54102700.0,20498400.0,34431500.0,33159100.0,516808.35,496604.19,20204.16,3832900.0,-6233900.0,2406700.0,438300.0,-6316000.0,155000.0,7022600.0,-3157000.0,-2483100.0
12/31/2019,17971220.0,7169940.0,10801280.0,7208160.0,3593120.0,-1480040.0,235560.0,2348640.0,19280.0,40100.0,2367360.0,2367360.0,4.642,4.622,510497.502,511876.23,3454220.0,14378100.0,1480040.0,-1480040.0,2367360.0,2348037.068,3828680.0,6969640.0,7025780.0,3140960.0,2367360.0,20660.0,20660.0,6948980.0,0.0,1337.068,89628300.0,66412550.0,23215750.0,56094650.0,23031050.0,692825.0,22978550.0,-5546250.0,61407775.0,22978550.0,39069550.0,37967825.0,523423.25250000006,510216.72,13206.532500000001,4801560.0,-6387440.0,1554600.0,414620.0,-6626000.0,795880.0,6917060.0,-4429640.0,-1824440.0
