Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,4437319.0,1928255.0,2509064.0,1519479.0,989585.0,55583.0,1562.0,1046730.0,235094.0,811636.0,811636.0,31.47,31.27,25699.25,25863.0,989585.0,3447734.0,811636.0,811636.0,58173.0,2590.0,55583.0,1049320.0,1111194.0,1928255.0,61874.0,811636.0,1111194.0,0.0,2547934.25,833871.5,1714062.75,1714062.75,1714062.75,239619.75,1663529.5,1382309.5,1714062.75,1663529.5,239619.75,26665.25,26665.25,1020572.0,-81120.0,-543917.0,1442424.0,229344.0,1724.0,-81154.0,2026.75,39218.0,-55089.5,-551200.0,939418.0
3/31/2024,4287763.0,1902275.0,2385488.0,1457974.0,927514.0,49644.0,1783.0,978941.0,219378.0,759563.0,759563.0,29.36,29.16,25871.0,26048.0,927514.0,3360249.0,759563.0,759563.0,52208.0,2564.0,49644.0,981505.0,1038671.0,1902275.0,57166.0,759563.0,1038671.0,0.0,3135579.0,1028111.0,2107468.0,2107468.0,2107468.0,266879.0,2066395.0,1723490.0,2107468.0,2066395.0,266879.0,25593.0,25593.0,1033184.0,-89331.0,-417675.0,1502051.0,234062.0,1783.0,-89365.0,2444.0,39218.0,-55089.5,-424905.0,943819.0
3/31/2023,3627286.0,1801916.0,1825370.0,1172619.0,652751.0,12121.0,1210.0,666082.0,149260.0,516822.0,516822.0,19.5,19.37,26504.0,26686.0,652751.0,2974535.0,516822.0,516822.0,15563.0,3442.0,12121.0,669524.0,716869.0,1801916.0,47345.0,516822.0,716869.0,0.0,2556203.0,790470.0,1765733.0,1765733.0,1765733.0,246488.0,1714286.0,1412873.0,1765733.0,1714286.0,246488.0,26176.0,26176.0,537422.0,-81013.0,-309031.0,981795.0,135986.0,1880.0,-81025.0,2170.0,39218.0,-55089.5,-314060.0,456397.0
3/31/2022,3150339.0,1542788.0,1607551.0,1042844.0,564707.0,-182.0,113.0,564638.0,112689.0,451949.0,451949.0,16.43,16.26,27508.0,27789.0,564707.0,2585632.0,451949.0,451949.0,1901.0,2083.0,-182.0,566721.0,609599.0,1542788.0,42878.0,451949.0,609599.0,0.0,2332250.0,793425.0,1538825.0,1538825.0,1538825.0,222070.0,1485147.0,1210444.0,1538825.0,1485147.0,222070.0,26982.0,26982.0,172353.0,-51009.0,-367482.0,843527.0,192090.0,1842.0,-51017.0,1991.0,39218.0,-55089.5,-370677.0,121336.0
3/31/2021,2545641.0,1171551.0,1374090.0,869885.0,504205.0,-3391.0,700.0,501514.0,118939.0,382575.0,382575.0,13.64,13.47,28055.0,28406.0,504205.0,2041436.0,382575.0,382575.0,2637.0,6028.0,-3391.0,507542.0,548072.0,1171551.0,40530.0,382575.0,548072.0,0.0,2167705.0,723480.0,1444225.0,1444225.0,1444225.0,223042.0,1388290.0,1182431.0,1444225.0,1388290.0,223042.0,27910.0,27910.0,596217.0,-32169.0,-129581.0,1089361.0,104068.0,2931.0,-32218.0,1502.0,9100.0,-40379.0,-106579.0,563999.0
3/31/2020,3609669.6,1669357.0,1940312.6,1212560.2,727752.4,22755.0,1073.6,751581.0,167072.0,584509.0,584509.0,22.08,21.906,26727.45,26958.4,727752.4,2881917.2,584509.0,584509.0,26096.4,3341.4,22755.0,754922.4,804881.0,1669357.0,49958.6,584509.0,804881.0,0.0,2547934.25,833871.5,1714062.75,1714062.75,1714062.75,239619.75,1663529.5,1382309.5,1714062.75,1663529.5,239619.75,26665.25,26665.25,671949.6,-66928.4,-353537.2,1171831.6,179110.0,2032.0,-66955.8,2026.75,69336.0,-69800.0,-353484.2,604993.8
