Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,7108237.0,3995717.0,3112520.0,1827128.0,1285392.0,-562638.0,-220955.0,501799.0,-474208.0,868637.0,891237.0,7.76,7.76,111602.5,111894.5,1052919.0,5822845.0,868637.0,1055988.66,166521.0,730526.0,-562638.0,1232325.0,1932159.0,3995717.0,699834.0,868637.0,-237154.0,-237154.0,2169313.0,0.0,-49802.34,13452924.0,14531631.75,-1078707.75,11345833.25,-392158.75,871304.25,-682342.25,1944906.75,11821719.25,-682342.25,13085182.25,9080331.0,130046.94,112177.4925,17869.445,1384994.0,-1069898.0,-1596190.0,2466703.0,4695.5,684820.0,-474088.0,841896.0,412000.0,-1568459.0,-281159.0,910906.0
12/31/2023,6531897.0,3708563.0,2823334.0,1748328.0,1075006.0,-588407.0,-201216.0,285383.0,-496834.0,729994.0,729994.0,6.49,6.32,112523.0,112855.0,840171.0,5456891.0,729994.0,879886.23,175785.0,751509.0,-588407.0,1036892.0,1724162.0,3708563.0,687270.0,729994.0,-189737.0,-189737.0,1913899.0,0.0,-39844.77,13996223.0,15097157.0,-1100934.0,10777362.0,-251382.0,1631749.0,-581090.0,2041167.0,11486955.0,-581090.0,13370086.0,8859151.0,132998.92,111737.25,21261.67,1247879.0,-1342533.0,-719206.0,2969412.0,10310.0,688350.0,-507176.0,841896.0,1200000.0,-1552391.0,-212455.0,740703.0
12/31/2022,3756825.0,2390222.0,1366603.0,1515473.0,-148870.0,-621127.0,69961.0,-700036.0,9332.0,-423856.0,-423856.0,-3.73,-3.73,113623.0,113623.0,-100676.0,3905695.0,-423856.0,-474534.5,29758.0,650885.0,-621127.0,-49151.0,643167.0,2390222.0,692318.0,-423856.0,64150.0,64150.0,579017.0,0.0,13471.5,13415100.0,15055465.0,-1640365.0,10818478.0,-750838.0,1615157.0,-996091.0,2218164.0,11366021.0,-996091.0,13732016.0,8466419.0,132256.19,113369.44,18886.75,-71272.0,1348967.0,-23678.0,3782990.0,5290.0,618395.0,-352504.0,841896.0,211435.0,-68188.0,-187499.0,-423776.0
12/31/2021,3763664.0,2558581.0,1205083.0,1542041.0,-336958.0,-604409.0,-70149.0,-1011516.0,474.0,-755786.0,-755786.0,-6.64,-6.64,113760.0,113760.0,-394541.0,4100622.0,-755786.0,-722043.21,3213.0,605562.0,-604409.0,-405954.0,310008.0,2558581.0,715962.0,-755786.0,-46223.0,-46223.0,356231.0,0.0,-12480.21,12530826.0,13367041.0,-836215.0,11670128.0,-214418.0,115187.0,-521996.0,1588037.0,11720128.0,-521996.0,12049733.0,9412016.0,131449.81,115714.94,15734.86,-222591.0,-342423.0,-388002.0,2531067.0,1749.0,581650.0,-346691.0,841896.0,1340281.0,-2504059.0,-13842.0,-569282.0
12/31/2020,2095861.0,1743219.0,352642.0,1510726.0,-1158084.0,-541090.0,-63101.0,-1762275.0,564671.0,-2067245.0,-2067245.0,-19.37,-19.37,106745.0,106745.0,-1232045.0,3253945.0,-2067245.0,-2000360.94,15384.0,556474.0,-541090.0,-1205801.0,-480299.0,1743219.0,725502.0,-2067245.0,-91622.0,-91622.0,-388677.0,0.0,-24737.94,13869547.0,14606864.0,-737317.0,12117365.0,-351997.0,123124.0,-630192.0,1932259.0,12713773.0,-630192.0,13188894.0,9583738.0,123482.84,107888.34,15594.5,-1072425.0,-265759.0,2463245.0,3486384.0,1433.0,463458.0,-290115.0,841896.0,4691953.0,-2041270.0,-11533.0,-1362540.0
12/31/2019,4651296.8,2879260.4,1772036.4,1628739.2,143297.2,-583534.2,-97092.0,-537329.0,-79313.0,-329651.2,-325131.2,-3.0980000000000003,-3.132,111650.7,111775.5,33165.6,4507999.6,-329651.2,-252212.752,78132.2,658991.2,-583534.2,121662.2,825839.4,2879260.4,704177.2,-329651.2,-100117.2,-100117.2,925956.6,0.0,-22678.751999999997,13452924.0,14531631.75,-1078707.75,11345833.25,-392158.75,871304.25,-682342.25,1944906.75,11821719.25,-682342.25,13085182.25,9080331.0,130046.94,112177.4925,17869.445,253317.0,-334329.2,-52766.2,3047311.2,4695.5,607334.6,-394114.8,841896.0,1571133.8,-1546873.4,-141297.6,-140797.8
