Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Income,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,12068575.0,6560973.0,5507602.0,3077596.0,2430006.0,-776255.0,-559214.0,1094537.0,-691729.0,1778560.0,1778560.0,8.4,8.37,212560.02,213367.75,2255552.0,9638569.0,290322.0,1066577.0,-776255.0,1786266.0,1839910.16,2161114.0,4495242.0,6154017.0,2334128.0,1786266.0,-67904.0,-67904.0,4563146.0,0.0,-14259.84,58998010.25,46388126.75,12609883.5,35725685.5,43277.5,12538264.5,12179360.75,-2519449.5,38559659.5,12161860.75,26021395.0,25381802.5,275657.4925,206730.77,68926.7225,4014812.0,-4650037.0,796047.0,1355164.0,19412.0,1029793.0,-4693405.0,182376.0,6851677.0,-5241883.0,-50000.0,-678593.0
12/31/2023,12147412.0,6817976.0,5329436.0,2668782.0,2660654.0,-843680.0,-145199.0,1671775.0,-690535.0,2356536.0,2356536.0,11.14,11.1,211569.93,212376.5,2617975.0,9486758.0,162726.0,1006406.0,-843680.0,2362310.0,2318216.94,2678181.0,4922660.0,6418500.0,2244479.0,2362310.0,55814.0,55814.0,4866846.0,0.0,11720.94,59703396.0,44960290.0,14743106.0,37666486.0,35000.0,14622647.0,14283548.0,-2735623.0,40868714.0,14248548.0,26246067.0,26113519.0,280975.35,212848.57,68126.78,4294328.0,-4628977.0,243033.0,132548.0,42821.0,987252.0,-4711625.0,140472.0,4273297.0,-5135753.0,-50000.0,-417297.0
12/31/2022,13764237.0,8488886.0,5275351.0,3388040.0,1887311.0,-987818.0,158667.0,1058160.0,-38978.0,1103166.0,1103166.0,5.4,5.37,204450.35,205547.58,2050775.0,11876926.0,364848.8,987818.0,-987818.0,1097138.0,910464.16,2045978.0,4236349.0,8059538.0,2190371.0,1097138.0,236296.0,236296.0,4000053.0,0.0,49622.16,58595191.0,45530299.0,13064892.0,36625497.0,35000.0,12966985.0,12624813.0,-2274421.0,39727155.0,12589813.0,26760170.0,26536006.0,279653.93,211176.5,68477.43,2585490.0,-5709897.0,2906012.0,224164.0,28354.0,901884.0,-5288739.0,884597.0,6019835.0,-5995903.0,-50000.0,-2703249.0
12/31/2021,11742896.0,6871030.0,4871866.0,2762615.0,2109251.0,-404228.0,-394930.0,1310093.0,191374.0,1118492.0,1118492.0,5.57,5.54,200941.51,201873.02,1845626.0,9633645.0,430466.0,834694.0,-404228.0,1118719.0,1283656.0,2144787.0,4387731.0,6312372.0,2242944.0,1118719.0,-193152.0,-193152.0,4580883.0,0.0,-28215.0,59454242.0,47783848.0,11670394.0,36478856.0,68110.0,11637284.0,11260112.0,-2567147.0,38719362.0,11260112.0,27082078.0,26639519.0,271965.51,202653.18,69312.33,2300713.0,-6179276.0,2562023.0,442559.0,98377.0,843228.0,-6253808.0,206753.0,8308427.0,-4827827.0,-50000.0,-3953095.0
12/31/2020,10113636.0,5655422.0,4458214.0,2662396.0,1795818.0,-392845.0,-117826.0,1285147.0,-121506.0,1388334.0,1388334.0,6.94,6.9,200106.95,201102.22,1769195.0,8317818.0,392818.0,785663.0,-392845.0,1406653.0,1338903.89,2070810.0,4328560.0,5010758.0,2257750.0,1406653.0,92807.0,92807.0,4235753.0,0.0,25057.89,58239212.0,47278070.0,10961142.0,32131903.0,35000.0,10926142.0,10548970.0,-2500607.0,34923407.0,10548970.0,23997265.0,22238166.0,270035.18,200244.83,69790.35,2689866.0,-4772306.0,3415817.0,1759099.0,45879.8,803923.0,-5156861.0,42600.0,12619201.0,-8152378.0,-50000.0,-2466995.0
12/31/2019,11967351.2,6878857.4,5088493.8,2911885.8,2176608.0,-680965.2,-211700.4,1283942.4,-270274.8,1549017.6,1549017.6,7.489999999999999,7.456,205925.752,206853.414,2107824.6,9790743.2,547912.0,936231.6,-680965.2,1554217.2,1538230.23,2220174.0,4474108.4,6391037.0,2253934.4,1554217.2,24772.2,24772.2,4449336.2,0.0,8785.23,58998010.25,46388126.75,12609883.5,35725685.5,43277.5,12538264.5,12179360.75,-2519449.5,38559659.5,12161860.75,26021395.0,25381802.5,275657.4925,206730.77,68926.7225,3177041.8,-5188098.6,1984586.4,782706.8,40435.0,913216.0,-5220887.6,291359.6,7614487.4,-5870748.8,-50000.0,-2043845.8
