Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"23,276,000.00","12,194,000.00","11,082,000.00","10,211,000.00","871,000.00","103,000.00","10,000.00","984,000.00","-347,000.00","23,000.00","1,354,000.00",--,"1,354,000.00",0.84,0.84,"1,616,500.00","1,638,000.00","871,000.00","22,405,000.00","1,354,000.00","1,354,000.00",--,"103,000.00","103,000.00","1,087,000.00","4,364,000.00","10,551,000.00","3,277,000.00","1,354,000.00",--,--,"4,364,000.00",0.00,--,,,,,,,,,,,,,,,"1,916,000.00","503,000.00","-2,147,000.00","4,113,000.00","788,000.00",--,"-559,000.00",--,"-750,000.00","-1,666,000.00","1,357,000.00"
12/31/2023,"22,680,000.00","12,220,000.00","10,460,000.00","10,059,000.00","401,000.00","100,000.00","-9,000.00","492,000.00","-346,000.00","16,000.00","854,000.00",--,"854,000.00",0.53,0.53,"1,614,000.00","1,625,000.00","401,000.00","22,279,000.00","854,000.00","854,000.00","206,000.00","106,000.00","100,000.00","598,000.00","4,149,000.00","10,538,000.00","3,551,000.00","854,000.00",--,--,"4,149,000.00",0.00,--,"67,885,000.00","11,993,000.00","55,892,000.00","57,609,000.00","55,892,000.00","535,000.00","10,267,000.00","10,079,000.00","58,360,000.00","10,267,000.00","3,003,000.00","1,663,000.00","1,616,000.00","47,000.00","1,667,000.00","-1,423,000.00","-1,146,000.00","3,933,000.00","523,000.00","84,000.00","-546,000.00",--,--,"-1,412,000.00","1,121,000.00"
12/31/2022,"23,601,000.00","12,998,000.00","10,603,000.00","9,339,000.00","1,264,000.00","-23,000.00","-57,000.00","1,184,000.00","-122,000.00","14,000.00","1,320,000.00",--,"1,320,000.00",0.85,0.84,"1,561,000.00","1,571,000.00","1,264,000.00","22,337,000.00","1,320,000.00","1,320,000.00","65,000.00","88,000.00","-23,000.00","1,272,000.00","5,534,000.00","10,836,000.00","4,262,000.00","1,320,000.00",--,--,"5,534,000.00",0.00,--,"67,580,000.00","12,830,000.00","54,750,000.00","57,217,000.00","54,750,000.00","396,000.00","6,455,000.00","8,650,000.00","57,217,000.00","6,455,000.00","2,863,000.00","1,645,000.00","1,612,000.00","33,000.00","3,565,000.00","1,999,000.00","-3,264,000.00","4,835,000.00","685,000.00","85,000.00","-450,000.00","991,000.00","-312,000.00","-4,108,000.00","3,115,000.00"
12/31/2021,"16,434,000.00","8,505,000.00","7,929,000.00","4,281,000.00","3,648,000.00","-26,000.00","47,000.00","3,669,000.00","513,000.00","6,000.00","3,162,000.00",--,"3,162,000.00",2.61,2.57,"1,213,000.00","1,229,000.00","3,648,000.00","12,786,000.00","3,162,000.00","3,168,021.26","8,000.00","34,000.00","-26,000.00","3,703,000.00","4,166,000.00","8,042,000.00","463,000.00","3,162,000.00","-7,000.00","-7,000.00","4,173,000.00",0.00,-978.74,"12,419,000.00","4,922,000.00","7,497,000.00","7,498,000.00","7,497,000.00","348,000.00","6,885,000.00","4,343,000.00","7,810,000.00","6,885,000.00","661,000.00","1,232,000.00","1,207,000.00","25,000.00","3,521,000.00","-686,000.00","-1,895,000.00","2,535,000.00","35,000.00","25,000.00","-301,000.00",--,--,"-1,999,000.00","3,220,000.00"
12/31/2020,"9,763,000.00","5,416,000.00","4,347,000.00","2,978,000.00","1,369,000.00","-39,000.00","-55,000.00","1,275,000.00","-1,210,000.00","5,000.00","2,490,000.00","1,000.00","2,491,000.00",2.10,2.06,"1,184,000.00","1,207,000.00","1,369,000.00","8,394,000.00","2,490,000.00","2,529,420.00","8,000.00","47,000.00","-39,000.00","1,322,000.00","1,676,000.00","5,062,000.00","354,000.00","2,490,000.00","-54,000.00","-54,000.00","1,730,000.00",0.00,"-14,580.00","8,962,000.00","3,125,000.00","5,837,000.00","6,167,000.00","5,837,000.00","201,000.00","5,319,000.00","3,726,000.00","6,167,000.00","5,319,000.00","531,000.00","1,217,000.00","1,211,000.00","6,000.00","1,071,000.00","-952,000.00","6,000.00","1,595,000.00","8,000.00","31,000.00","-294,000.00","200,000.00","-200,000.00","-78,000.00","777,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
