Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"30,934,000.00","11,354,000.00","19,580,000.00","13,388,000.00","6,192,000.00","-3,212,000.00","545,000.00","3,525,000.00","395,000.00","3,130,000.00","3,130,000.00",5.84,5.80,"536,500.00","540,000.00","6,192,000.00","24,742,000.00","3,130,000.00","3,130,000.00",--,"3,212,000.00","-3,212,000.00","6,737,000.00","11,811,000.00","11,354,000.00","5,074,000.00","3,130,000.00",--,--,"11,811,000.00",0.00,--,,,,,,,,,,,,,,"6,446,000.00","-27,785,000.00","-3,608,000.00","9,301,000.00","-965,000.00","3,997,000.00","-2,150,000.00",--,"5,481,000.00"
12/31/2023,"28,190,000.00","8,451,000.00","19,739,000.00","11,842,000.00","7,897,000.00","-2,875,000.00","2,833,000.00","7,855,000.00","1,138,000.00","6,717,000.00","6,717,000.00",12.56,12.49,"535,000.00","538,000.00","7,897,000.00","20,293,000.00","6,717,000.00","6,717,000.00",--,"2,875,000.00","-2,875,000.00","10,730,000.00","14,801,000.00","8,451,000.00","4,071,000.00","6,717,000.00",--,--,"14,801,000.00",0.00,--,"97,154,000.00","90,922,000.00","6,232,000.00","69,402,000.00","6,232,000.00","-45,038,000.00","11,940,000.00","70,845,000.00","-45,038,000.00","64,613,000.00","53,669,000.00","535,400.00","535,400.00","8,471,000.00","-26,204,000.00","21,048,000.00","10,944,000.00","-1,112,000.00","27,777,000.00","-1,454,000.00",--,"7,359,000.00"
12/31/2022,"26,323,000.00","6,406,000.00","19,917,000.00","10,351,000.00","9,566,000.00","-1,406,000.00","-814,000.00","7,346,000.00","794,000.00","6,552,000.00","6,552,000.00",12.18,12.11,"538,000.00","541,000.00","9,566,000.00","16,757,000.00","6,552,000.00","6,552,000.00",--,"1,406,000.00","-1,406,000.00","8,752,000.00","12,169,000.00","6,406,000.00","3,417,000.00","6,552,000.00",--,--,"12,169,000.00",0.00,--,"65,121,000.00","61,460,000.00","3,661,000.00","41,015,000.00","3,661,000.00","-27,948,000.00","6,499,000.00","42,606,000.00","-27,948,000.00","38,945,000.00","31,316,000.00","534,000.00","534,000.00","9,721,000.00","-6,044,000.00","-4,037,000.00","7,629,000.00","-936,000.00","6,919,000.00",--,"-6,360,000.00","8,785,000.00"
12/31/2021,"25,979,000.00","6,454,000.00","19,525,000.00","10,381,000.00","9,144,000.00","-1,197,000.00","-1,246,000.00","6,701,000.00","808,000.00","5,893,000.00","5,893,000.00",10.34,10.28,"570,000.00","573,000.00","7,639,000.00","16,835,000.00","5,893,000.00","7,215,895.00",--,"1,197,000.00","-1,197,000.00","7,898,000.00","11,296,000.00","6,454,000.00","3,398,000.00","5,893,000.00","-1,505,000.00","-1,505,000.00","12,801,000.00",0.00,"-182,105.00","61,165,000.00","54,465,000.00","6,700,000.00","39,922,000.00","6,700,000.00","-23,372,000.00","7,201,000.00","40,009,000.00","-23,372,000.00","33,309,000.00","25,320,000.00","558,300.00","558,300.00","9,261,000.00","733,000.00","-8,271,000.00","7,989,000.00","-880,000.00","4,945,000.00","-4,150,000.00","-4,975,000.00","8,381,000.00"
12/31/2020,"25,424,000.00","6,159,000.00","19,265,000.00","10,126,000.00","9,139,000.00","-1,262,000.00","256,000.00","8,133,000.00","869,000.00","7,264,000.00","7,264,000.00",12.40,12.31,"586,000.00","590,000.00","9,139,000.00","16,285,000.00","7,264,000.00","7,264,000.00","256,000.00","1,262,000.00","-1,262,000.00","9,395,000.00","12,996,000.00","6,159,000.00","3,601,000.00","7,264,000.00",--,--,"12,996,000.00",0.00,--,"62,948,000.00","53,539,000.00","9,409,000.00","42,304,000.00","9,409,000.00","-21,867,000.00","9,491,000.00","42,395,000.00","-21,867,000.00","32,986,000.00","26,720,000.00","578,300.00","578,300.00","10,497,000.00","-5,401,000.00","-4,867,000.00","6,266,000.00","-608,000.00","8,914,000.00","-6,450,000.00","-3,486,000.00","9,889,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"753,000.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
