Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Income,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Free Cash Flow
TTM,4890039.0,2846686.0,2043353.0,1068065.0,975288.0,-331133.0,88071.0,732226.0,96144.0,618858.0,618858.0,5.45,5.42,113578.5,114483.0,971182.0,3914751.0,27766.0,358899.0,-331133.0,618858.0,557843.38,1091125.0,1994155.0,2786003.0,903030.0,618858.0,70237.0,70237.0,1923918.0,0.0,9222.38,22352050.25,16297302.5,6054747.75,13068980.75,5941503.5,821873.5,5670940.25,-335462.5,13690707.0,5670940.25,8571077.0,7729272.5,113139.865,113053.2425,86.625,1307222.0,-1697592.0,386719.0,4007.0,16944.75,250200.5,-1979900.0,1905231.0,-1100420.0,-672678.0
12/31/2023,4695991.0,2851382.0,1844609.0,1019969.0,824640.0,-304081.0,75134.0,595693.0,76912.0,501557.0,501557.0,4.42,4.41,113442.0,113804.0,824640.0,3871351.0,27242.0,331323.0,-304081.0,501557.0,452856.16,927016.0,1781152.0,2791289.0,854136.0,501557.0,55921.0,55921.0,1725231.0,0.0,7220.16,24661153.0,18376291.0,6284862.0,13718286.0,6177664.0,1278072.0,5910554.0,-962380.0,15202786.0,5910554.0,10303194.0,9020167.0,113537.69,113424.42,113.27,1207697.0,-1694249.0,486675.0,4955.0,8788.0,310996.0,-1846370.0,931249.0,-32740.0,-638673.0
12/31/2022,4324385.0,2616415.0,1707970.0,976059.0,731911.0,-248213.0,91955.0,575653.0,74827.0,483602.0,483602.0,4.27,4.26,113196.0,113416.0,731911.0,3592474.0,7326.0,255539.0,-248213.0,483602.0,462090.04,831192.0,1649006.0,2551796.0,817814.0,483602.0,24726.0,24726.0,1624280.0,0.0,3214.04,22723405.0,16563529.0,6159876.0,13789933.0,6048647.0,744457.0,5789767.0,-11587.0,14181338.0,5789767.0,8877148.0,8127859.0,113247.19,113173.58,73.61,1241441.0,-1618046.0,371468.0,4832.0,46227.0,245271.0,-1707490.0,924257.0,-150000.0,-466049.0
12/31/2021,3803835.0,2106618.0,1697217.0,891907.0,805310.0,-226536.0,167256.0,746030.0,110086.0,618720.0,618720.0,5.48,5.47,112910.0,113192.0,805310.0,2998525.0,6726.0,233262.0,-226536.0,618720.0,584307.1,979292.0,1698433.0,2038352.0,719141.0,618720.0,40370.0,40370.0,1658063.0,0.0,5957.1,22003222.0,15981762.0,6021460.0,12819935.0,5906200.0,828844.0,5632507.0,-205769.0,13261935.0,5632507.0,8184579.0,7345766.0,113014.53,112926.92,87.61,860014.0,-1386929.0,476916.0,9969.0,229.0,227584.0,-1473475.0,888999.0,-19000.0,-613461.0
12/31/2020,3586982.0,1952329.0,1634653.0,846501.0,788152.0,-216761.0,76834.0,648225.0,78173.0,550559.0,550559.0,4.89,4.87,112666.0,112942.0,788152.0,2798830.0,12210.0,228971.0,-216761.0,550559.0,518782.6,877196.0,1563449.0,1880454.0,686253.0,550559.0,36134.0,36134.0,1527315.0,0.0,4357.6,20020421.0,14267628.0,5752793.0,11947769.0,5633503.0,436121.0,5350933.0,-162114.0,12116769.0,5350933.0,6919387.0,6423298.0,112760.05,112688.05,72.01,966365.0,-1277818.0,361138.0,59968.0,16944.75,216951.0,-1326584.0,2421687.0,-1685840.0,-360219.0
12/31/2019,4260246.4,2474686.0,1785560.4,960500.2,825060.2,-265344.8,99850.0,659565.4,87228.4,554659.2,554659.2,4.902,4.886,113158.5,113567.4,824239.0,3435186.2,16254.0,281598.8,-265344.8,554659.2,515175.856,941164.2,1737239.0,2409578.8,796074.8,554659.2,45477.6,45477.6,1691761.4,0.0,5994.255999999999,22352050.25,16297302.5,6054747.75,13068980.75,5941503.5,821873.5,5670940.25,-335462.5,13690707.0,5670940.25,8571077.0,7729272.5,113139.865,113053.2425,86.625,1116547.8,-1534926.8,416583.2,16746.2,12535.0,250200.5,-1666763.8,1414284.6,-597600.0,-550216.0
