Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Cash Flow from Discontinued Operation,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,12487600.0,8991300.0,3496300.0,2361800.0,1134500.0,-193600.0,-284200.0,656700.0,206000.0,449500.0,449500.0,5.42,5.39,84801.21,85304.55,745600.0,11353100.0,449500.0,698356.13,193600.0,-193600.0,850300.0,1454000.0,8624800.0,603700.0,449500.0,-362600.0,-362600.0,1816600.0,0.0,-113743.87,19334325.0,9895000.0,9439325.0,14402650.0,9420400.0,922825.0,-1114350.0,1670300.0,14822475.0,-1114350.0,6324900.0,4489350.0,90675.0,90675.0,1386400.0,-1396300.0,-1765400.0,109400.0,264700.0,536600.0,207325.0,-534100.0,53150.0,2019200.0,-2299400.0,-1100000.0,852300.0
12/31/2023,12161600.0,8796700.0,3364900.0,2241200.0,1123700.0,-199600.0,-355200.0,568900.0,188500.0,418000.0,418000.0,4.8,4.77,87100.0,87600.0,725600.0,11037900.0,418000.0,626261.7,199600.0,-199600.0,768500.0,1345800.0,8439200.0,577300.0,379200.0,-369300.0,-369300.0,1715100.0,0.0,-122238.3,16725100.0,8834600.0,7890500.0,11929700.0,7875000.0,899700.0,-1609500.0,540200.0,12929500.0,-1609500.0,5954200.0,4517700.0,83900.0,83900.0,1327700.0,-1171500.0,-59300.0,-30433.333333333332,536800.0,206800.0,221500.0,-453600.0,54400.0,2488200.0,-2788200.0,-1000000.0,874100.0
12/31/2022,11863900.0,8155000.0,3708900.0,1956700.0,1752200.0,-179800.0,-335000.0,1237400.0,233900.0,1279100.0,1279100.0,14.05,13.97,91100.0,91600.0,1436500.0,10111700.0,1279100.0,1251950.2,179800.0,-179800.0,1417200.0,1954400.0,7811400.0,537200.0,1002000.0,-308200.0,-308200.0,2262600.0,0.0,-58249.8,20155100.0,10039600.0,10115500.0,15135400.0,10096600.0,906300.0,850000.0,1546500.0,15436700.0,850000.0,6246400.0,5019500.0,88200.0,88200.0,1955900.0,-1652200.0,-1322200.0,-109400.0,320600.0,474900.0,196700.0,-429300.0,50600.0,787400.0,-787400.0,-1100000.0,1526600.0
12/31/2021,13136100.0,8143700.0,4992400.0,1919800.0,3072600.0,-211800.0,26800.0,2887600.0,690000.0,2377300.0,2377300.0,24.6,24.39,96700.0,97500.0,3048600.0,10063500.0,2377300.0,2206967.2,211800.0,-211800.0,3099400.0,3676400.0,7796200.0,577000.0,2195400.0,-15200.0,-15200.0,3691600.0,0.0,-3632.8,20385400.0,10091400.0,10294000.0,15689900.0,10273400.0,924600.0,-1421900.0,2547600.0,15691400.0,-1421900.0,6342600.0,3945300.0,93100.0,93100.0,3109600.0,-884600.0,-2065800.0,-91300.0,1381400.0,964700.0,194500.0,-421500.0,51700.0,1000000.0,-1375000.0,-1668500.0,2688100.0
12/31/2020,13978500.0,9025700.0,4952800.0,2004700.0,2948100.0,-207400.0,-521600.0,2219100.0,662100.0,1556100.0,1556100.0,15.99,15.88,97300.0,98000.0,2445400.0,11030400.0,1556100.0,1901764.8,207400.0,-207400.0,2426500.0,3051200.0,8676400.0,624700.0,1556100.0,-492400.0,-492400.0,3543600.0,0.0,-146735.2,20071700.0,10614400.0,9457300.0,14855600.0,9436600.0,960700.0,-2276000.0,2046900.0,15232300.0,-2276000.0,6756400.0,4474900.0,97500.0,97500.0,2135300.0,-643200.0,-517400.0,-30433.333333333332,1320800.0,500000.0,216600.0,-381700.0,55900.0,151700.0,-563900.0,-100000.0,1753600.0
12/31/2019,12725540.0,8622480.0,4103060.0,2096840.0,2006220.0,-198440.0,-293840.0,1513940.0,396100.0,1216000.0,1216000.0,12.972,12.88,91400.242,92000.91,1680340.0,10719320.0,1216000.0,1337060.006,198440.0,-198440.0,1712380.0,2296360.0,8269600.0,583980.0,1116440.0,-309540.0,-309540.0,2605900.0,0.0,-88919.99399999999,19334325.0,9895000.0,9439325.0,14402650.0,9420400.0,922825.0,-1114350.0,1670300.0,14822475.0,-1114350.0,6324900.0,4489350.0,90675.0,90675.0,1982980.0,-1149560.0,-1146020.0,-30433.333333333332,764860.0,536600.0,207325.0,-444040.0,53150.0,1289300.0,-1562780.0,-993700.0,1538940.0
