Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"88,768,000.00","82,163,000.00","6,605,000.00","3,592,000.00","3,013,000.00","-187,000.00","420,000.00","3,246,000.00","680,000.00","2,601,000.00","2,601,000.00",5.03,5.02,"518,500.00","519,000.00","85,755,000.00","2,601,000.00","2,827,876.77","486,000.00","673,000.00","-187,000.00","3,919,000.00","5,023,000.00","82,163,000.00","1,104,000.00","2,601,000.00","-287,000.00","-287,000.00","5,310,000.00",0.00,"-60,123.23",,,,,,,,,,,,,,,"4,729,000.00","-2,497,000.00","-3,134,000.00","4,285,000.00",--,--,"-1,570,000.00","1,000.00","-301,000.00","-3,999,000.00","3,159,000.00"
12/31/2023,"93,935,000.00","86,422,000.00","7,513,000.00","3,456,000.00","4,057,000.00","-148,000.00","385,000.00","4,294,000.00","828,000.00","3,483,000.00","3,483,000.00",6.44,6.43,"541,000.00","542,000.00","89,878,000.00","3,483,000.00","3,728,328.00","499,000.00","647,000.00","-148,000.00","4,941,000.00","6,000,000.00","86,422,000.00","1,059,000.00","3,483,000.00","-304,000.00","-304,000.00","6,304,000.00",0.00,"-58,672.00","54,631,000.00","30,166,000.00","24,465,000.00","32,391,000.00","24,132,000.00","1,231,000.00","17,791,000.00","11,105,000.00","32,497,000.00","17,791,000.00","9,596,000.00","6,997,000.00","513,000.00","513,000.00","4,460,000.00","-1,496,000.00","-4,604,000.00","5,390,000.00","742,000.00","711,000.00","-1,494,000.00","501,000.00","-963,000.00","-2,673,000.00","2,966,000.00"
12/31/2022,"101,556,000.00","93,986,000.00","7,570,000.00","3,358,000.00","4,212,000.00","-103,000.00","1,124,000.00","5,233,000.00","868,000.00","4,340,000.00","4,340,000.00",7.93,7.71,"547,000.00","563,000.00","97,344,000.00","4,340,000.00","4,329,992.00","293,000.00","396,000.00","-103,000.00","5,629,000.00","6,657,000.00","93,986,000.00","1,028,000.00","4,340,000.00","12,000.00","12,000.00","6,645,000.00",0.00,"1,992.00","59,774,000.00","35,158,000.00","24,616,000.00","32,019,000.00","24,284,000.00","1,108,000.00","17,740,000.00","11,219,000.00","33,464,000.00","17,740,000.00","10,288,000.00","8,143,000.00","547,000.00","547,000.00","3,478,000.00","-1,400,000.00","-2,499,000.00","7,033,000.00","708,000.00","409,000.00","-1,319,000.00","752,000.00","-482,000.00","-1,450,000.00","2,159,000.00"
12/31/2021,"85,249,000.00","79,262,000.00","5,987,000.00","2,994,000.00","2,993,000.00","-169,000.00","489,000.00","3,313,000.00","578,000.00","2,709,000.00","2,709,000.00",4.84,4.79,"560,000.00","566,000.00","82,256,000.00","2,709,000.00","2,791,553.58","96,000.00","265,000.00","-169,000.00","3,578,000.00","4,574,000.00","79,262,000.00","996,000.00","2,709,000.00","-100,000.00","-100,000.00","4,674,000.00",0.00,"-17,446.42","56,136,000.00","33,369,000.00","22,767,000.00","30,488,000.00","22,477,000.00","1,042,000.00","15,730,000.00","9,961,000.00","32,016,000.00","15,730,000.00","10,581,000.00","8,596,000.00","560,000.00","560,000.00","6,595,000.00","-2,669,000.00","-1,118,000.00","7,454,000.00","553,000.00","276,000.00","-1,169,000.00","1,329,000.00","-534,000.00",--,"5,426,000.00"
12/31/2020,"64,355,000.00","59,902,000.00","4,453,000.00","2,687,000.00","1,766,000.00","-228,000.00","345,000.00","1,883,000.00","101,000.00","1,772,000.00","1,772,000.00",3.19,3.15,"556,000.00","563,000.00","62,589,000.00","1,772,000.00","2,104,046.00","111,000.00","339,000.00","-228,000.00","2,222,000.00","3,198,000.00","59,902,000.00","976,000.00","1,772,000.00","-351,000.00","-351,000.00","3,549,000.00",0.00,"-18,954.00","49,719,000.00","29,623,000.00","20,096,000.00","27,885,000.00","20,000,000.00","1,124,000.00","14,415,000.00","9,104,000.00","29,929,000.00","14,415,000.00","11,053,000.00","9,263,000.00","556,000.00","556,000.00","-2,386,000.00","4,465,000.00","-423,000.00","4,646,000.00","195,000.00","345,000.00","-823,000.00","1,791,000.00","-2,136,000.00","-133,000.00","-3,209,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
