Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"23,007,700.00","11,948,400.00","11,059,300.00","7,296,200.00","3,763,100.00","-403,700.00","-63,000.00","3,296,400.00","783,600.00","2,512,800.00","2,512,800.00",9.93,9.82,"253,150.00","256,200.00","19,244,600.00","2,512,800.00","2,575,307.46","21,500.00","410,300.00","-403,700.00","3,706,700.00","4,322,900.00","11,948,400.00","616,200.00","2,512,800.00","-82,000.00","-82,000.00","4,404,900.00",0.00,"-19,492.54",,,,,,,,,,,,,,,,"3,371,300.00","-1,203,500.00","-2,182,800.00","194,400.00","753,800.00","410,400.00","-1,007,100.00",--,"327,800.00","-1,240,300.00","-1,876,000.00","2,364,200.00"
12/31/2023,"23,051,900.00","12,293,800.00","10,758,100.00","7,130,600.00","3,627,500.00","-407,300.00","-110,300.00","3,109,900.00","721,100.00","2,388,800.00","2,388,800.00",9.35,9.25,"255,400.00","258,300.00","19,424,400.00","2,388,800.00","2,472,588.80","25,200.00","417,500.00","-407,300.00","3,527,400.00","4,149,900.00","12,293,800.00","622,500.00","2,388,800.00","-109,100.00","-109,100.00","4,259,000.00",0.00,"-25,311.20","22,954,400.00","19,238,600.00","3,715,800.00","12,093,700.00","3,715,800.00","1,958,800.00","-7,790,700.00","-1,114,000.00","13,566,700.00","-7,790,700.00","11,809,700.00","9,574,100.00","274,977.87","254,543.29","20,434.58","3,521,900.00","-1,039,300.00","-2,424,600.00","276,800.00","816,700.00","416,500.00","-888,400.00",--,"306,500.00","-740,300.00","-1,432,000.00","2,633,500.00"
12/31/2022,"22,148,900.00","12,823,800.00","9,325,100.00","6,328,500.00","2,996,600.00","-395,000.00","-28,500.00","2,573,100.00","553,000.00","2,020,100.00","2,020,100.00",7.83,7.72,"258,000.00","261,800.00","19,152,300.00","2,020,100.00","2,052,285.00","8,000.00","390,800.00","-395,000.00","2,963,900.00","3,545,000.00","12,823,800.00","581,100.00","2,020,100.00","-41,000.00","-41,000.00","3,586,000.00",0.00,"-8,815.00","22,594,000.00","19,491,900.00","3,102,100.00","12,693,100.00","3,102,100.00","1,938,200.00","-8,483,100.00","-53,000.00","13,671,800.00","-8,483,100.00","12,507,900.00","10,370,900.00","273,593.35","258,876.00","14,717.35","1,919,900.00","-1,607,600.00","-282,400.00","198,800.00","580,100.00","371,100.00","-644,500.00","22,000.00","1,421,400.00","-267,600.00","-883,200.00","1,275,400.00"
12/31/2021,"19,944,600.00","11,401,900.00","8,542,700.00","5,882,400.00","2,660,300.00","-340,100.00","-71,600.00","2,248,600.00","384,200.00","1,864,400.00","1,864,400.00",7.10,6.98,"262,500.00","267,100.00","17,284,300.00","1,864,400.00","1,935,705.88","4,900.00","334,700.00","-340,100.00","2,583,300.00","3,155,900.00","11,401,900.00","572,600.00","1,864,400.00","-86,000.00","-86,000.00","3,241,900.00",0.00,"-14,694.12","20,666,700.00","18,229,500.00","2,437,200.00","11,028,100.00","2,437,200.00","1,880,400.00","-8,698,900.00","-665,800.00","12,052,200.00","-8,698,900.00","11,495,400.00","9,449,300.00","272,457.44","261,143.81","11,313.63","2,244,600.00","-476,400.00","-1,834,000.00","165,700.00","466,300.00","338,800.00","-372,000.00","11,700.00","1,758,700.00","-434,400.00","-2,752,300.00","1,872,600.00"
12/31/2020,"18,361,700.00","9,679,100.00","8,682,600.00","5,833,300.00","2,849,300.00","-347,200.00","17,100.00","2,519,200.00","488,800.00","2,030,400.00","2,030,400.00",7.48,7.36,"271,277.58","275,827.87","15,512,400.00","2,030,400.00","2,034,430.00","3,600.00","340,400.00","-347,200.00","2,859,600.00","3,441,000.00","9,411,100.00","581,400.00","2,030,400.00","-5,000.00","-5,000.00","3,446,000.00",0.00,-970.00,"20,401,600.00","16,790,800.00","3,610,800.00","11,877,700.00","3,610,800.00","1,821,400.00","-7,909,500.00","-3,000.00","11,902,900.00","-7,909,500.00","10,113,500.00","8,065,500.00","269,815.32","268,676.63","1,138.69","3,408,600.00","-322,400.00","-3,020,100.00","226,600.00","437,200.00","340,800.00","-303,800.00","182,400.00","999,000.00","-1,419,300.00","-2,446,300.00","3,104,800.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
