Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Income,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,8567000.0,4621000.0,3946000.0,2024000.0,1922000.0,-805000.0,39000.0,1156000.0,104000.0,1026000.0,1026000.0,1.62,1.62,633500.0,635500.0,1922000.0,6645000.0,13000.0,805000.0,-805000.0,1052000.0,1048359.86,1961000.0,3443000.0,4621000.0,1482000.0,1052000.0,4000.0,4000.0,3439000.0,0.0,359.86,37352750.0,27983250.0,9369500.0,24238000.0,1420750.0,8383750.0,4984750.0,-22000.0,24638000.0,3999000.0,16254250.0,16119000.0,610260.255,610260.2125,19550.0,0.17,2509000.0,-3679000.0,1020000.0,82000.0,233500.0,751000.0,-3799000.0,1395000.0,3965000.0,-733000.0,-800000.0,-1290000.0
12/31/2023,8696000.0,5010000.0,3686000.0,1926000.0,1760000.0,-701000.0,28000.0,1087000.0,170000.0,867000.0,867000.0,1.37,1.37,631000.0,633000.0,1760000.0,6936000.0,13000.0,701000.0,-701000.0,917000.0,924592.46,1788000.0,3189000.0,5010000.0,1401000.0,917000.0,-9000.0,-9000.0,3198000.0,0.0,-1407.54,39715000.0,30048000.0,9667000.0,27226000.0,1420750.0,9667000.0,5507000.0,-837000.0,28285000.0,5507000.0,18618000.0,18528000.0,631226.0,631225.83,19550.0,0.17,3877000.0,-4233000.0,374000.0,109000.0,215000.0,664000.0,-4401000.0,1395000.0,6044000.0,-3190000.0,-800000.0,-524000.0
12/31/2022,9321000.0,5924000.0,3397000.0,1831000.0,1566000.0,-524000.0,375000.0,1417000.0,360000.0,1008000.0,1008000.0,1.6,1.59,629000.0,632000.0,1566000.0,7755000.0,13000.0,524000.0,-524000.0,1057000.0,757877.21,1941000.0,3229000.0,5924000.0,1288000.0,1057000.0,401000.0,401000.0,2828000.0,0.0,101877.21,38546000.0,28501000.0,10045000.0,24881000.0,790000.0,9255000.0,5751000.0,-414000.0,26111000.0,4961000.0,16856000.0,16782000.0,629535.63,629535.63,19550.0,0.17,1810000.0,-1628000.0,-345000.0,91000.0,421000.0,480000.0,-4419000.0,1395000.0,2089000.0,-2280000.0,-800000.0,-2609000.0
12/31/2021,8352000.0,5145000.0,3207000.0,1844000.0,1363000.0,-529000.0,-56000.0,778000.0,110000.0,1391000.0,1391000.0,2.35,2.28,593000.0,610000.0,1363000.0,6989000.0,13000.0,529000.0,-529000.0,1486000.0,766040.0,1307000.0,2623000.0,5145000.0,1316000.0,668000.0,-114000.0,-114000.0,2737000.0,0.0,-15960.0,37679000.0,28261000.0,9418000.0,24976000.0,790000.0,8628000.0,5080000.0,3068000.0,24731000.0,4290000.0,16103000.0,15873000.0,628923.53,628923.53,19550.0,0.17,22000.0,-1851000.0,1916000.0,254000.0,233500.0,489000.0,-3164000.0,1395000.0,4493000.0,-3147000.0,-800000.0,-3142000.0
12/31/2020,7418000.0,4489000.0,2929000.0,1705000.0,1224000.0,-529000.0,-132000.0,563000.0,80000.0,-949000.0,-949000.0,-1.79,-1.79,531031.0,531031.0,1039000.0,6194000.0,4000.0,529000.0,-529000.0,-773000.0,651560.0,1092000.0,2281000.0,4489000.0,1189000.0,483000.0,-196000.0,-196000.0,2477000.0,0.0,-27440.0,33471000.0,25123000.0,8348000.0,19869000.0,2363000.0,5985000.0,3601000.0,-1905000.0,19425000.0,1238000.0,13440000.0,13293000.0,551355.86,551355.86,19550.0,0.17,1995000.0,-1265000.0,-834000.0,167000.0,143000.0,471000.0,-2596000.0,1395000.0,1849000.0,-3535000.0,-800000.0,-601000.0
12/31/2019,8470800.0,5037800.0,3433000.0,1866000.0,1567000.0,-617600.0,50800.0,1000200.0,164800.0,668600.0,668600.0,1.0299999999999998,1.0139999999999998,603506.2,608306.2,1530000.0,6903800.0,22000.0,617600.0,-617600.0,747800.0,829685.906,1617800.0,2953000.0,5037800.0,1335200.0,835400.0,17200.0,17200.0,2935800.0,0.0,11485.906000000003,37352750.0,27983250.0,9369500.0,24238000.0,1740000.0,8383750.0,4984750.0,-22000.0,24638000.0,3999000.0,16254250.0,16119000.0,610260.255,610260.2125,19550.0,0.17,2042600.0,-2531200.0,426200.0,140600.0,155000.0,571000.0,-3675800.0,1395000.0,3688000.0,-2577000.0,-800000.0,-1633200.0
