Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"22,030,976.00","18,956,359.00","3,074,617.00","1,924,421.00","1,150,196.00","-163,978.00","68,508.00","1,054,726.00","249,616.00","790,263.00","790,263.00",5.43,5.30,"145,877.50","149,258.00","1,185,427.00","20,880,780.00","790,263.00","796,604.79","19,446.00","183,424.00","-163,978.00","1,238,150.00","1,880,535.00","18,617,285.00","642,385.00","790,263.00","-8,308.00","-8,308.00","1,888,843.00",0.00,"-1,966.21",,,,,,,,,,,,,,,,,"2,039,397.00","-1,011,543.00","-874,092.00","522,074.00","221,380.00","177,816.00","-493,801.00","15,208,055.00","-15,998,116.00",--,"1,545,596.00"
12/31/2023,"20,882,206.00","17,945,120.00","2,937,086.00","1,844,151.00","1,092,935.00","-176,083.00","53,104.00","969,956.00","219,267.00","744,689.00","744,689.00",5.13,5.00,"145,222.00","148,823.00","1,127,976.00","19,789,271.00","744,689.00","749,772.63","10,830.00","186,913.00","-176,083.00","1,156,869.00","1,770,669.00","17,620,334.00","613,800.00","744,689.00","-6,568.00","-6,568.00","1,777,237.00",0.00,"-1,484.37","16,237,225.00","9,953,870.00","6,283,355.00","9,935,745.00","6,272,241.00","264,991.00","863,924.00","2,463,781.00","10,470,947.00","863,924.00","4,463,697.00","2,908,458.00","173,949.01","145,508.55",--,"28,440.46","1,575,952.00","-989,650.00","268,500.00","1,295,041.00","248,527.00","175,782.00","-434,803.00","18,178,910.00","-17,770,246.00",-350.00,"1,141,149.00"
12/31/2022,"17,073,903.00","14,544,748.00","2,529,155.00","1,690,684.00","838,471.00","-121,757.00","-12,828.00","703,886.00","192,243.00","491,189.00","491,189.00",3.42,3.32,"143,488.00","147,992.00","872,058.00","16,235,432.00","491,189.00","504,914.03","2,606.00","124,363.00","-121,757.00","828,249.00","1,472,869.00","14,254,101.00","644,620.00","491,189.00","-18,879.00","-18,879.00","1,491,748.00",0.00,"-5,153.97","13,464,337.00","8,065,518.00","5,398,819.00","9,075,896.00","5,383,464.00","245,564.00","338,088.00","2,129,876.00","9,113,391.00","338,088.00","3,975,491.00","3,301,422.00","170,638.53","142,930.60",--,"27,707.93","1,130,312.00","-617,191.00","-311,071.00","433,214.00","111,569.00","106,052.00","-427,630.00","9,300,142.00","-9,323,507.00","-127,762.00","702,682.00"
12/31/2021,"12,980,213.00","11,026,954.00","1,953,259.00","1,321,322.00","631,937.00","-65,705.00","56,669.00","622,901.00","130,918.00","485,956.00","485,956.00",3.45,3.34,"140,824.00","145,373.00","663,521.00","12,348,276.00","485,956.00","495,810.65","3,194.00","68,899.00","-65,705.00","691,800.00","1,112,695.00","10,771,425.00","420,895.00","485,956.00","-12,477.00","-12,477.00","1,125,172.00",0.00,"-2,622.35","12,855,189.00","7,738,268.00","5,116,921.00","8,836,775.00","5,112,301.00","248,678.00","-217,765.00","1,567,617.00","8,865,941.00","-217,765.00","4,002,318.00","3,524,543.00","168,546.51","142,633.93",--,"25,912.58","582,390.00","-2,898,613.00","2,360,877.00","231,887.00","125,328.00","52,737.00","-385,852.00","6,803,452.00","-4,265,478.00","-66,687.00","196,538.00"
12/31/2020,"11,202,672.00","9,541,825.00","1,660,847.00","1,051,778.00","609,069.00","-42,564.00","4,841.00","571,346.00","119,387.00","445,596.00","445,596.00",3.15,3.07,"141,380.00","145,247.00","611,371.00","10,593,603.00","445,596.00","452,715.79","2,449.00","45,013.00","-42,564.00","616,359.00","918,319.00","9,316,569.00","301,960.00","445,596.00","-9,001.00","-9,001.00","927,320.00",0.00,"-1,881.21","8,398,272.00","4,049,300.00","4,348,972.00","5,518,475.00","4,344,181.00","263,956.00","1,787,512.00","1,449,833.00","5,533,239.00","1,787,512.00","1,453,014.00","1,004,438.00","162,710.79","138,300.19",--,"24,410.60","1,115,977.00","-499,323.00","-601,365.00","186,808.00","231,186.00","32,142.00","-260,574.00","3,973,659.00","-4,195,461.00","-247,249.00","855,403.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00,--,--,--,--,--,--,--,--,--,--,--,--
