Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"46,509,000.00","11,450,000.00","35,059,000.00","27,992,000.00","7,067,000.00","-1,542,000.00","-11,944,000.00","-6,419,000.00","109,000.00","-6,541,000.00","-6,541,000.00",-3.24,-3.25,"2,033,500.00","2,037,000.00","39,442,000.00","-6,541,000.00","3,804,840.00","1,542,000.00","-1,542,000.00","-4,877,000.00","5,150,000.00","10,730,000.00","10,027,000.00","-6,541,000.00","-13,096,000.00","-13,096,000.00","18,246,000.00",0.00,"-2,750,160.00",,,,,,,,,,,,,,,,,"14,163,000.00","-22,693,000.00","6,428,000.00","6,323,000.00","-1,218,000.00","20,491,000.00","-5,126,000.00","-4,000,000.00","12,945,000.00"
12/31/2023,"45,006,000.00","10,693,000.00","34,313,000.00","26,118,000.00","8,195,000.00","-1,166,000.00","1,411,000.00","8,440,000.00","400,000.00","8,025,000.00","8,025,000.00",3.88,3.86,"2,069,000.00","2,078,000.00","36,811,000.00","8,025,000.00","7,997,363.00","1,166,000.00","-1,166,000.00","9,606,000.00","19,366,000.00","9,980,000.00","9,760,000.00","8,025,000.00","29,000.00","29,000.00","19,337,000.00",0.00,"1,363.00","95,159,000.00","65,674,000.00","29,485,000.00","66,083,000.00","29,430,000.00","1,692,000.00","-19,224,000.00","9,508,000.00","69,202,000.00","-19,224,000.00","41,464,000.00","28,308,000.00","2,923,000.00","2,021,000.00",3.48,"902,000.00","13,860,000.00","-2,295,000.00","-9,416,000.00","11,519,000.00","-1,209,000.00","4,455,000.00","-3,879,000.00","-5,155,000.00","12,651,000.00"
12/31/2022,"46,159,000.00","10,137,000.00","36,022,000.00","26,918,000.00","9,104,000.00","-1,232,000.00","-159,000.00","7,713,000.00","1,368,000.00","6,327,000.00","6,327,000.00",2.97,2.95,"2,130,000.00","2,146,000.00","37,055,000.00","6,327,000.00","7,439,696.00","1,232,000.00","-1,232,000.00","8,945,000.00","19,221,000.00","9,456,000.00","10,276,000.00","6,327,000.00","-1,352,000.00","-1,352,000.00","20,573,000.00",0.00,"-239,304.00","96,820,000.00","65,702,000.00","31,118,000.00","66,117,000.00","31,061,000.00","1,397,000.00","-26,443,000.00","5,383,000.00","70,381,000.00","-26,443,000.00","40,717,000.00","30,197,000.00","2,900,000.00","2,075,000.00",3.48,"825,000.00","13,066,000.00","-1,062,000.00","-16,962,000.00","9,325,000.00","-1,118,000.00","5,926,000.00","-11,431,000.00","-8,001,000.00","11,948,000.00"
12/31/2021,"46,385,000.00","9,940,000.00","36,445,000.00","27,908,000.00","8,537,000.00","-1,334,000.00","895,000.00","8,098,000.00","1,084,000.00","6,994,000.00","6,994,000.00",3.25,3.12,"2,153,000.00","2,245,000.00","37,848,000.00","6,994,000.00","7,213,999.51","1,334,000.00","-1,334,000.00","9,432,000.00","20,118,000.00","9,277,000.00","10,686,000.00","6,994,000.00","-254,000.00","-254,000.00","20,372,000.00",0.00,"-34,000.49","109,314,000.00","73,308,000.00","36,006,000.00","75,551,000.00","35,946,000.00","1,043,000.00","-27,331,000.00","11,394,000.00","80,499,000.00","-27,331,000.00","45,596,000.00","30,574,000.00","2,900,000.00","2,153,000.00",3.48,"747,000.00","16,207,000.00","-538,000.00","-16,224,000.00","14,316,000.00","-973,000.00",--,"-6,022,000.00","-6,287,000.00","15,234,000.00"
12/31/2020,"42,518,000.00","11,773,000.00","30,745,000.00","28,568,000.00","2,177,000.00","-1,420,000.00","-7,628,000.00","-6,871,000.00","2,124,000.00","-9,015,000.00","-9,015,000.00",-3.99,-3.99,"2,258,000.00","2,258,000.00","40,341,000.00","-9,015,000.00","-2,188,770.00","1,420,000.00","-1,420,000.00","-5,451,000.00","4,929,000.00","11,081,000.00","10,380,000.00","-9,015,000.00","-9,351,000.00","-9,351,000.00","14,280,000.00",0.00,"-2,524,770.00","118,481,000.00","80,599,000.00","37,882,000.00","86,158,000.00","37,822,000.00","997,000.00","-36,174,000.00","11,112,000.00","88,498,000.00","-36,174,000.00","51,673,000.00","36,130,000.00","2,900,000.00","2,221,000.00",3.57,"679,000.00","14,052,000.00","-10,859,000.00","-1,151,000.00","14,973,000.00","-753,000.00","6,945,000.00","-2,750,000.00","-1,546,000.00","13,299,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
