Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Income,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,9278000.0,4172000.0,5106000.0,271000.0,4835000.0,-165000.0,52000.0,4722000.0,1015000.0,3478000.0,3478000.0,19.32,19.32,178620.0,178620.0,4819000.0,4443000.0,2000.0,165000.0,-165000.0,3480000.0,3469009.32,4887000.0,6751000.0,4172000.0,1864000.0,3480000.0,14000.0,14000.0,6737000.0,0.0,3009.32,23931750.0,9889500.0,14042250.0,19415250.0,13129000.0,123000.0,13129000.0,-359250.0,19476750.0,13129000.0,6470750.0,5973500.0,173551.05,173551.05,5845000.0,-2649000.0,3694000.0,6911000.0,558000.0,174000.0,-3770000.0,1106000.0,7402000.0,-1917000.0,-267000.0,2075000.0
12/31/2023,8412000.0,3541000.0,4871000.0,290000.0,4581000.0,-175000.0,-158000.0,4248000.0,912000.0,3143000.0,3143000.0,17.34,17.34,179999.0,179999.0,4570000.0,3831000.0,2000.0,175000.0,-175000.0,3143000.0,3320410.0,4423000.0,6169000.0,3541000.0,1746000.0,3143000.0,-226000.0,-226000.0,6395000.0,0.0,-48590.0,29001000.0,11571000.0,17430000.0,23266000.0,16625000.0,160000.0,16625000.0,-487000.0,23266000.0,16625000.0,6801000.0,6059000.0,178723.87,178723.87,5920000.0,-3323000.0,-2176000.0,585000.0,352000.0,146000.0,-4714000.0,1106000.0,5179000.0,-4802000.0,-935000.0,1206000.0
12/31/2022,9643000.0,2865000.0,6778000.0,256000.0,6522000.0,-159000.0,-627000.0,5736000.0,1174000.0,4386000.0,4386000.0,24.61,24.61,176539.0,176539.0,6508000.0,3121000.0,1000.0,148000.0,-159000.0,4386000.0,4880490.0,5884000.0,7228000.0,2865000.0,1344000.0,4386000.0,-622000.0,-622000.0,7850000.0,0.0,-127510.0,26209000.0,10519000.0,15690000.0,21247000.0,15009000.0,131000.0,15009000.0,-324000.0,21257000.0,15009000.0,6379000.0,6091000.0,179840.8,179840.8,6325000.0,-3330000.0,-3503000.0,164000.0,718000.0,135000.0,-3613000.0,1106000.0,7704000.0,-7961000.0,-1251000.0,2712000.0
12/31/2021,6797000.0,2477000.0,4320000.0,241000.0,4079000.0,-199000.0,-973000.0,2907000.0,631000.0,2182000.0,2182000.0,12.35,12.3,176643.0,177359.0,4001000.0,2718000.0,1000.0,189000.0,-199000.0,2182000.0,2954038.0,3096000.0,4371000.0,2477000.0,1275000.0,2182000.0,-986000.0,-986000.0,5357000.0,0.0,-213962.0,22898000.0,9653000.0,13245000.0,18730000.0,12088000.0,86000.0,12088000.0,8000.0,18775000.0,12088000.0,6773000.0,6033000.0,177551.35,177551.35,3944000.0,-1539000.0,-1841000.0,672000.0,542666.6666666666,194000.0,-2274000.0,1106000.0,3513000.0,-4193000.0,-525000.0,1670000.0
12/31/2020,2813000.0,2176000.0,637000.0,92000.0,545000.0,-197000.0,-6124000.0,-5776000.0,-1104000.0,-4517000.0,-4517000.0,-28.59,-28.59,157976.0,157976.0,-5476000.0,2268000.0,4000.0,195000.0,-197000.0,-4517000.0,431653.0,-5581000.0,-4270000.0,2176000.0,1311000.0,-4517000.0,-6117000.0,-6117000.0,1847000.0,0.0,-1168347.0,17619000.0,7815000.0,9804000.0,14418000.0,8794000.0,115000.0,8794000.0,-634000.0,14609000.0,8794000.0,5930000.0,5711000.0,158088.18,158088.18,2118000.0,-2101000.0,-37000.0,108000.0,542666.6666666666,221000.0,-2044000.0,1106000.0,2127000.0,-1717000.0,-137000.0,74000.0
12/31/2019,7388600.0,3046200.0,4342400.0,230000.0,4112400.0,-179000.0,-1566000.0,2367400.0,525600.0,1734400.0,1734400.0,9.005999999999997,8.995999999999999,173955.4,174098.6,2884400.0,3276200.0,2000.0,174400.0,-179000.0,1734800.0,3011120.0640000002,2541800.0,4049800.0,3046200.0,1508000.0,1734800.0,-1587400.0,-1587400.0,5637200.0,0.0,-311079.936,23931750.0,9889500.0,14042250.0,19415250.0,13129000.0,123000.0,13129000.0,-359250.0,19476750.0,13129000.0,6470750.0,5973500.0,173551.05,173551.05,4830400.0,-2588400.0,-772600.0,1688000.0,542666.6666666666,174000.0,-3283000.0,1106000.0,5185000.0,-4118000.0,-623000.0,1547400.0
