Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"16,283,836.00","7,953,712.00","8,330,124.00","5,098,387.00","3,231,737.00","-213,032.00","11,439.00","3,030,144.00","657,727.00","2,372,417.00","2,372,417.00",40.02,39.73,"59,237.50","59,684.00","3,231,737.00","13,052,099.00","2,372,417.00","2,372,417.00","6,456.00","219,488.00","-213,032.00","3,249,632.00","3,689,905.00","7,953,712.00","440,273.00","2,372,417.00","3,689,905.00",0.00,,,,,,,,,,,,,,,"3,035,789.00","-1,158,385.00","-1,789,659.00","145,625.00","330,100.00","211,136.00","-1,019,929.00","116,426.00","1,977,444.00","-1,454,500.00","-2,423,495.00","2,015,860.00"
12/31/2023,"15,812,250.00","7,707,447.00","8,104,803.00","4,918,427.00","3,186,376.00","-196,768.00","15,142.00","3,004,750.00","658,169.00","2,346,581.00","2,346,581.00",38.80,38.47,"60,475.00","60,998.00","3,186,376.00","12,625,874.00","2,346,581.00","2,346,581.00","4,900.00","201,668.00","-196,768.00","3,206,418.00","3,615,479.00","7,707,447.00","409,061.00","2,346,581.00","3,615,479.00",0.00,"13,872,995.00","15,612,273.00","-1,739,278.00","3,830,847.00","-1,739,278.00","2,270,880.00","-2,686,744.00","-2,103,051.00","3,830,847.00","-2,686,744.00","7,841,005.00","5,290,993.00","59,072.79","59,072.79","3,034,084.00","-995,936.00","-1,868,738.00","279,132.00","315,060.00","189,611.00","-1,006,264.00","91,316.00","4,723,444.00","-3,527,000.00","-3,151,155.00","2,027,820.00"
12/31/2022,"14,409,860.00","7,028,154.00","7,381,706.00","4,427,215.00","2,954,491.00","-152,957.00","-2,879.00","2,798,655.00","626,005.00","2,172,650.00","2,172,650.00",33.75,33.44,"64,372.00","64,962.00","2,954,491.00","11,455,369.00","2,172,650.00","2,172,650.00","4,763.00","157,720.00","-152,957.00","2,956,375.00","3,314,308.00","7,028,154.00","357,933.00","2,172,650.00","3,314,308.00",0.00,"12,627,979.00","13,688,731.00","-1,060,752.00","3,310,901.00","-1,060,752.00","2,173,377.00","-1,991,416.00","-2,015,558.00","3,310,901.00","-1,991,416.00","6,545,030.00","4,263,070.00","62,353.22","62,353.22","3,148,250.00","-739,985.00","-2,662,536.00","108,583.00","415,165.00","155,853.00","-563,342.00","79,356.00","1,633,114.00","-1,085,800.00","-3,282,265.00","2,584,908.00"
12/31/2021,"13,327,563.00","6,307,614.00","7,019,949.00","4,102,781.00","2,917,168.00","-142,797.00","7,543.00","2,781,914.00","617,229.00","2,164,685.00","2,164,685.00",31.39,31.10,"68,967.00","69,611.00","2,917,168.00","10,410,395.00","2,164,685.00","2,164,685.00","1,971.00","144,768.00","-142,797.00","2,926,682.00","3,254,899.00","6,307,614.00","328,217.00","2,164,685.00","3,254,899.00",0.00,"11,718,707.00","11,785,130.00","-66,423.00","3,760,555.00","-66,423.00","2,039,589.00","-945,763.00","-1,370,353.00","3,760,555.00","-945,763.00","5,866,567.00","3,464,865.00","67,029.04","67,029.04","3,207,310.00","-615,620.00","-2,694,858.00","362,113.00","450,935.00","144,293.00","-442,853.00","84,915.00",--,"-300,000.00","-2,476,048.00","2,764,457.00"
12/31/2020,"11,604,493.00","5,518,801.00","6,085,692.00","3,666,356.00","2,419,336.00","-158,635.00","5,704.00","2,266,405.00","514,103.00","1,752,302.00","1,752,302.00",23.74,23.53,"73,817.00","74,462.00","2,419,336.00","9,185,157.00","1,752,302.00","1,752,302.00","2,491.00","161,126.00","-158,635.00","2,427,531.00","2,742,166.00","5,518,801.00","314,635.00","1,752,302.00","2,742,166.00",0.00,"11,596,642.00","11,456,384.00","140,258.00","4,263,475.00","140,258.00","2,041,469.00","-740,772.00","-762,630.00","4,263,475.00","-740,772.00","6,164,686.00","3,657,577.00","71,123.11","71,123.11","2,836,603.00","-614,895.00","-1,796,577.00","465,640.00","305,087.00","159,717.00","-465,579.00","62,284.00","2,159,515.00","-1,923,000.00","-2,087,194.00","2,371,024.00"
12/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
