Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,55623000.0,38786000.0,16837000.0,10738000.0,6099000.0,191000.0,-257333.33333333334,6290000.0,1527000.0,4763000.0,4763000.0,4.19,4.13,1136000.0,1150000.0,49524000.0,4763000.0,4763000.0,268000.0,77000.0,191000.0,6367000.0,7393000.0,38786000.0,1026000.0,4763000.0,-257333.33333333334,-257333.33333333334,7393000.0,0.0,-66372.66666666667,29342638.75,22967217.75,6375421.0,9977651.25,6375421.0,9409705.25,6278421.5,3022667.25,10290072.25,6278421.5,13324356.5,1168727.8275000001,1168727.8275000001,6337000.0,-1888000.0,-3723000.0,5276000.0,980500.0,114500.0,-1884000.0,395000.0,5987000.0,-1964666.6666666667,-2511000.0,4453000.0
1/31/2024,54217000.0,37951000.0,16266000.0,10469000.0,5797000.0,170000.0,-257333.33333333334,5967000.0,1493000.0,4474000.0,4474000.0,3.93,3.86,1133586.55,1159000.0,48420000.0,4474000.0,4474000.0,249000.0,79000.0,170000.0,6046000.0,7010000.0,37951000.0,964000.0,4474000.0,-257333.33333333334,-257333.33333333334,7010000.0,0.0,-66372.66666666667,29747000.0,22445000.0,7302000.0,10164000.0,7302000.0,9680000.0,7207000.0,2213000.0,10164000.0,7207000.0,12542000.0,1133586.55,1133586.55,6057000.0,-1717000.0,-4215000.0,5600000.0,1432000.0,80000.0,-1722000.0,285000.0,5987000.0,-500000.0,-2484000.0,4335000.0
1/31/2023,49936000.0,36149000.0,13787000.0,8927000.0,4860000.0,-6000.0,-218000.0,4636000.0,1138000.0,3498000.0,3498000.0,3.03,2.97,1155437.91,1178000.0,45076000.0,3498000.0,3662590.0,78000.0,84000.0,-6000.0,4720000.0,5607000.0,36149000.0,887000.0,3498000.0,-218000.0,-218000.0,5825000.0,0.0,-53410.0,28349000.0,21985000.0,6364000.0,9223000.0,6364000.0,9385000.0,6267000.0,2151000.0,9723000.0,6267000.0,12744000.0,1155437.91,1155437.91,4084000.0,-1470000.0,-3306000.0,5477000.0,1225000.0,86000.0,-1457000.0,321000.0,5987000.0,-1964666.6666666667,-2255000.0,2627000.0
1/31/2022,48550000.0,34714000.0,13836000.0,9081000.0,4755000.0,-115000.0,-242000.0,4398000.0,1115000.0,3283000.0,3283000.0,2.78,2.7,1181188.73,1215591.0,43795000.0,3283000.0,3463532.0,4000.0,119000.0,-115000.0,4517000.0,5385000.0,34714000.0,868000.0,3283000.0,-242000.0,-242000.0,5627000.0,0.0,-61468.0,28461000.0,22458000.0,6003000.0,9358000.0,6003000.0,9153000.0,5906000.0,2791000.0,9358000.0,5906000.0,12508000.0,1181188.73,1181188.73,3057000.0,-1046000.0,-6200000.0,6227000.0,1119000.0,139000.0,-1045000.0,229000.0,5987000.0,-2976000.0,-2176000.0,2012000.0
1/31/2021,32137000.0,24534000.0,7603000.0,7021000.0,582000.0,-181000.0,-312000.0,89000.0,-1000.0,90000.0,90000.0,0.08,0.07,1204698.12,1214703.0,31555000.0,90000.0,317760.0,13000.0,194000.0,-181000.0,283000.0,1154000.0,24534000.0,871000.0,90000.0,-312000.0,-312000.0,1466000.0,0.0,-84240.0,30813555.0,24980871.0,5832684.0,11165605.0,5832684.0,9420821.0,5733686.0,4935669.0,11915289.0,5733686.0,15503426.0,1204698.12,1204698.12,4562000.0,-579000.0,3228000.0,10470000.0,146000.0,153000.0,-568000.0,211000.0,5987000.0,-2418000.0,-202000.0,3994000.0
1/31/2020,48092600.0,34426800.0,13665800.0,9247200.0,4418600.0,11800.0,-257333.33333333334,4276000.0,1054400.0,3221600.0,3221600.0,2.802,2.746,1162182.2619999999,1183458.8,43674000.0,3221600.0,3336176.4,122400.0,110600.0,11800.0,4386600.0,5309800.0,34426800.0,923200.0,3221600.0,-257333.33333333334,-257333.33333333334,5464200.0,0.0,-66372.66666666667,29342638.75,22967217.75,6375421.0,9977651.25,6375421.0,9409705.25,6278421.5,3022667.25,10290072.25,6278421.5,13324356.5,1168727.8275000001,1168727.8275000001,4819400.0,-1340000.0,-2843200.0,6610000.0,980500.0,114500.0,-1335200.0,288200.0,5987000.0,-1964666.6666666667,-1925600.0,3484200.0
