Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Rent Expense Supplemental,Total Expenses,Interest Income,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,24138000.0,13352000.0,10786000.0,1430000.0,9356000.0,-1232000.0,333000.0,8457000.0,1963000.0,6494000.0,6494000.0,10.66,10.64,609050.0,610100.0,9356000.0,899000.0,14782000.0,76000.0,1308000.0,-1232000.0,6494000.0,6270545.58,9765000.0,12124000.0,13352000.0,2359000.0,6494000.0,291000.0,291000.0,11833000.0,0.0,67545.58,64626000.0,50108500.0,14517500.0,43439250.0,14517500.0,1760750.0,13790500.0,-1169500.0,44996000.0,13790500.0,32239250.0,29281750.0,1112536.72,633072.5375,479464.18,8554000.0,-3585000.0,-4665000.0,1147000.0,1806000.0,1275000.0,-3698000.0,800000.0,-2333000.0,-100000.0,4856000.0
12/31/2023,24119000.0,13590000.0,10529000.0,1447000.0,9082000.0,-1288000.0,439000.0,8233000.0,1854000.0,6379000.0,6379000.0,10.47,10.45,609200.0,610200.0,9082000.0,947000.0,15037000.0,52000.0,1340000.0,-1288000.0,6379000.0,6058150.0,9573000.0,11891000.0,13590000.0,2318000.0,6379000.0,414000.0,414000.0,11477000.0,0.0,93150.0,67132000.0,52344000.0,14788000.0,45944000.0,14788000.0,1600000.0,13974000.0,-958000.0,47367000.0,13974000.0,34179000.0,31524000.0,1112854.81,609703.81,503150.99,8379000.0,-3667000.0,-4625000.0,1074000.0,1486000.0,1268000.0,-3606000.0,1599000.0,-2190000.0,-705000.0,4773000.0
12/31/2022,24875000.0,13670000.0,11205000.0,1288000.0,9917000.0,-1248000.0,403000.0,9072000.0,2074000.0,6998000.0,6998000.0,11.24,11.21,622700.0,624000.0,9917000.0,898000.0,14958000.0,23000.0,1271000.0,-1248000.0,6998000.0,6704249.0,10343000.0,12589000.0,13670000.0,2246000.0,6998000.0,381000.0,381000.0,12208000.0,0.0,87249.0,65449000.0,53286000.0,12163000.0,43811000.0,12163000.0,1631000.0,11434000.0,-1568000.0,45489000.0,11434000.0,34957000.0,32353000.0,1112623.89,612393.32,500230.57,9362000.0,-3471000.0,-5887000.0,987000.0,2060000.0,1156000.0,-3620000.0,6080000.0,-2291000.0,-6282000.0,5742000.0
12/31/2021,21804000.0,11290000.0,10514000.0,1176000.0,9338000.0,-1153000.0,293000.0,8478000.0,1955000.0,6523000.0,6523000.0,9.98,9.95,653800.0,655400.0,9338000.0,859000.0,12466000.0,4000.0,1157000.0,-1153000.0,6523000.0,6293069.0,9635000.0,11843000.0,11290000.0,2208000.0,6523000.0,299000.0,299000.0,11544000.0,0.0,69069.0,63525000.0,49364000.0,14161000.0,41724000.0,14161000.0,1759000.0,13475000.0,-2193000.0,43890000.0,13475000.0,31488000.0,28769000.0,1112440.4,638841.66,473598.74,9032000.0,-2709000.0,-7158000.0,983000.0,1658000.0,1087000.0,-2936000.0,4201000.0,-1299000.0,-7291000.0,6096000.0
12/31/2020,19533000.0,10354000.0,9179000.0,1345000.0,7834000.0,-1129000.0,275000.0,6980000.0,1631000.0,5349000.0,5349000.0,7.9,7.88,677300.0,679100.0,7834000.0,875000.0,11699000.0,12000.0,1141000.0,-1129000.0,5349000.0,5260910.0,8121000.0,10331000.0,10354000.0,2210000.0,5349000.0,115000.0,115000.0,10216000.0,0.0,26910.0,62398000.0,45440000.0,16958000.0,42278000.0,16958000.0,2053000.0,16279000.0,41000.0,43238000.0,16279000.0,28333000.0,24481000.0,1112227.78,671351.36,440876.42,8540000.0,-2676000.0,-4902000.0,1818000.0,1214000.0,1050000.0,-2927000.0,4004000.0,-2381000.0,-3705000.0,5613000.0
12/31/2019,22893800.0,12451200.0,10442600.0,1337200.0,9105400.0,-1210000.0,348600.0,8244000.0,1895400.0,6348600.0,6348600.0,10.05,10.026,634410.0,635760.0,9105400.0,895600.0,13788400.0,33400.0,1243400.0,-1210000.0,6348600.0,6117384.716,9487400.0,11755600.0,12451200.0,2268200.0,6348600.0,300000.0,300000.0,11455600.0,0.0,68784.716,64626000.0,50108500.0,14517500.0,43439250.0,14517500.0,1760750.0,13790500.0,-1169500.0,44996000.0,13790500.0,32239250.0,29281750.0,1112536.72,633072.5375,479464.18,8773400.0,-3221600.0,-5447400.0,1201800.0,1644800.0,1167200.0,-3357400.0,3336800.0,-2098800.0,-3616600.0,5416000.0
