Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Income,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"4,359,000.00","1,751,000.00","2,608,000.00","1,056,000.00","1,552,000.00","-397,000.00","73,000.00","1,228,000.00","272,000.00","956,000.00","956,000.00",4.90,4.90,"195,500.00","195,500.00","1,552,000.00","2,807,000.00","93,000.00","490,000.00","-397,000.00","956,000.00","956,000.00","1,718,000.00","2,457,000.00","1,751,000.00","739,000.00","956,000.00",--,--,"2,457,000.00",0.00,--,,,,,,,,,,,,,,,,"1,887,000.00","-3,022,000.00","409,000.00","98,000.00",--,--,"-2,855,000.00",--,"1,507,000.00","418,000.00",--,"-968,000.00"
12/31/2023,"4,234,000.00","1,720,000.00","2,514,000.00","1,010,000.00","1,504,000.00","-387,000.00","79,000.00","1,196,000.00","252,000.00","944,000.00","944,000.00",4.90,4.90,"193,000.00","193,000.00","1,504,000.00","2,730,000.00","73,000.00","460,000.00","-387,000.00","944,000.00","944,000.00","1,656,000.00","2,360,000.00","1,720,000.00","704,000.00","944,000.00",--,--,"2,360,000.00",0.00,--,"30,298,000.00","20,501,000.00","9,797,000.00","21,512,000.00","9,797,000.00","73,000.00","8,654,000.00","-762,000.00","22,166,000.00","8,654,000.00","12,442,000.00","12,039,000.00","200,144.97","194,730.10","5,414.87","1,874,000.00","-2,815,000.00","1,188,000.00","364,000.00",--,"445,000.00","-2,734,000.00","1,688,000.00","1,264,000.00","-282,000.00",--,"-860,000.00"
12/31/2022,"3,792,000.00","1,589,000.00","2,203,000.00","930,000.00","1,273,000.00","-381,000.00","116,000.00","1,008,000.00","188,000.00","820,000.00","820,000.00",4.51,4.51,"182,000.00","182,000.00","1,273,000.00","2,519,000.00","52,000.00","433,000.00","-381,000.00","820,000.00","804,553.00","1,441,000.00","2,090,000.00","1,589,000.00","649,000.00","820,000.00","19,000.00","19,000.00","2,071,000.00",0.00,"3,553.00","27,787,000.00","20,094,000.00","7,693,000.00","18,619,000.00","7,693,000.00","70,000.00","6,550,000.00","-1,561,000.00","20,075,000.00","6,550,000.00","12,452,000.00","12,297,000.00","187,200.54","181,858.06","5,342.48","1,108,000.00","-2,127,000.00","1,000,000.00","117,000.00","335,000.00","414,000.00","-2,420,000.00",--,"822,000.00","-15,000.00",--,"-1,312,000.00"
12/31/2021,"3,930,000.00","1,777,000.00","2,153,000.00","957,000.00","1,196,000.00","-399,000.00","843,000.00","1,640,000.00","377,000.00","1,263,000.00","1,263,000.00",6.96,6.95,"182,000.00","182,000.00","1,196,000.00","2,734,000.00","4,000.00","403,000.00","-399,000.00","1,263,000.00","687,810.00","2,043,000.00","2,679,000.00","1,777,000.00","636,000.00","1,263,000.00","747,000.00","747,000.00","1,932,000.00",0.00,"171,810.00","26,075,000.00","18,777,000.00","7,298,000.00","17,639,000.00","7,298,000.00","80,000.00","6,159,000.00","-587,000.00","18,280,000.00","6,159,000.00","11,062,000.00","10,866,000.00","186,880.41","181,611.09","5,269.32","1,441,000.00","-1,536,000.00","-345,000.00","136,000.00","1,000.00","389,000.00","-1,873,000.00",--,"1,118,000.00","-872,000.00",--,"-432,000.00"
12/31/2020,"3,777,000.00","1,622,000.00","2,155,000.00","907,000.00","1,248,000.00","-395,000.00","71,000.00","924,000.00","215,000.00","709,000.00","709,000.00",3.91,3.91,"181,000.00","182,000.00","1,248,000.00","2,529,000.00","2,000.00","397,000.00","-395,000.00","709,000.00","709,000.00","1,321,000.00","1,925,000.00","1,622,000.00","604,000.00","709,000.00",--,--,"1,925,000.00",0.00,--,"24,766,000.00","18,312,000.00","6,454,000.00","15,783,000.00","6,454,000.00","81,000.00","4,895,000.00","-975,000.00","17,394,000.00","4,895,000.00","11,021,000.00","10,393,000.00","186,466.71","181,298.49","5,168.22","1,426,000.00","-2,061,000.00","1,120,000.00","576,000.00","7,000.00","382,000.00","-1,928,000.00",--,"1,834,000.00","-342,000.00",--,"-502,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"-36,000.00",--
