Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"32,614,000.00","18,061,000.00","14,553,000.00","13,511,000.00","1,042,000.00","-920,000.00",--,"1,271,000.00","-152,000.00","17,000.00","943,000.00","943,000.00",1.71,1.70,"554,450.00","554,900.00","1,785,000.00","31,572,000.00","943,000.00","515,290.00","418,000.00","1,338,000.00","-920,000.00","2,609,000.00","4,412,000.00","18,061,000.00","1,803,000.00","1,423,000.00","1,149,000.00","1,149,000.00","3,263,000.00",0.00,"241,290.00",,,,,,,,,,,,,,,,"5,684,000.00","-1,444,000.00","1,635,000.00","10,133,000.00",--,--,"-1,407,000.00",--,"10,095,000.00","-3,937,000.00","-425,000.00","4,277,000.00"
12/31/2023,"32,681,000.00","18,477,000.00","14,204,000.00","23,239,000.00","-9,035,000.00","-689,000.00","36,000.00","-9,688,000.00","-2,691,000.00","18,000.00","-6,995,000.00","-6,995,000.00",-12.63,-12.63,"553,900.00","553,900.00","-9,128,000.00","41,716,000.00","-6,995,000.00","-7,020,992.00","253,000.00","942,000.00","-689,000.00","-8,746,000.00","-6,759,000.00","18,477,000.00","1,987,000.00","-6,995,000.00","36,000.00","36,000.00","-6,795,000.00",0.00,"10,008.00","50,580,000.00","45,712,000.00","4,868,000.00","17,895,000.00","4,807,000.00","819,000.00","-12,346,000.00","1,082,000.00","20,842,000.00","-12,346,000.00","16,854,000.00","10,102,000.00","944,033.06","552,581.14","391,451.92","6,680,000.00","-1,207,000.00","-3,147,000.00","5,933,000.00","1,384,000.00","520,000.00","-1,615,000.00",--,"2,835,000.00","-3,086,000.00","-33,000.00","5,065,000.00"
12/31/2022,"34,229,000.00","19,232,000.00","14,997,000.00","10,663,000.00","4,334,000.00","-395,000.00","2,453,000.00","6,392,000.00","612,000.00","11,000.00","5,777,000.00","5,777,000.00",10.21,10.18,"566,000.00","567,600.00","6,539,000.00","29,895,000.00","5,777,000.00","3,559,488.00","67,000.00","462,000.00","-395,000.00","6,854,000.00","8,685,000.00","19,232,000.00","1,831,000.00","5,777,000.00","2,453,000.00","2,453,000.00","6,232,000.00",0.00,"235,488.00","46,455,000.00","31,685,000.00","14,770,000.00","28,723,000.00","14,722,000.00","916,000.00","-2,767,000.00","5,165,000.00","30,661,000.00","-2,767,000.00","16,855,000.00","12,284,000.00","944,033.06","549,245.11","394,787.95","5,591,000.00","-1,046,000.00","-5,350,000.00","3,655,000.00","1,320,000.00","440,000.00","-1,749,000.00",--,"1,000.00","-1,179,000.00","-1,464,000.00","3,842,000.00"
12/31/2021,"35,355,000.00","18,795,000.00","16,560,000.00","8,894,000.00","7,666,000.00","-462,000.00",--,"7,204,000.00","1,285,000.00","10,000.00","5,921,000.00","5,921,000.00",10.23,10.12,"579,000.00","585,300.00","7,369,000.00","27,689,000.00","5,921,000.00","5,921,000.00","26,000.00","488,000.00","-462,000.00","7,692,000.00","9,607,000.00","18,795,000.00","1,915,000.00","5,921,000.00",--,--,"9,607,000.00",0.00,--,"47,072,000.00","31,955,000.00","15,117,000.00","31,102,000.00","15,046,000.00","947,000.00","-3,728,000.00","6,368,000.00","32,409,000.00","-3,728,000.00","18,310,000.00","12,799,000.00","944,033.06","571,845.48","372,187.58","7,454,000.00","-1,317,000.00","-6,145,000.00","4,564,000.00","1,695,000.00","472,000.00","-1,603,000.00",--,"1,000.00","-1,144,000.00","-2,199,000.00","5,851,000.00"
12/31/2020,"32,184,000.00","16,605,000.00","15,579,000.00","8,673,000.00","6,906,000.00","-500,000.00","389,000.00","6,795,000.00","1,337,000.00","-5,000.00","5,449,000.00","5,449,000.00",9.32,9.25,"577,600.00","582,200.00","7,161,000.00","25,278,000.00","5,449,000.00","5,136,633.00","29,000.00","529,000.00","-500,000.00","7,324,000.00","9,235,000.00","16,605,000.00","1,911,000.00","5,449,000.00","389,000.00","389,000.00","8,846,000.00",0.00,"76,633.00","47,344,000.00","34,413,000.00","12,931,000.00","30,856,000.00","12,867,000.00","958,000.00","-6,770,000.00","7,034,000.00","31,662,000.00","-6,770,000.00","19,753,000.00","14,161,000.00","944,033.06","577,749.64","366,283.42","8,113,000.00","-580,000.00","-5,300,000.00","4,634,000.00","1,351,000.00","524,000.00","-1,501,000.00",--,"1,750,000.00","-3,482,000.00","-368,000.00","6,612,000.00"
12/31/2019,--,--,--,--,--,--,"-48,000.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"547,000.00",--,--,--,--
