Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,2598900.0,536900.0,2062000.0,1990000.0,72000.0,227900.0,800.0,300700.0,87800.0,212900.0,212900.0,0.52,0.52,405700.0,407300.0,72000.0,2526900.0,212900.0,212900.0,30017.0,2615.0,227900.0,72000.0,199900.0,451400.0,127900.0,212900.0,199900.0,0.0,7873622.75,1549715.0,6323907.75,7312497.5,6323907.75,131713.25,3617198.5,4260149.5,7312497.5,3617198.5,1120303.0,400961.75,400961.75,388800.0,-661800.0,-12700.0,4919600.0,153600.0,31000.0,-443400.0,1217835.5,1744210.0,-2200.0,-33252.666666666664,-54600.0
12/31/2023,2455000.0,491500.0,1963500.0,1681200.0,282300.0,213600.0,5400.0,501300.0,126600.0,374700.0,374700.0,0.92,0.92,405300.0,406900.0,282300.0,2172700.0,374700.0,374700.0,30017.0,2615.0,213600.0,282300.0,389800.0,426200.0,107500.0,374700.0,389800.0,0.0,8919700.0,1581100.0,7338600.0,8329100.0,7338600.0,119900.0,4638700.0,5020300.0,8329100.0,4638700.0,1110400.0,408100.0,408100.0,489500.0,-238600.0,-3700.0,5215900.0,163200.0,30700.0,-25300.0,1217835.5,1744210.0,-249800.0,-33252.666666666664,464200.0
12/31/2022,2182400.0,414000.0,1768400.0,1317400.0,451000.0,32100.0,3400.0,486500.0,117000.0,369500.0,369500.0,0.93,0.93,396284.0,397752.0,451000.0,1731400.0,369500.0,369500.0,30017.0,2615.0,32100.0,451000.0,588900.0,349700.0,137900.0,369500.0,588900.0,0.0,8402500.0,1532500.0,6870000.0,7859200.0,6870000.0,116400.0,4225900.0,4813200.0,7859200.0,4225900.0,1105600.0,406671.0,406671.0,478700.0,-69100.0,734000.0,4968000.0,169200.0,29900.0,-58600.0,745700.0,1744210.0,-2200.0,-33252.666666666664,420100.0
12/31/2021,1944100.0,357200.0,1586900.0,1154600.0,432300.0,-31600.0,3300.0,404000.0,111400.0,292600.0,292600.0,0.75,0.74,392210.0,394160.0,432300.0,1511800.0,292600.0,292600.0,30017.0,2615.0,-31600.0,432300.0,571858.0,292442.0,139558.0,292600.0,571858.0,0.0,7256871.0,1545199.0,5711672.0,6699616.0,5711672.0,133682.0,2916221.0,3649436.0,6699616.0,2916221.0,1121626.0,394936.0,394936.0,469731.0,-381343.0,-15679.0,3827126.0,82117.0,31510.0,-65220.0,1217835.5,1744210.0,-249800.0,-33314.0,404511.0
12/31/2020,1659019.0,308968.0,1350051.0,1060849.0,289202.0,-17395.0,-827.0,270980.0,43852.0,227128.0,227128.0,0.6,0.59,380730.0,383260.0,289202.0,1369817.0,227128.0,227128.0,30017.0,2615.0,-17395.0,289202.0,406146.0,254481.0,116944.0,227128.0,406146.0,0.0,6915420.0,1540061.0,5375359.0,6362074.0,5375359.0,156871.0,2687973.0,3557662.0,6362074.0,2687973.0,1143586.0,394140.0,394140.0,486106.0,-464163.0,2662297.0,3755912.0,45783.0,5948.0,-48347.0,1689971.0,1744210.0,-745000.0,-38867.0,437759.0
12/31/2019,2167883.8,421713.6,1746170.2,1440809.8,305360.4,84921.0,2414.6,392696.0,97330.4,295365.6,295365.6,0.744,0.74,396044.8,397874.4,305360.4,1862523.4,295365.6,295365.6,30017.0,2615.0,84921.0,305360.4,431320.8,354844.6,125960.4,295365.6,431320.8,0.0,7873622.75,1549715.0,6323907.75,7312497.5,6323907.75,131713.25,3617198.5,4260149.5,7312497.5,3617198.5,1120303.0,400961.75,400961.75,462567.4,-363001.2,672843.6,4537307.6,122780.0,25811.6,-128173.4,1217835.5,1744210.0,-249800.0,-27577.0,334394.0
